Unnamed: 0,Text
0,"We unfortunately have to postpone our event on Monday due to risk of illness in the campaign. If you bought a ticket contact the campaign for a refund, or your ticket will also be good for the rescheduled event. We apologize for any inconvenience this may cause."
1,Make sure to RSVP for the Summer Celebration happening THIS MONDAY!!! Click the link below or in our bio to get your tickets. We can’t wait to see you! #hoosiersforfyfe https://t.co/mM6yIpJ7Jz https://t.co/QL1uDKx6LF
2,"The ninth district is a beautiful place. And this campaign supports all efforts to preserve that beauty and ensure we have clean air, water and soil for generations to come. This is why we are so grateful to the national Sierra Club for their endorsement! @SierraClub https://t.co/fZDkIjj4Xf"
3,See you tonight Jeffersonville!!! https://t.co/XOXP2kL8tV
4,It was so good to see the party united behind great candidates this weekend at #bigdemweekend with @INDems !! Can’t wait to work together towards the general! #alldemsondeck #hoosiersforfyfe https://t.co/QoWdaKPzx5
5,GREAT meeting with @NinthCDDems this morning!!! It was great to see everyone. Let’s flip this district blue in November! #bigdemweekend https://t.co/TTogw5UL78
6,Lawrenceburg Pride!!! Thank you for having us. It was great to get all the way out to the east edge of the district to celebrate and speak with you all. #hoosiersforfyfe https://t.co/6D37q0VUom
7,"I support the outline for this bill. 

@Erin_Houchin - do you?

Voters want to know. https://t.co/WeNTBgWFKd"
8,"To the students, moms, and others I've met with recently who are advocating for safer communities - keep it up! This is real progress and will positively impact our schools and neighbors. Keep advocating and organizing! https://t.co/U4du3c9NNH"
9,I’m so proud of the young people that organized the #marchforourlives event in Bloomington yesterday. We are working together to make our communities safer!!! And we need everyone on board. Go to https://t.co/bLqlHMJwJF to join the fight. #hoosiersformattfyfe https://t.co/byJUUIHr1v
10,I know those folks - sounds like a good town hall! Hope to see you there! https://t.co/PWOG7vVnZV
11,"Another big thanks to everyone that came out to our Gun Violence Prevention town hall! If you weren’t able to make it, we have a recording thanks to Community Access Television Services. Check it out! https://t.co/yoA9xyz7Rm"
12,"The goal is to improve the lives of working Hoosiers - together we can stand for safe worksites, great wages and benefits, dignified retirements, and protect the right to organize! #1u #hoosiersforfyfe @INAFLCIO"
13,"This campaign is about fighting for working folks. We have received endorsements from  SMART-TD, UA Local 136, and today we received the endorsement of the Indiana State AFL-CIO! The AFL-CIO is a fantastic organization and we’re thrilled to have their endorsement. https://t.co/IL1Jot35AU"
