Unnamed: 0,Text
0,"A statement regarding my 2022 Congressional Campaign. 

Thank you all for all the support and love. 

In solidarity,
Matthew Meade https://t.co/bdbvV0qgbg"
1,"RT @DerrickNAACP: If you can afford to pause student loan payments over and over again, you can afford to cancel it."
2,"👀👀👀

Helloooo https://t.co/agFnigNcmr"
3,"RT @RaleighBowman: What kind of society says no to healthcare, voting rights, and children but yes to lobbyists, guns, and power."
4,"@AllyforCongress We need to provide better public transit, open more public health options in low-income neighborhoods and making testing for diseases and viruses are readily and easily available."
5,@AllyforCongress Correct! Along with #MedicareForAll we need to make sure that people have access to the emergency room. So many people in low income communities struggle having access to even that medium.
6,We all deserve access to healthcare.
7,"This is not surprising.

@JoyceBeatty is a liar and a corrupt politician. She is not working to help the people of OH-3.

I will help and work to better the lives of OH-3, WITHOUT taking corporate dollars. https://t.co/DgMii2Zoca"
8,"As they should. 

As a former Starbucks barista, this would change the game for these people. https://t.co/KTvFrDXA2K"
9,@trevin_flick @ComradeBeani I take public transit everyday!
10,Do we think Congress will pass the Build Back Better Plan before they go on break?
11,"#WorldAidsDay2021 

The Blood Ban exists because of the negative stigma on HIV and AIDS. 

The first piece of legislation I will write in Congress will be to end this ban. 

Get Tested. Know Your Status. Undetectable is Untransmittable."
12,"This is disgusting. 

The culture that is being created by the outwardly racist @RepBoebert is terrifying and uncalled for. 

No one should have these words spoken to them. 

Ever. 

#IStandWithIlhanOmar https://t.co/BKMBES6Dnr"
13,"RT @HousingOhio: We are the Central Ohio Housing Action Network, and we organize know-your-rights drop-offs to our neighbors every. single.…"
14,@sammyclaws12 Nope.
15,"Okay…. this is nice!

Now it’s time for @POTUS to keep his promise. 

#CancelStudentDebt https://t.co/4x1mVDz9wm"
16,@EthanNichols02 Is*
17,"Happy Chanukah to those in OH-3 and throughout the entire country who are celebrating over the next 8 days!

May it be filled with celebration and joy!  

Chag Sameach!"
