Unnamed: 0,Text
0,"I'm running for Congress because women's rights are under attack.

My opponent, Steny Hoyer, campaigned for anti-abortion candidates as recently as last month.

I will always fight for reproductive justice.

It's time for some damn change.
https://t.co/zmVOlLnUf8"
1,RT @katemcgowanyay: To really help SoMD Please donate to Dc and Baltimore abortion fund if you are local and vote @MeetMckayla bc Steny Hoy…
2,"RT @PeaceOverProfit: @StenyHoyer Reminder: Hoyer fought to keep “pro-life” Cuellar in the house, when a woman who supports reproductive fre…"
3,"RT @peterhassett: I get a ton of fundraising emails from politicians, but only one this week asked me to donate to a local abortion fund in…"
4,"The work continues – many thanks to those who joined us to knock doors in the heat today. More than ever, it is time for some damn change.

Join us tomorrow! Sign up to canvass or phonebank soon: https://t.co/TeubOQyofu https://t.co/pyhKT8AReE"
5,"I’m asking you to find, support, and donate to your local abortion fund. Whether it’s a group in a blue state that will be seeing an influx of new people in need, or a group in a red state who will be facing legal fights – they need your help today.

https://t.co/pbI8zFE1xE"
6,"I remember what the fear was like at the time. 

Abortion clinics in red states are already calling hundreds of people, letting them know that their appointment has been cancelled because of the decision. People are feeling that fear now."
7,"When I was a teenager, I became pregnant. 

I was terrified, making minimum wage, and was not ready to have a child. With financial help from my aunt, I was able to have an abortion. I’m now raising two wonderful kids, who I had when I was ready."
8,"Democratic leadership had 50 years to codify Roe v. Wade. They knew that this was coming.

And where was Majority Leader Hoyer last month? He was campaigning for a pro-life candidate (Cuellar) who was facing a pro-choice challenger.

We need new leadership."
9,"We know the Republicans are ruthless. They’ve used every scheme possible to secure a conservative majority on SCOTUS despite losing the popular vote in every election but one for the past 34 years.

But what is the response from Democratic leadership? An exploratory committee?"
10,RT @mmichaelmmareno: @MeetMckayla is the representative that MD-05 deserves.
11,"RT @kv_swartz: McKayla Wilkes (@MeetMckayla), a congressional candidate running against Steny Hoyer in Maryland’s fifth district, got emoti…"
12,"RT @Jonathan_Barnes: Only a few weeks ago, you and the party establishment supported the last anti-choice member of the house in his primar…"
13,"These people don't get it.

Why didn't you call to codify Roe the last 40 years you were in Congress? Why were you campaigning for a pro-life candidate *last month?*

Reproductive rights were just stripped away from millions of people. Words aren't good enough. https://t.co/faGrPNLD3H"
14,RT @ninaturner: F*** the Democratic fundraising emails that will come from this.
15,"RT @MeetMckayla: 🚨 New Ad 🚨

I'm running to be the first Black woman our district has ever sent to Congress.

After 55 years in office, Ste…"
16,RT @ai_alchemist: @MeetMckayla Say it louder for the people in the back! YES 👏👏👏
17,RT @briebriejoy: The police are apparently telling organizers to take the speakers down now.
18,RT @briebriejoy: McKayla casts skepticism on Dems who say the answer is to vote for them. Says the solution is to “fuck shit up.” And to st…
19,"RT @briebriejoy: The crowd is with her. Learn more about her from a recent @BadFaithPod interview. Esp if you’re in MD.

https://t.co/RXQRq…"
20,"RT @briebriejoy: .@MeetMckayla speaking next. She’s primarying anti-choice Steny Hoyer. “First let me say, fuck SCOTUS.” [cheers].

Now she…"
21,RT @radtrav: You go @MeetMckayla !!!!!
22,RT @ShutDown_DC: “Electoral political is dragging its ass. The only thing that will make change is *uprising.*” - @MeetMckayla
23,RT @ShutDown_DC: .@ReddIsAri is 🔥🔥🔥 https://t.co/53p0L43six
24,"RT @ShutDown_DC: .@ReddIsAri @FFDC202: “We’ve been betrayed yet again. We’ve voted, we’ve marched. And our lives are STILL in danger.” @pot…"
25,"RT @SNJYouthMD: DC/MD students — privacy rights are being snatched in front of our eyes. We must act.📣

Join @HarrietsDreams tonight at 5PM…"
26,RT @BaltimoreBanner: Maryland will be key for people seeking abortions. Here's what activists are doing to help. https://t.co/Jn9M8Sh3z0
27,"RT @HarrietsDreams: Call To Action: 
Join us 5pm Today around the Supreme Court abortion rights decision announcement as we demand abortion…"
28,"RT @caldwellwilldo: CC:

@LeaderHoyer 
@SpeakerPelosi 
@RepJeffries 

@SenSchumer"
29,"There are 13 states with trigger laws that just went into affect. We need to fight back, Democratic leadership has failed the base. They deserve some accountability for this as well."
30,RT @NateDawg2022: @MeetMckayla Burn it down
31,Expand the Court.
32,"Our leaders cannot just stand by and watch.

This is obscene. Rights are being stripped away from millions of people right in front of our eyes. https://t.co/6ipoE4vNTH"
33,"Join myself and Januari McKay, candidate for State Delegate (D-23B) for a fundraiser and meet-and-greet on Thursday, June 30th from 6-8pm at Blue Sunday in Bowie!

We invite you to join us for a phenomenal evening of discussion.

Learn More and RSVP: https://t.co/3aUFJ0sV8h https://t.co/yoVtOMmXbq"
34,RT @willemdatoe: lord i'm obsessed with this woman https://t.co/SVO1sjmofW
35,"RT @ACLU: NEW: The Supreme Court ruled today that you can’t sue the police for failing to read your Miranda rights to you.

This dangerous…"
36,"I'm running for Congress because public schools are under attack.

This is a critical moment: right-wing efforts to destroy public education are at an all-time high.  

We need to be investing more in our teachers and classrooms, not undermining them. 

https://t.co/WLwdJ85FFP"
37,RT @JeffSpakowski: @ninaturner Don't forget Hoyer who we need retired and replaced with @MeetMckayla
38,"RT @SunriseMaryland: Hell yeah. Lets boot the fossil fuel fascists out of office, and save our future!"
39,RT @mostlyinane: please won't someone explain the plot of les mis to the les mis twitter team
40,"RT @MeetMckayla: I'm running for Congress because climate change is real, it's here, and it's long past time that we act on it.

My opponen…"
41,"I'm running for Congress because climate change is real, it's here, and it's long past time that we act on it.

My opponent, Steny Hoyer, is one of the largest recipients of $ from the fossil fuel industry in either party.

It's time for some damn change.

https://t.co/rxyrjm1Sid"
42,"@SoundMoneyG A recent study found that universal healthcare could have saved approximately 338,000 lives from COVID in the time period between March 2020 and March 2022.

https://t.co/bc7Tq1O69e"
43,"RT @CallForCongress: Steny Hoyer in elected office since 1967, one year after my parents got married

In the US House since 1981, when I wa…"
44,RT @TheWolfe40: 💥💥💥
45,RT @AdamCforMD: GIVE THIS WOMAN STENY HOYER'S SEAT
46,"🚨 New Ad 🚨

I'm running to be the first Black woman our district has ever sent to Congress.

After 55 years in office, Steny Hoyer is out of touch. See why ⬇️ and help us reach all our voters with our message that it's time for some damn change: https://t.co/cdIdf7Gwg2 https://t.co/S9GeaKqzYN"
47,RT @jesserbnwtz: DC is the most heavily policed city in the United States. Police do not stop shootings. They do not create safety. More po…
48,"RT @SunriseMaryland: Only a month left in the primary season! 

@MeetMckayla hosts text-banking every Thursday and phonebanking every Monda…"
49,"I'm running for Congress because universal healthcare could have saved over 300,000 lives from COVID.

My opponent, Steny Hoyer, is one of the largest recipients of $ from private health insurance companies in either party.

It's time for some damn change.
https://t.co/aAxBqaeX5G"
50,"It means protecting voter rights and ending deep inequities in education. 

It means removing the loophole in the 13th Amendment which allows for prisoners to be paid mere pennies for their labor.

We will fight for justice –
While we celebrate Juneteenth."
51,"It means environmental justice. It means dismantling the school-to-prison pipeline and ending the War on Drugs. Both have needlessly upended the lives of so many Black people in this country. 

Racial justice means reparations for the descendants of enslaved African peoples."
52,"We can’t stop now. This is a moment for us to recommit to fighting for the substantive policies of racial justice.
 
Racial justice means tackling the structural inequities that persist in our society today. In housing, healthcare, employment, and the criminal justice system."
53,"Happy Juneteenth! 

It was a joy celebrating with so many people at Watkins Park yesterday in Upper Marlboro.

Juneteenth is a day of celebration, a day of community, and a day of commitment to keep fighting for true freedom. https://t.co/8izVb3OSq1"
54,"RT @MorePerfectUS: BREAKING: In a historic victory, Apple Store employees in Maryland win the first union at Apple.

Despite a nationwide a…"
55,"Mail-in ballots are starting to arrive in Maryland! The deadline to request a mail-in ballot is July 12th.

Early Voting is from July 7th-14th, from 7am-8pm each day.

Election Day is July 19th.

More information on the different ways to vote here:
https://t.co/wfNnPTrYep"
56,"RT @MeetMckayla: The 13th Amendment: ""Neither slavery nor involuntary servitude, EXCEPT AS A PUNISHMENT FOR CRIME... shall exist within the…"
57,"Tomorrow! Join us in Fort Washington for a Free Father's Day BBQ from 1-5pm. 

I want to meet you and talk to you about the issues you care about most. RSVP: https://t.co/byjXsJ4L4Z https://t.co/d5O5NWPQVL"
58,"The 13th Amendment: ""Neither slavery nor involuntary servitude, EXCEPT AS A PUNISHMENT FOR CRIME... shall exist within the United States."" 

It's time to end the exploitation of prison labor – because the abolition of slavery should not still come with a loophole. https://t.co/C8qZc9SxDW"
59,"RT @msolurin: Defunding the police is radical but defunding education, healthcare, and housing is routine. NYC gives over 10.4 billion to N…"
60,RT @RamsesShabaka: Big thanks to @SchoolsNotJails founder and primary challenger to Steny Hoyer in MD-05 @MeetMckayla for stopping by TheSe…
61,"It's especially shameful because these healthcare benefits *should not be tied* to employment in the first place.

Healthcare – and that includes trans-inclusive healthcare – should be available regardless of your employment status through single-payer."
62,"Reports that Starbucks is threatening to transgender-inclusive healthcare benefits from workers in retaliation for unionizing are shameful.

It's also a textbook example of why workers *need* a strong union, so they're not at the mercy of management.

https://t.co/nkXfmh779X"
