Unnamed: 0,Text
0,"SCOTUS hasn’t just become a partisan body—it’s become a theocratic body. We can’t allow white evangelical rule to move America backwards, making women second-class citizens by forcing them to carry unwanted pregnancies."
1,"My opponent, entrenched GOP and Trump-endorsed @RepChuck has effectively avoided candidate forums throughout his several terms. It’s time to change that. Join us on June 30th at 7pm at UTC, hosted by USA Today. Learn more at https://t.co/NOBWN5fElU. https://t.co/SrNY2zFZ6v"
2,RT @TheTNHoller: ⚡️Secretary of Voter Suppression Tre Hargett Charged with DUI After Bonnaroo Visit: https://t.co/vtEDGXDIFV (from @schelzi…
3,"Taking yet another active shooter training when I get to work today, in case anyone was wondering what it’s like working in a grocery store in America."
4,"This man tried to overturn a free and fair election. He voted against supporting veterans. He pushes Christian nationalism. He backs Big Oil &amp; Big Pharma price gouging. He’s hellbent on keeping Americans sick + poor while giving tax cuts to his corporate donors.

Sit down, Chuck. https://t.co/8nmUTc6pid"
5,"So let me be clear: 

Now is absolutely the time for politics. 

Now has always been the time for politics. 

Continue to be loud, and stay angry. Get involved, go vote, and please, whatever you do, don’t let up.

#GunControlNow"
6,"We’re told “now’s not the time for politics.” But if not now, when? @RepChuck has taken $25k+ from the Gun Lobby. And after hearing the story of an 11-year-old girl whose classmates and teacher were murdered in front of her, Chuck STILL voted to protect guns, not kids."
7,"It was an honor speaking at today’s #MarchForOurLives rally. The truth is, Americans want common sense gun reform. We want safe communities. We don’t want to be slaughtered in our homes or grocery stores. We don’t want our children gunned down in their schools or libraries. https://t.co/X6NP5ho1ZP"
8,"Had a blast at MooFest in downtown Athens today! Thanks to @mcminndems for having me, and to McMinn voters for the overwhelming support!

Also pictured: McMinn Co. Commission D3 candidates Cody Hensley &amp; Jean-Pierre Vasquez, and TN Senate D1 candidate Dr. Patricia Waters. https://t.co/734T53d2T4"
9,"Chip in today to help me dump Chuck! ⬇️ 
https://t.co/3FEeGx4o7J"
10,"Chuck refuses to hold oil &amp; gas companies—his corporate donors—accountable and voted AGAINST stopping price gouging at the pump. 

He serves corporations, not his constituents. That’s why I’m running against him: to bring real, meaningful representation to the people of TN-03. https://t.co/BOwFpoZ6yz"
11,"RT @Meg4Congress: Make your voices heard, Chattanoogans: demand #MoreThanThoughtsAndPrayers.
March on June 11
Vote on August 4 and November…"
