Unnamed: 0,Text
0,"Set your DVRs…for real, it’s an early one!

I’ll be on Fox &amp; Friends First on the @FoxNews Channel at 3:30AM CT / 4:30 ET with @CarleyShimkus on Tuesday, ELECTION DAY morning.

Let’s do this. Full Speed Ahead! 🚀🇺🇸

*VOTE* *VOTE *VOTE*"
1,"Today is a momentous day for life. Power has been restored to the states and the voiceless have been given a voice. #DobbsvJackson #Roeoverturned 

🇺🇸"
2,"I was on with the great @DanProft and @AmyJacobson on AM 560's the @MorningAnswer today, making final arguments for the IL-14 primary Election which is this TUESDAY.

Here we GO 🚀🇺🇸

https://t.co/zuJYOkD0uV"
3,"@MarcVAvelar @MorningAnswer @DanProft @RichardIrvin4IL @LaurenUnderwood Thanks Marc 👍🏼 Here’s the audio:

https://t.co/zuJYOkD0uV"
4,"RT @MarcVAvelar: Gr8 hearing #IL14 Republicans on @MorningAnswer today 75th anniversary of Taft-Hartley veto override.

IMHO best showing @…"
5,Full Speed Ahead! 🚀🇺🇸 #Vote #IL14 https://t.co/dKObEkBs9A
6,Absolutely gorgeous weekend in Northern Illinois 🌾🇺🇸 #prairiefest #oswego #IL14 #HappyFathersDay2022 https://t.co/4X09ZDNsIX
7,"In 1 year:
Fuel oil +107% largest ^ever
Restaurants +9.0% largest ever
Groceries +1.9% largest since 1979
Rent 5.2% largest since 1987
Electricity +2.0% largest since 2006
Airfare +37.8% largest since 1980

What is @RepUnderwood and the dems doing about any of it?

¯\_(ツ)_/¯"
8,"RT @caroljsroth: Yellen referred to unrealized capital gains as “income”. She led the charge for a global tax cartel. At the Fed, she overs…"
9,"Spring Valley, IL, Memorial Day 2022 🇺🇸 https://t.co/eV6DyKF5n9"
10,"“And they who for their country die shall fill an honored grave, for glory lights the soldier's tomb, and beauty weeps the brave."" -Joseph Rodman Drake"
11,"Great debate, and everyone showed. Full Speed Ahead! 🚀🇺🇸 https://t.co/fSfzrDBHht"
12,"Border Patrol agents last summer also told me:

- The wall works. Complete it. 

- The remain in Mexico policy works. Keep it.

The Biden / Underwood agenda is simple: Whatever the smartest policy is, do the exact opposite."
13,"When I visited the border in 2021, I witnessed border patrol agents who were frustrated at the complete lack of attention the Biden administration pays to the border crisis. https://t.co/mBDjV9M9vp"
14,Abortion is the taking of an innocent human life. Period. https://t.co/hxnRCI4xms
15,RT @Pabst_Beer_8: @koolidge love my new sign for my lawn looks great! https://t.co/K9LDxDYduv
16,"Happy Mother’s Day to my own sweet mom, AND to all the loving &amp; wonderful moms out there! ♥️💐 https://t.co/LmbtpVhCSa"
17,"Our statement on Roe v Wade being overturned, now that the draft has been officially confirmed as authentic by the U.S. Supreme Court #RoeOverturned #RoevWade #SCOTUS https://t.co/jw6HNC4lT1"
18,"Joan and I met this 95-year old World War II veteran while out door knocking in DeKalb. Joined Marines at 17 and was on a ship in the Pacific preparing for the planned ground invasion of Japan right before the war ended in 1945. 

The Greatest Generation! 🇺🇸 https://t.co/jSgBk3cT03"
19,"SPC Evans died trying to save the lives of strangers who were illegally crossing our southern border, and he died in the line of duty."
20,"Rest In Peace SPC Bishop Evans, United States Army.

Our prayers and condolences to his family, friends, and National Guard unit. https://t.co/FIXhYhkEup"
21,Today was a good day.
22,"Thursday, April 14th in DeKalb, our campaign HQs Ribbon Cutting Grand Opening w/special guest the great ⁦@JeanneIves⁩ 🇺🇸

Hey and free 🍔🍔🌭🌭s

See you there! https://t.co/bFB8k9nrOB"
23,"We ARE going to flip IL-14 from blue to RED in November. Big end-of-quarter fundraising drive EVENT this Wednesday night at @WhiskeyAcres in DeKalb, IL. If you can't come in person you're welcome of course to contribute here:

https://t.co/VM1YmMtpjJ

Full Speed Ahead! 🚀🇺🇸 https://t.co/z2iJTedbtA"
24,"North Utica, IL #RedWave2022 #IL14 https://t.co/u7V3S6KFTL"
25,Plainfield St. Patrick’s Day Parade 2022 ☘️🇺🇸🚀 https://t.co/k3YJQZvRYO
26,"Yorkville St. Patrick’s Day Parade 2022 
🍀🚀🇺🇸 https://t.co/It7BWMVqt7"
27,"Great event last night in Plainfield put on by @SafeSuburbsUSA. 

Fixing the crime problem that plagues our communities first requires supporting honorable men and women in law enforcement. 

#BackTheBlue https://t.co/llGuBd5dwr"
28,Our full statement on Ukraine. https://t.co/aV4BKbc2lr
29,"@wrok_riley From @FattysDeKalb, their famous Homeplate Nachos. SO good."
30,"Out on the campaign trail, plus nachos 🚀🇺🇸🥙
#Somonauk #SugarGrove #DeKalb #Yorkville #LaSalle #WillCountyYRs #FriendsofNRA #nachos #IL14 #RedWave2022 https://t.co/WjgySiSnFG"
31,"Some great events over the past week or so out on the campaign trail in IL-14. Winter weather be darned ❄️🛣

Change is coming to DC, and nothing’s going to stop this movement #RedWave2022 🔴🌊 https://t.co/PAz6ZKrAhM"
32,"This @dailyherald piece just dropped about the state of IL-14, and you don’t need to read between the lines to see we are the frontrunners in the race to defeat Big Government Lefty Lauren Underwood.

Full Speed Ahead! 🚀🇺🇸 https://t.co/DZbZG9l2ru"
33,The coming 🔴 🌊 is palpable and it’s still only January 🚀🇺🇸 https://t.co/c5AotLOQyi
34,"Great turn out to our Meet &amp; Greet in La Salle last night despite the 🥶

We are flippin’ IL14 🔵➡️🔴 in ‘22

Let’s Go! 

🇺🇸🚀 https://t.co/oCIvQiVabz"
35,"I enjoy shoveling snow ❄️. Good exercise and there’s a clear sense of accomplishment when that driveway and sidewalk are cleared.

Back-to-back days of snow shoveling, clearing the exact areas you just shoveled yesterday? Yeah that’s not as enjoyable 😑"
36,Knocking these signature petitions for Koolidge for Congress OUT 🗳🚀🇺🇸 https://t.co/3r39CnTfV9
37,First weekend of collecting signatures. Let’s go!! ✍🏼🚀🇺🇸 https://t.co/glzTfUfNeE
