Unnamed: 0,Text
0,RT @CNN: The chaotic mix of record fuel prices and an unending supply chain crisis have retailers considering the unthinkable: Instead of r…
1,RT @thejanasanchez: Seriously SCOTUS is on a mission for Christian Nationalism. It’s not even pretending.
2,RT @Sifill_LDF: What I like about this clip is to watch it on mute - because that moment when the anger overtakes her at the failure of jou…
3,"RT @wfaaweather: Monday high temps:

What are you going to do tomorrow?

Build a snow man? Go sledding? Shovel the driveway?

#wfaaweather…"
4,RT @OccupyDemocrats: BREAKING: Congresswoman Alexandria Ocasio-Cortez demands the impeachment of Supreme Court Justices Kavanaugh &amp; Gorsuch…
5,@SweetestTaboo10 Old white men including Biden &amp; establishment Democrats are the problem. No point in talking to my Republican representative &amp; the @texasdemocrats didn’t even run a candidate against him.
6,Where was the response from Biden?  He had months to have something ready. https://t.co/o53Yzw081z
7,"RT @ewarren: Clarence Thomas made it clear: right-wing extremists aren’t stopping at abortion. They’re coming after marriage equality, cont…"
8,"RT @danielsgoldman: If Congress eliminates or amends the Hyde Amendment, the federal government can provide abortions around the country, i…"
9,"RT @SethAbramson: If Democrats have the courage of their convictions, an impeachment investigation into Clarence Thomas will begin Monday.…"
10,RT @DanRather: I’m curious: which companies now paying for abortions for their employees also gave money to senators who voted to confirm t…
11,"RT @OccupyDemocrats: BREAKING: The Vatican calls out American pro-lifers for cherrypicking the Bible on abortion, reminds them that pro-lif…"
12,"RT @QasimRashid: Your friendly local Muslim &amp; lawyer here to remind you Sharia permits abortion up to 120 days, for rape/incest, when fetus…"
13,This is exact what Democrats must demand of Biden. https://t.co/FZdJ1jqs0c
14,RT @OccupyDemocrats: BREAKING: Congresswoman Alexandria Ocasio-Cortez responds to Marjorie Taylor Greene after Greene accuses her of “launc…
15,"RT @ewarren: If the Supreme Court overturning Roe v. Wade feels like a personal attack, it’s because it is. Extremists are trying to send u…"
16,@mtwrighter To show how badly Democrats fucked this up.
17,"RT @JasmineForUS: If you missed us, we talked about yet another backwards Texas politician as it relates to the Roe decision."
18,"RT @katiephangshow: “[Ken Paxton] wants to celebrate the fact that this monumental legal change is going to kill women.” 

@JasmineForUS sa…"
19,@thejanasanchez Mischief &amp; Mayhem in some wildflowers https://t.co/de4pPfumf8
20,"RT @mtwrighter: Had Joe #Biden believed #AnitaHill instead of shitting on her &amp; verbally assaulting her for coming forward, then we would n…"
21,RT @donwinslow: For all those who sat out the 2016 Presidential election because you wanted to make a statement (and bragged about it on Tw…
22,"RT @donwinslow: This is what happens when they go low and we go high. 

And until the Democratic party is willing to fight these horrible p…"
23,Know your history all the shit going on now started with Reagan. It’s been a long game played very well by the Republicans.
24,@donwinslow Donate directly to candidates. Don’t waste your money elsewhere.
25,"RT @VivianLeal123: We have 13 federal districts. We should have 13 Supreme Court Judges.
#ExpandTheCourt"
26,RT @CNN: Donald Trump's lasting legacy will now be the overturning of Roe v. Wade | Analysis by Chris Cillizza https://t.co/MCSUJ8Xkd6
27,"RT @MaryLTrump: For everybody saying it's unacceptable to change the number of Supreme Court justices, Mitch McConnel did that for almost a…"
28,"RT @RBReich: If Thomas is correct, wouldn't the Supreme Court's 1967 decision in Loving v. Virginia also have to be reversed, barring him f…"
29,@NPRPodcastJunki @playeryost10 @OccupyDemocrats Exactly.
30,RT @gcaggie17: Good ole @EffinBirds always knows the right things to say. #SCOTUS
31,RT @thejanasanchez: Joe Manchin’s “alarm” and Susan Collin’s concern ain’t worth shit.
