Unnamed: 0,Text
0,The senate is working on a bipartisan gun law. It’s a start in the right direction. Get it done!
1,Wade Herring is the Democratic nominee for the 1st congressional district.  Let’s beat Buddy Carter in November. #1CD #Democrats
2,"When Flores is sworn in, the following congressional records will be set: 
Women in Congress (147) 
Women in the U.S. House (123) 
Republican women in Congress (41) 
Republican women in the U.S. House (33) 
Latinas in Congress (15) 
Latinas in the U.S. House (14) 
#women #1CD"
3,It’s Election Day in Georgia. Get out and vote in the runoff! #vote #1CD #doyourpart
4,"J. Michael Luttig said“Or, if it is to be, we are in need of a revival around a new vision, new truths, new values, new principles, new beliefs, new hopes and dreams that hopefully could once again bind our divided nation together into the more perfect union that ‘We the People’"
5,"RT @OccupyDemocrats: BREAKING NEWS: The New Mexico Republicans who refused to certify a Democrat who won his election fold, certify the Dem…"
6,Celebrate Freedom! So many opportunities in the community. Find one in your local community. #juneteenth2022 https://t.co/9LIba17Sf0
7,"Yesterday afternoon, the Senate voted to pass legislation that will cover health care costs for veterans suffering respiratory illnesses linked to exposure to toxic burn pits. #veterans #burnpits"
8,"The colors of the flag.                       White for purity and innocence.
Red for valor and hardiness.
Blue for vigilance, perseverance and justice. https://t.co/lbXLmwkocR"
9,"RT @VoteChoice: Prosecutors in TN, GA, VA, and NC have said they will not enforce state abortion bans or they will not prioritize abortion-…"
10,"President Biden it’s time for an executive order banning AR-15s. I’m tired of these senseless killings. Don’t wait for congress, do it now.  #Biden #GunSafetyNow"
11,"RT @VoteChoice: Abortion bans are wildly unpopular. 

We're a prochoice nation, despite what anti-choice politicians would like you to beli…"
12,The Republican Party fights against abortion rights to save babies and yet here is another example where they don’t care about people once they are born. #formula #livessaved https://t.co/b4MiVupCLv
13,I will continue to fight for changes in healthcare in Georgia. https://t.co/E0FGtvE6Fe
14,National Donut Day 2022: Where to find free donuts https://t.co/I8zT3vPz24
15,RT @charlie4georgia: I am honored to be Leader @staceyabrams’ chosen running mate to stand alongside her and to work with the entire Democr…
16,Another shooting!  I’m tired of precious lives lost for the sake of gun rights. There needs to be reform NOW!!!
17,"RT @ReverendWarnock: Students deserve our support when it comes to student debt relief, and they can count on me to push for loan forgivene…"
18,RT @politicsusa46: https://t.co/ee5oVJmurK
19,Hurricane season started today. Are you prepared?
20,I can still receive your support for my campaign to help recover my personal debt. Consider donating to https://t.co/OkNFDgWU2g #1CD #munroe https://t.co/EjPma5XO5h
21,"RT @politicsusa46: OK gang, next week I need your help. I am intensively supporting @LourinHubbard in the run up to his special election in…"
22,RT @PalimenoForGAD1: Federal agents entered Uvalde school to kill gunman despite local police initially asking them to wait https://t.co/cx…
23,"RT @staceyabrams: Now that Brian Kemp is the Republican nominee, the stakes are even higher in this election. 

I know we have what it will…"
24,If you or someone you know needs baby formula. Here is a resource available to you. https://t.co/oWLoSby9pL
25,Three more hours to vote! Vote Munroe. #vote #munroe #Elections2022
26,"Georgia, it’s our day!!! https://t.co/wU1v4IMNtU"
27,Thank you! #Munroeforcongress https://t.co/Qva6ZvuQmg
28,Vote today until 7pm. https://t.co/0K9KsK0nAd
29,Munroe for Congress. #Ga1CD https://t.co/Ec3DqyLejM
30,"RT @PalimenoForGAD1: April 2020 Trump negotiated a decrease in oil production.

#FuelPrice #gasprices https://t.co/KjwkGlksjB"
31,"Politics can be nasty, but I am determined to be better than that. No matter what tomorrow brings, we are united.
#Toabettertomorrowforusall
#VoteBlue2022 #Ga1CD

L to R: Wade, Me, and Joyce https://t.co/JTPBOYWaQg"
32,This is exactly why we need nurses in congress. #Congress #nurse #ACNM #vote #1CD #munroe https://t.co/VzXySjvis9
33,@nathaliejacoby1 Yes
34,Tomorrow is Election Day. Verify your polling location at https://t.co/CI6err9lZ0. The polls are open from 7am-7pm.  Vote for change in Georgia. Vote for a healthy Georgia. Vote Munroe. #ElectionDay #gapol #1CD #Munroe #vote https://t.co/3saglz3hsr
35,RT @politicsusa46: https://t.co/ylVm1yTXrR
36,Our military in action.  We do more than fight wars. #military #OperationFlyFormula https://t.co/8VsuWlEXni
37,It’s National Armed Forces Day! Less than 1% of the country have served. Thank a service member or veteran today. I will fight for you when I am elected #ArmedForcesDay #vote #1CD https://t.co/rNw7MT8wkg
38,"Today is the last day of early voting! Coastal Georgia, vote for a change in healthcare. Vote for a nurse. Get out and vote today or Tuesday. #Vote Now #nurse #munroe #1CD #healthyGeorgia https://t.co/uRlxE8M49H"
39,"Buddy Carter voted against the Infant Formula Supplemental Appropriations Act. How can you be pro-life and yet vote against our babies getting the food they need?  Coastal Georgia, it’s time for change.  #vote #munroe #1CD"
40,I am endorsed by voteprochoice. I will continue to fight women’s rights when you elect me as your congresswoman. #vote #munroe #1CD https://t.co/2LbIalHKOo
41,RT @POTUS: The CDC just approved COVID-19 boosters for everyone five years and older. That means if you or your 5+ child were fully vaccina…
42,"RT @POTUS: Today, the percentage of people receiving unemployment insurance fell below 1 percent for the first time since 1969.

America is…"
43,We are winning in the polls. Coastal Georgia is ready for a trusted leader for change.  Two more days of early voting. Election Day 24 May. #vote #1CD #munroe https://t.co/Ay9YQgBfoK
44,History was made today with equal pay for the U.S. WomenS soccer team.  Let’s make history in November. #Vote #munroeforcongress #EqualPay #makinghistory https://t.co/A6jxzfYJc9
