Unnamed: 0,Text
0,"RT @agroglobaltoken: In line with the technology we are developing, we aim to contribute to the economies of the countries and to deliver c…"
1,@agroglobaltoken
2,@smoneyfinance
3,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Rinkeby #Ethereum test network.
4,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
5,RT @Nader88880139: @ballotpedia I’m filled New Candidate Connection Survey And I Verifying I’m Submitted This Survey And Please include Thi…
6,@ballotpedia I’m filled New Candidate Connection Survey And I Verifying I’m Submitted This Survey And Please include This To My Ballotpedia profile
7,@ballotpedia I’m Filled New Candidate Connection Survey Ok Please Verify This And include All Answers In My Ballotpedia profile
8,@ballotpedia I Confirm I Completed Candidate Survey Ok Please Provide this In My profile in ballotpedia
9,@GizzyNFT 0x7639fa55A11dCb46C48E51814A8538790DF16c54
10,Requesting faucet funds into https://t.co/V4lMsJhaKD on the #Goerli #Ethereum test network via https://t.co/1Z23q5Ql4u
11,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Goerli #Ethereum test network via https://t.co/1Z23q5Ql4u
12,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Goerli #Ethereum test network via https://t.co/1Z23q5Ql4u
13,@TronTest2 TZGtiUuQf1Tjvy9MskCt1jY5kjmZxVoBSD
14,@TronTest2 TZGtiUuQf1Tjvy9MskCt1jY5kjmZxVoBSD
15,@TronTest2 TZGtiUuQf1Tjvy9MskCt1jY5kjmZxVoBSD
16,@ballotpedia I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.         Amirhosseinbtc824@protonmail.com
17,@ballotpedia I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
18,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
19,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Rinkeby #Ethereum test network.
20,This message Sended to mr Eje’i and this show not have have any law in iran https://t.co/Er91phkCUf
21,I just turned on Tips for my profile. Appreciate you. #SendTips
22,"RT @AirdropDet: 🔍 New #Airdrop: NFT Gaming Stars 

💲Reward: Up to 70 GS1 + 120K GS1 referral pool

🔴 Start the airdrop bot https://t.co/jkU…"
23,"@ballotpedia I took the time to complete 
@Ballotpedia
's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly."
24,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
25,"RT @spideygifs: Nothing will ever beat seeing this scene in the theaters
#SpiderManNoWayHome https://t.co/3MWCGoUgno"
26,"RT @FishCryptoGame: 💵Bot Airdrop is live!

🏮Welcome to FishCrypto Community

Participate in our Airdrop and earn to 100 FICO (~$6) tokens f…"
27,RT @Khan_crypto1: @ShibaInuHodler Hey did you heard of awesome meme coin @stork_coin. It will be huge in coming days. I am #Stork holders.…
28,RT @Goldefy_: 📍Announcement For AMA📍
29,"RT @MDLbscofficial: 💎#MDL PRESALE WILl GO LIVE ON #PinkSale 

-Epic #P2E game &amp; scarce #NFTs 😎
-Automatically bring you #USDT reward💸
-Team…"
30,RT @shopDisney: What items are on your holiday wish list?
31,https://t.co/FKQFNjpIip
32,"RT @DragonEvoNFT: Did someone say #Giveaway?🪂

#DragonEvo is giving away💰2000 $USDT to over 850 winners!

To win:
🥚Follow our Twitter
🐣RT o…"
33,"RT @MooMonsterNFT: 🎲Gamestarter Whitelist registration on 28th November 2021
IGO on Gamestarter 30th November 2021
FCFS round: 1st of Decem…"
34,"RT @MooMonsterNFT: Moo monster is pleased to announce our IDO on 4 platforms:
✅@gamestarter_co 
✅@TrustPad 
✅@BinStarterio 
✅ @nftpadoffici…"
35,"RT @onecryptogirl: Winner 🏆 : @BUBBLEYESX

DM me to claim the prize

✔ https://t.co/wOwHIX4Tyd"
36,"RT @4Jnet: ****Meme &amp; Sticker Creation Contest ! ****
Create meme or stickers base on 4JNET token  Economy,  share on Telegram group and Tw…"
37,Home https://t.co/rqy0XeVl5M
38,"RT @FMCPay: 🔥🔥 #FMCPAY #2nd #Airdrop Event in celebration of the previous successful Airdrop Event !!

🎇 Let's rock because the FMCPAY Aird…"
39,RT @WazirXIndia: Describe your favorite cryptocurrency with the title of a movie 🍿
40,"RT @subaru_usa: Today is the day to celebrate your canine companion, your right-paw man, your best friend furever! It’s the perfect time to…"
41,"RT @DefiOfThrones: Welcome to DeFi of Thrones! 🎉
We are proud to reveal our new 2D Explainer Video.

Join the Game Today: 🔥
https://t.co/Bg…"
42,"RT @latoken_rewards: LATOKEN #DefiOfThrones Giveaway!

💰 200 random users ➡️ 3 USDT each

7 Lucky traders of:
💵 20-240 DOTX ➡️ $80x1
💵 241-…"
43,I just subscribed to Klever News https://t.co/pWdEcu7SCX
44,"BREMIT is upcoming disrupting innovation for moving money using blockchain technology, applause to the team.
Let's appreciate efforts by joining the movement and earn free crypto.
 https://t.co/utAeFm3rNd"
45,Requesting faucet funds into 0xD82F633932F5d1646d7151FB39Fe86b0f3Cf8230 on the #Goerli #Ethereum test network via https://t.co/THQvXK1jQK
46,RT @Nader88880139: @dkt_finance
47,@dkt_finance
48,"RT @Grandle_DeFi: DeFi applications built on Ethereum are largely based on open access, anyone with a stable internet connection and crypto…"
49,Ÿ
50,Paying Surveys https://t.co/8VRwWHKLoN
51,Requesting faucet funds into 0x993F492f545D9AccE36c372f29EBC4baF7F5BCFb on the #Goerli #Ethereum test network via https://t.co/THQvXK1jQK
52,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Goerli #Ethereum test network via https://t.co/THQvXK1jQK
53,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Rinkeby #Ethereum test network.
54,Requesting faucet funds into 0xA5ebc39d308a887D49880D88e350Be67a26cDb4f on the #Rinkeby #Ethereum test network.
55,Requesting faucet funds into 0xa6d041416F9527A971316c5A0ae0Af0B51F40Eb8 on the #Rinkeby #Ethereum test network.
56,Requesting faucet funds into 0xA5ebc39d308a887D49880D88e350Be67a26cDb4f on the #Goerli #Ethereum test network via https://t.co/THQvXK1jQK
57,Requesting faucet funds into 0xA5ebc39d308a887D49880D88e350Be67a26cDb4f on the #Goerli #Ethereum test network via https://t.co/THQvXK1jQK
58,@XfinanceMobile HI ALL DEAR FRIEND IHAVE YOU LOVE
59,@bitnumeral Hi you are good
60,@dbookplatform 0x7639fa55A11dCb46C48E51814A8538790DF16c54
61,"@dbookplatform 
0x7639fa55A11dCb46C48E51814A8538790DF16c54"
62,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Goerli #Ethereum test network via https://t.co/THQvXK1jQK
63,@ICOAnnouncement Ok thank you
64,@ICOAnnouncement Ok
65,@BeforeCMC
66,Looking to join @InitiativeQ. Please send me an invite. 🙏 https://t.co/4oIkeOBdkM via @initiativeQ
67,Ok https://t.co/l1QX2lenQV
68,Geld über meinen PayPal.Me-Link senden: https://t.co/vmVlHbcRmy
69,@cctip_io Hi I didn't receive this airdrop why
70,"🏆VYPER Network Airdrop is live

▶️Link: https://t.co/PMcS7JalTP

💲Get 0.5 VYPER for complete all tasks and 0.1 VYPER for each valid referral.

➡️ Token will be distributed in 31st October,2020

#Airdrop #Airdrops"
71,"RT @DogDeFiCoin: 🌕!!This is the Lottery Tweet !!🌕
Step 1: Follow Twitter @DogDeFiCoin 
Step 2: Retweet &amp; like this post+tag 2 friends
Step…"
72,RT @justinsuntron: Keep going! #TRON #TRX $TRX @DeFi_JUST #JUST $JST #JST https://t.co/dHcd2WkcGj
73,@DashcoinXC very good
74,@BitrueOfficial KOSSENANATON
75,Join me and support Naderakhlaghy57 on DLive! https://t.co/Pr3L8tg2FZ
76,yes
77,"RT @horizenglobal: We are thrilled to announce that #Zendoo, the 1st decentralized and fully customizable sidechain protocol, is live with…"
78,Speed
79,https://t.co/ctKGc3EpAr
80,RT @MelanieMoore: @djbaskin https://t.co/DfVTlyExOC
81,RT @SCChristodoulou: @djbaskin @haleshannon I have selected my character and named her Cosy McHoodie. https://t.co/mr1ijzmMgI
82,"RT @europe_tron: Surprise! In Preparation for our TESD raffle here is a giveaway for you guys! 🎉

5 x 10k TERC
10 x 5k TERC

Follow @europe…"
83,Requesting faucet funds into 0x7639fa55A11dCb46C48E51814A8538790DF16c54 on the #Rinkeby #Ethereum test network.
84,"@BittrexExchange 
You need help i have for help"
85,"@BittrexExchange 
I google and bitcoin and ethereum developer and owener of 0xzrx token and protocol"
86,"https://t.co/zRCYVQfJeR inviting you to join RainMoney, a site that lets you earn money with social media. I just earned $37.00 and you can too! Sign up today for a $25 bonus!;hashtags=onlinejob #earnmoney #makemoneyonline #onlinemoney"
87,"https://t.co/zRCYVQfJeR inviting you to join RainMoney, a site that lets you earn money with social media. I just earned $27.00 and you can too! Sign up today for a $25 bonus!;hashtags=onlinejob #earnmoney #makemoneyonline #onlinemoney"
88,@DigitexFutures https://t.co/HDGm8VCaED
89,@gechainnews best
90,@poshcoin
91,"IMO Exchange 🎉Christmas Airdrops, Carnival Get your USD0 for free

Pool:  $ 50,000, Per person: 8 USD0 (1USD0 = 1 USDT)

Come to earn:
https://t.co/mAijgHeGIV

#Airdrops #Crypto #USD0 #BTC #IMOEX"
92,"Good news for @Chiliz hodlers 🤩

@WazirXIndia will be holding a Highest Trader Kaun contest for #CHZ next week.

There's a total bounty of ₹3,50,000 worth CHZ!
https://t.co/nlx2JQdy7v"
93,"RT @MrBeastYT: I’m going to give away $30,000 to 1 random person who retweets this tweet AND follows Twitter Philanthropist @Pulte and me!!…"
94,@SGC___official ilove you
95,@bitmovio Good airdrop
