Unnamed: 0,Text
0,Let’s talk #election results Sunday morning on #WFAY-100.1 or #WMRV-106.5 or anytime via #podcast @ https://t.co/KhGraZXhrE
1,A true public servant who will be missed in the City.  Thank you Chief Bowen’s family for the sacrifice you have made through the years!  Rest In Peace John. https://t.co/1hb3BaNiJJ
2,RT @fayobserver: Myron B. Pitts: Poll: Applewhite leads deViere in tense Democratic primary in Cumberland https://t.co/FYkuWYsRhb
3,"RT @RaleighReporter: Per finance records, Cooper-endorsed Senate candidate Val Applewhite's campaign is headquartered at office of Nexus St…"
4,"Today I withdrew from the congressional race.   The day is still young, and I will look for another opportunity to serve and give back to the community that I love.   
So blessed to have such a talented and hardworking campaign team too; I can’t thank you enough for your help!!!"
5,RT @LawrenceShaheen: Cooper just vetoed the parents choice on masks bill. Just a reminder to all #ncpol voters that a vote for a Democrat i…
6,"RT @nsjnews: Trial court upholds legislative maps, draws new congressional lines
https://t.co/mkpV4iho6W #NCPOL #NCGA"
7,RT @JoeBrunoWSOC9: Wow- here are the new Congressional districts from the 3-judge panel/special masters #ncpol @wsoctv https://t.co/yUzNxdw…
8,RT @MichaelWNCN: BREAKING: Trial court accepts the revised state House and state Senate district maps the #ncga passed last week but reject…
9,RT @NatRobertsonNC: It means a lot to be recognized for the work and relationships we have built with our Law Enforcement partners! #Keepin…
10,"RT @FoxNews: Sen. Rand Paul: Democrats have overplayed their hand, will 'lose the public' over COVID-19 mandates https://t.co/g1puGXXxS4"
11,RT @BryanRAnderson: North Carolina Republicans will redraw legislative and congressional maps following a state Supreme Court order. #ncpol…
12,RT @DallasWoodhouse: According to NC AG @JoshStein_ the @NCDemParty controlled Supreme Court just threw out the maps in the ultimate Friday…
13,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
14,"RT @DanielTurnerPTF: CNN is blaming skyrocketing prices on climate change.

Fake news outlets will blame inflation on everything but Joe Bi…"
15,"PLEASE JOIN US for the Campaign HQ Open House!  Rescheduled for this SATURDAY from 11-1pm.   Due to the weather, we had to reschedule this event to this Saturday, 2/5/22.
Address: 2810 Bragg Blvd, Fayetteville NC
(located in front of Carly C's IGA in Eutaw Shop. Ctr.) https://t.co/7t2WA5M9xs"
16,"RT @AndySpecht: Sunday story from @NCCapitol:

What two contradictory redistricting decisions could tell us about this week's Supreme Court…"
17,"RT @RNCResearch: NBC's Chuck Todd: After a disastrous first year, Biden is ""no longer seen as competent and effective. He's no longer seen…"
18,THANK YOU for your service! https://t.co/hUe1ZcK9Ec
19,RT @MZHemingway: Oh.
20,RT @GoNCRichardson: https://t.co/73prl6ahBt
21,"RT @JohnLockeNC: In a victory for the voters, and after unrelenting exposure by the @CarolinaJournal, the state Supreme Court has announced…"
22,"Kim and I send our best wishes to you and your family for a healthy and prosperous new year!
@CumberlandCGOP @JOCO_GOP_NC @HarnettGOP @YoungHarnettGOP @GOP @NCGOP @GOPLocal @JohnLockeNC  #SampsonCountyRepublicanParty #NewYear #Nat4Congress #Congress2022 #NRCC https://t.co/w8ETzAkOwN"
23,https://t.co/eCOoi13w0x
24,RT @WesleyHuntTX: This is how tyrants speak. https://t.co/cjdWKSQZ0S
25,RT @NatRobertsonNC: https://t.co/gjwOvCRj5r
26,RT @NatRobertsonNC: Naughty or nice?  Don’t let the Grinch decide. Thank you for your support in Dunn North Carolina today for the annual C…
27,RT @donaldbryson: North Carolina’s “Whole County Provision” for #redistricting was not a historical accident - and the Left desperately wan…
28,@CityOfFayNC @FayettevillePD Thank you all for your service to our community!
29,"Merry Christmas week! @ Trump International Hotel Washington, D.C. https://t.co/4joqLikTfp"
30,RT @NatRobertsonNC: Conformation @ballotpedia #Nat4Congress #Congress2022
31,"RT @GOP: Joe Biden and Democrats are failing to stop rising crime. 
 
And they refuse to take responsibility for the chaos their policies a…"
32,RT @NWSRaleigh: Line of strong storms will move through the Triangle and Fayetteville over the next couple of hours. Gusts up to 40-50 mph…
33,"Who’s the short, fat, jolly ole soul… oh, that’s me.  lol.  Merry Christmas from the #ClaytonChristmasParade, #Nat4Congress, #Congress2022
Johnston County Republican Party https://t.co/uX9kwZt761"
34,"RT @NikkiHaley: ""The sad reality is that the communities the Democrats claimed to be helping are the very folks most harmed by under-resour…"
35,RT @SenateGOP: Senator Bob Dole rests one final time in the Capitol he loved 🇺🇸 https://t.co/lXGAF5lKEi
36,RT @NCGOP: https://t.co/Pw4wC4HS0C
37,We have to put a stop to the trillion dollar spending and record inflation!  #Nat4Congress #Congress2022 https://t.co/ZF3WOtUwYy
38,Conformation @ballotpedia #Nat4Congress #Congress2022
39,Clowning around at the Smithfield Christmas parade!  #nat4congress #merrychristmas2021 #congress2022 #NCGOP #jocogop https://t.co/9hHnArpIFD
40,"RT @URDailyHistory: 7 Dec 1941: The #Japanese Navy bombs the U.S. #naval base at Pearl Harbor, #Hawaii in a surprise attack, bringing the U…"
41,"RT @FoxNews: ‘Chocolate Chip Pecan Pie’ combines two decadent desserts for Christmas: Try the recipe
https://t.co/XTL0J5Zeiq"
42,"RT @newsobserver: A court has stopped candidate filing in congressional and legislative districts just before it was supposed to start, acc…"
43,"Watch for a swarm of big name carpetbaggers with no experience coming into our Congressional district wanting to represent our values.  What do they know about our way of life?  #congress2022  #Nat4congress 
#JoCoGOP #CCGOP #SampsonGOP #HarnettGOP https://t.co/2gR8hDxDLy"
44,RT @MurphinNC: Here’s the latest: https://t.co/WEjzZbrRF8 https://t.co/Dhj7En48yK
45,"RT @URDailyHistory: 5 Dec 1933: The 21st #amendment to the U.S. #Constitution is ratified, ending the #prohibition of #alcohol, when #Utah…"
46,"Congratulations to all the NCGOP Hall of Fame nominees!  It’s an honor to attend this annual event.   #HallOfFame, #ncgop, #Nat4Congress https://t.co/S1ziC60E6w"
47,"Naughty or nice?  Don’t let the Grinch decide. Thank you for your support in Dunn North Carolina today for the annual Christmas parade. Let’s keep Christmas alive!  #merrychristmas2021, #nat4congress, #congress2022, #dunnnc￼￼￼ https://t.co/lrWJlf0BF7"
48,"So here is the sweetest Christmas card I’ve ever received.   Thank you so much Zakrey for the warm wishes!  Your return letter is in the mail… 🤗 
#congress2022 #Nat4Congress #merrychristmas2021 https://t.co/3BXf7cSsC9"
49,https://t.co/gpLPfbyyCS
50,"Happy Thanksgiving to you and your family from Kim, me, and our campaign team!    https://t.co/JakWkidICd"
51,RT @NatRobertsonNC: https://t.co/bNvYhHCNyt
52,https://t.co/bNvYhHCNyt
53,"RT @beckigray: Inflation continues to rise. With no end in sight. 
This is not good news. 
https://t.co/w7r6i2VU6q"
54,"RT @tedcruz: Joe Biden is Jimmy Carter all over again. 

✅Skyrocketing inflation
✅Gas lines
✅Middle East in crisis https://t.co/ISs4NlbySo"
55,"RT @jacobkschneider: Kamala Harris gets asked an actual question for once and has no idea how to respond.

Her response on Russia's threat…"
56,"RT @NCGOP: Biden loves to claim his inflation is “transitory,” but higher prices are here to stay – economists project that high inflation…"
57,RT @URDailyHistory: 13 Nov 1942: The #captain and crew of the USS William D. #Porter are arrested and investigated for trying to assassinat…
58,RT @HouseGOP: God Bless our Veterans. https://t.co/7oDnKFNdrg
59,"RT @RaleighReporter: New from me: Former @CityOfFayNC Mayor @NatRobertsonNC is running for the open seat 4th Congressional District. 

R-le…"
60,"RT @FO_Woolverton: Former Fayetteville Mayor @NatRobertsonNC, R, running for the new #NC04 Congressional District.

Could face Cumberland C…"
61,RT @GOP: The red wave is coming! https://t.co/gvfeoS9rL8
62,https://t.co/vTXlqEvW7W
63,@jdanbishop Congratulations Dan!  You are a great Representative!
64,@BootCutDenim Yes.  Republician and conservative.
65,https://t.co/gjwOvCRj5r
66,"I am excited to announce my candidacy for the new Congressional District 4, encompassing Cumberland, Johnston, Harnett &amp; Sampson Counties.  I look forward to seeing you on the campaign trail!  https://t.co/NGPVA0k8BK will be up later tonight. https://t.co/YADRYtig5F"
67,"RT @BusinessNC: The end of redistricting brings #ncpol candidate news from @NatRobertsonNC, @NidaAllam, @scottdstone, @BobbyHanig and other…"
68,Let’s GO ARMY! https://t.co/X6mKCgIG5R
69,RT @SenatorTimScott: Biden's vaccine mandate places an undue burden on businesses &amp; workers who have already faced so much difficulty throu…
70,This has got to stop!!! https://t.co/v0nFwjfGQc
71,RT @BrentWoodcox: You vs. the guy she told you not to worry about. The last Senate map drawn after a census when Democrats were in control…
72,https://t.co/eCqJ9B397r
73,https://t.co/QMngKCxlNH
74,RT @TheCarolinaCab2: https://t.co/N9vJeSA2Eb
75,"RT @WSJ: CVS, Home Depot, Ulta and Target all have something in common. They’re struggling to keep up with organized crime rings stealing f…"
76,"RT @TheCarolinaCab2: Take a listen to #Fayetteville native @WadeFowler, @FAYPWC Chair, former @CityOfFayNC Councilman and owner of #FowlerS…"
77,"Careful if using @cvspharmacy on #braggblvd.  They will deliver the wrong medication if your not checking it.  Worst part, no returns &amp; no refund.   @CVSHealth @CVSinAction @cvs https://t.co/alhRfC0MGY"
78,Budd’s NC Senate campaign draws fire for ag company’s bankruptcy | Charlotte Observer https://t.co/iqnUVi5dOl
79,RT @AllAmericanJen: 🤦🏼‍♀️
80,RT @FoxNews: Bill Cosby accuser Andrea Constand speaks out following his release from prison: It's 'disgusting' https://t.co/x8wkyst9FY
81,"RT @TheCarolinaCab2: If you didn’t like the new City of Fayetteville, NC Government logo, wait until you hear the new name of XVIII Airborn…"
82,"When best friends get together, there is no telling what may happen… Cameron, Carly &amp; TWE
@NatCamRob @kimrobetsonnc https://t.co/859lqitBGC"
83,"Kim and I send our deepest sympathy, prayers and condolences to the family of former Council-member Bill Crisp.   Bill was truly a public servant and statesman.   He will be missed! https://t.co/svD95jzB7j"
84,RT @TheCarolinaCab2: The latest episode of @TheCarolinaCab2 welcome in studio our guest from @NCFaithFreedom. Take a listen and follow our…
85,RT @JoeBrunoWSOC9: Carolina Panthers among most COVID-19 vaccinated teams in the NFL  https://t.co/Ah5ZLNLpnd
86,"RT @TheCarolinaCab2: Welcome @jdanbishop to the Cabinet!  We discuss Congress priorities, CRT,  @LumbeeTribeNC &amp; predictions for 2022.    I…"
87,RT @TheCarolinaCab2: So let’s talk about our #2ndAmendment and what’s going on in NC to protect our #GunRights… Introducing Mr. Paul Valone…
88,@NCPublicSafety @NCNationalGuard Congratulations Erik!
89,"RT @TheCarolinaCab2: If you are a conservative, you will enjoy this show.  If it’s RIGHT, we’re talking about it!

https://t.co/dV5J35KurH"
90,RT @BrltneySWorid: She’s a human being... #FreeBritney https://t.co/iu3n4CUChp
91,"RT @TheCarolinaCab2: Do your friends a favor…
Please share this tweet with your conservative followers and turn them on to the “smartest 60…"
92,"RT @GOP: “There's a lot of black community leaders out there, there's a lot of people in the community who feel that having an increased po…"
93,RT @RaleighReporter: Anyone need a recently retired Official Legislator Chair from the #ncga House chamber? https://t.co/Rtb8Rotn1G
94,Congratulations to #SusanMills  NCGOP Vice Chair and to NCGOP Chairman #MichaelWhatley on your @NCGOP elections!   I look forward to seeing the great things your doing for #NC ... https://t.co/jFiqA4fLcw
95,@verified Please verify me.
96,RT @ArmyChiefStaff: We will never forget our brothers and sisters who paid the ultimate sacrifice for our great Nation. And to our Gold Sta…
97,"For the @NCGOP, join me in supporting Susan Mills for Vice Chair. https://t.co/yQZsRIw6ej"
98,RT @TheCarolinaCab2: Add #TheCarolinaCabinet to your list of favorite Podcast.  Last week we spent time with @NCGOP’s @WhatleyNCGOP discuss…
99,RT @TheCarolinaCab2: This week join #TheCarolinaCabinet for an in-depth interview with @JohnHoodNC author &amp; president of the @PopeFoundatio…
