Unnamed: 0,Text
0,RT @SergioVengeance: @Mrnickles11 @ConSelfOwns George Carlin https://t.co/goldZBJMWp
1,RT @swordsjew: its not the taliban. its not sharia. its not muslims. its homegrown good old christian fanatical hate
2,"I just read “Hard to feel Patriotic for a country that doesn’t respect me” THIS feeling is nothing new. THIS OUR experience in America which is compounded if you are a Black woman. Black men, our women have cried &amp;pleaded for us to protect them for yrs. WE can’t Fail THEM!"
3,RT @mPinoe: DEMOCRATS IN ELECTED OFFICES….we DID VOTE. It ain’t sing song on the steps type of energy we are looking for. THE POWER HAS BEE…
4,RT @davidhogg111: I’m old enough to remember when Dems had a filibuster proof majority in the Senate and had the House and the White House…
5,"RT @dereckapurnell: If this was about babies, there would be universal healthcare. Free education. Free daycare. Southern states would be d…"
6,"RT @sdkoral: Chattanooga Airport CEO Terry Hart is at the podium explaining the $28 million of improvements coming to the airport. 

⁦@wdef…"
7,"RT @TwentyER: Today, im sick and tired! A dust up! 100,000 is not enough, money ain’t nothing to a person who is recycled through coaching.…"
8,"RT @MajorFactor2: Every bit of what Trevor Noah, said. ✊🏾✊🏾

Keep that same energy, MTG, and everyone else that thinks like her. 👇🏾👇🏾 https…"
9,https://t.co/yWYMcuo82a
10,"RT @girlsreallyrule: Son of Buffalo shooting victim asks Senate: ""Is there nothing that you personally are willing to do to stop the cancer…"
11,"RT @HarrisonWest_: It’s mens mental health month.  
It’s okay to ask for help.
Your life matters."
12,"RT @thestitchgod: These are the teams that I already have made &amp; on my website. If you don’t SEE your team in this pic, then I DON’T have i…"
13,RT @REALENTERTAINER: DAY 22 SAY THEIR NAMES... https://t.co/Xr8KkQ4xNa
14,RT @NathalieArzu: I #WearOrange and march for My brother Jose Webster and the countless lives taken by senseless Gun Violence! #EndGunViole…
15,"@thestitchgod The weekends remind why having a 4,2,&amp;1 yr old in your 40s is not recommended. 🤦🏽‍♂️😂😂 Im tired! Is it Monday yet?? I love our daycare!!"
16,Attention Parents and Coaches!! https://t.co/tksDoSOyMw
