Unnamed: 0,Text
0,Republicans just flipped a Seat in CA from Blue to Red for the first time since 1998. #TakeBackTheHouse #CA25 @tomemmer https://t.co/dJMrRt715Z
1,.@MikeGarcia2020 I’ll be happy to serve with you next Congress. You can cover my six anytime. #CA25 https://t.co/yUzpPHFNNO
2,@MikeGarcia2020 I’ll be proud to serve with you. You can cover my six any time. #CA25 https://t.co/yUzpPHFNNO
3,It was great seeing everyone at the Suwannee County Republican Party Headquarters Grand Opening this weekend in Live Oak. https://t.co/otnD1WNT6K
4,We had a great time at the Lynn Haven 4th of July parade! Happy Independence Day! https://t.co/AID2aKDT4H
5,RT @JoeGruters: Great rally with @realDonaldTrump shining a spotlight on the Fl Panhandle and the recovery that is still ongoing.  @SenRick…
6,"RT @GOP: April's jobs report beat expectations &amp; underscored the strength of the @realDonaldTrump economy. 
+263,000 jobs added in April
+5…"
7,RT @GOP: “We will never ever leave your side.” -@realDonaldTrump in FL https://t.co/5PrYqc041Z
8,@POTUS @realDonaldTrump is fighting for North Florida. #PanhandleStrong #HurricaneMichael #POTUS
9,"RT @JimmyPatronis: NW FL is home to resilient residents but we need all of the support we can get from Washington as we rebuild. Tonight, P…"
10,RT @jeffschweers: The @realDonaldTrump announces the federal government will pay 90 percent of the cost because Michael was a category 5
11,RT @weartv: WATCH LIVE: President Trump 2020 Campaign rally. Details:https://t.co/wHDs3erpjh https://t.co/ZJQQQhPoNU
12,RT @marcorubio: Great conversation with @realDonaldTrump on the flight to #Florida about #DisasterRelief for #HurricaneMichael including su…
13,"RT @StephanieWJHG: @GovRonDeSantis is taking the stage now. We have heard from leaders including @SenRickScott, @marcorubio, @DrNealDunnFL2…"
14,Are you ready for @realDonaldTrump rally in Panama City Beach? What are you hoping to hear? #PanhandleStrong
15,"RT @GOP: Tonight, @realDonaldTrump is in Panama City, FL for a #MAGA rally.
 
Don’t miss the President in the SUNSHINE STATE!"
16,Thank you for your commitment to helping us rebuild the panhandle @realDonaldTrump https://t.co/YaNd5I4tiI
17,"Looking forward to showing @POTUS @realDonaldTrump how far the Panhandle has come since Hurricane Michael tomorrow, as well as how far we have to go. #PanhandleStrong"
18,"In this Easter season let us pause to remember all those who sacrifice in the service of others. As Americans we sleep safely because brave men &amp; women stand watch over us, always ready to come to our aid. Leah &amp; I send to them &amp; to all - our very best wishes for a Happy Easter."
19,"RT @mike_pence: The last 2 years, under @RealDonaldTrump, have been 2 years of action – it’s been 2 years of results – &amp; it’s been 2 years…"
20,"It’s always a pleasure to meet new folks throughout the Second District. I had a great time sitting down with Libby Hutto, as well as Syd and Judy Riley from Jackson County last week and discussing my work in Congress. Mrs. Hutto makes a fine pimento cheese sandwich! https://t.co/IIzIvhI6MV"
21,It was great to see so many new faces and catch up with old friends at the Rural Electric Co-op event in Tallahassee this week. https://t.co/4lpLwtSs4z
22,Great to spend time with representatives from the Second District’s Rural Electric Cooperatives last week. They are doing great work in North Florida! https://t.co/kapCUU7qn6
23,"RT @FL_Daily: Florida’s Senators, Neal Dunn (@DunnCampaign) Urge Congress to Rebuild Tyndall Air Force Base: https://t.co/t3AWFq1VeP #tynda…"
24,RT @FL_Daily: @DunnCampaign Wants Veterans Impacted by Hurricane Michael to Have GI Bill Benefits Extended: https://t.co/cwxIzozYqh #hurric…
25,Merry Christmas and happy holidays! https://t.co/DRre22fpW2
26,"December 7, 1941 - “a date which will live in infamy.” Today we honor all those who lost their lives at Pearl Harbor and those who fought for our freedoms in World War II. https://t.co/Gr8pu7Jcub"
27,President George H.W. Bush spent his life serving our great country. He was a true statesman and a humble leader. May he Rest In Peace. https://t.co/yJywIpek9U
28,Thank you to America’s heroes. Happy Veterans Day to all those who have served and continue to serve our great nation.
29,We still have much work to do in Washington and I am committed to working with President Trump to continue this momentum. I am humbled you have given me the opportunity to serve you by representing our conservative values in Washington. 3/3
30,"Over the last 20 months our country has seen historical highs in job creation and small business optimism. We have had great success with the tax cuts and deregulation, but we must continue to support our small businesses and give hardworking Americans a break. 2/3"
31,"Leah and I would like to thank all our amazing supporters who played a part in this victory. As your Congressman, I will continue to work hard to strengthen our economy and improve job growth, fix our broken health care system, support our veterans, and rebuild our military.1/3 https://t.co/Gu66X0vGpq"
32,Races in Florida are going to be close. Please encourage your friends and family to vote! Polls don’t close until 7:00 PM!
33,Polls are open until 7:00 PM. Did you vote? https://t.co/q6gGpXV7d4
34,Election Day is a family affair! I am blessed to have the support of my children and grandchildren who came to town to help get out the vote. https://t.co/NG3q7Yr50Z
35,We just voted! Get out and vote today if you haven’t already. Every vote counts. https://t.co/mI4Zq3WHf3
36,Our volunteers are out in full force reminding folks to vote! https://t.co/iqOpvjcLPc
37,Learn more about the great Republican candidates on the ballot in Florida here --&gt; https://t.co/nQw1Zyluyo
38,If you need to confirm your polling place check here --&gt; https://t.co/czoiSyuyre
39,It's Election Day! Make sure you get out and vote today if you haven't already. Every vote counts! #KeepFloridaRed https://t.co/xsKY0ueKje
40,"Thank you to our amazing volunteers who have been working around the clock to get out the vote! From waving signs to knocking doors, folks in North Florida have been working hard to get conservatives elected at all levels of government. https://t.co/FYBLWBqB1l"
41,TOMORROW is Election Day! RETWEET if you are supporting all of the great Republican candidates on the ballot. https://t.co/RhQpvwK142
42,It was great to see everyone come together today for the Apalachicola Seafood Festival. The Panhandle is resilient and not even Hurricane Michael can keep us down. https://t.co/7ZKRREHyAw
43,"It’s an honor to represent the hardworking people of FL-02 in Congress. With your vote on Tuesday, I will continue to fight for you in Washington by lowering taxes, slashing govt red tape, strengthening our military, supporting our veterans &amp; fixing our broken health care system. https://t.co/H0O6f2uRn1"
44,Early voting info for Calhoun and Jackson counties —&gt; https://t.co/txtICqHMim
45,Leon County early voting info —&gt; https://t.co/J7vVYY0y4N
46,Bay County early voting info —&gt; https://t.co/GT4sliVEaF
47,Early voting is officially underway in ALL counties in the Second District. For full information on polling places click here —&gt; https://t.co/31kiEp0T2G
48,RT @desloge: Great meeting with our Congressman @DrNealDunnFL2 &amp; Kevin Peters our EOC Director - recap &amp; review of #MichaelTLH recovery eff…
49,Counties affected by Hurricane Michael have updates on voting and polling places. Make sure you have the most up to date information —&gt; https://t.co/6dqbGHF3g5
50,"Thank you to our law enforcement, first responders, &amp; military for all that you have done &amp; continue to do to for the Panhandle. I have met many heroes in the wake of Hurricane Michael &amp; I continue to be amazed at how humble &amp; caring those on the front line truly are. https://t.co/Rv0SiLqxq1"
51,RT @BayCountySO: The BCSO has received many questions concerning checkpoints and the ability to move on the roads in Bay County. There are…
52,"RT @captander: Tomorrow, Sunday  (10/24) we will have another truck load of ice and water. This time we will be at the old Toy R us by the…"
53,"RT @NicholasJBique: It was a real treat having Congressman Dunn pay #TeamTally with a surprise visit! #sayfie #flapol

From #TaxReform to r…"
54,More evidence that the tax cuts are working —&gt; Tripp Transou at Tri Eagle Sales in Midway gave me a tour of their facility this week and we talked about small business optimism in the Second District. https://t.co/7Dd7XgXhQB
55,A few more pics from the Columbia County event tonight. https://t.co/DjE5fSDstm
56,Thank you to the Columbia County Republican Committee for hosting a fun and informative event tonight. We have several excellent candidates on the ballot this fall who will fight for conservative values at all levels of government. https://t.co/lKDF5QmoCP
57,We stopped by the Leon County RPOF office this morning to thank all of the hardworking staffers who are dedicating their time and efforts to the conservative cause. https://t.co/g4p3WvspDs
58,"If you needed more proof that business is booming —&gt;

https://t.co/N4pZ0Lbc8V"
59,"I will proudly stand up and fight for the conservative values we share. If you would like to help #KeepFloridaRed please consider volunteering! Click the link below to learn more or request a yard sign. 

https://t.co/bW3bPpALr4 https://t.co/cdV5cqD5W1"
60,This is my constant reminder of why I ran for Congress - my desire to ensure a better future for our grandchildren. https://t.co/JJ7yuXMCXp
61,Today is Primary Election Day! Make sure you get out and vote. We need solid conservatives who believe in smaller government on the ballot in November - like Governor Rick Scott. Every vote counts!
62,We had a great event in Ocala this week. It’s always fun to catch up with old friends and hear about the state of health care in the Second District with doctors and professionals who are on the front lines. Thanks to the host committee and all who joined us! https://t.co/Ud3Ap2rmnc
63,A few extra photos from our event in Lake City this week. https://t.co/aeCxMe4ZIs
64,"We had a great time in Lake City on Monday talking to local farmers, ranchers, and foresters about the issues they face and how we can improve the Farm Bill. Thank you to the host committee for putting together a successful evening. https://t.co/TlA1NyihIP"
65,"It was great seeing everyone at the 49th annual Wausau Possum Festival yesterday. We had fun catching up with friends and meeting new ones, while of course supporting our local volunteer firefighters. https://t.co/mOx9NJGr8A"
66,It was great to catch up with old friends and colleagues last night in Tallahassee. We are working towards fixing our broken health care system by increasing affordability and accessibility. https://t.co/4VSG5rfpKh
67,"RT @BayCountySO: And, once again, Bay County responds with unwavering generosity! We will continue to take donations for the victims of the…"
68,"RT @FLGovScott: If you are interested in helping the families of Franklin County following the devastating wildfire, visit this site from t…"
69,"The tax cuts are working - business is booming and jobless claims have fallen to the lowest level since 1969.

https://t.co/JxgpZG1wl3"
70,"Just a few years ago Nancy Pelosi was praising President Obama's $40 payroll tax cut, yet now she's calling a $1,000 bonus 'crumbs.' Those 'crumbs' will help hardworking families across this country put food on their tables and pay their bills.
https://t.co/OO7uhqf0gF"
71,"Glad to see the Washington Post gave Nancy Pelosi 3 Pinocchios for her false claim that the passage of the Concealed Carry Reciprocity Act is ""inviting violent criminals to carry concealed weapons.""
https://t.co/ekl6YJBVRH"
72,"We made history today by overhauling the tax code and cutting taxes for hardworking Americans. It's time for the Senate to move and get this to President Trump's desk!

https://t.co/N72S2RT8Wx"
73,"Thanks Chairman, so are you. https://t.co/lt2umEFgHX https://t.co/DFbLnnjiOo"
74,"@POTUS is keeping his promise to restore law and order. It's about time we enforce our federal immigration laws.

https://t.co/LWUbMK9sTc"
75,RT @ZekeJMiller: WASHINGTON (AP) - Trump says senators shouldn't leave town for August recess without action on health care overhaul.
76,2013 Lie of the Year https://t.co/3Ym8wAXZ6F
77,THIS is exactly why we need to reform our tax code. https://t.co/FFofIBtpVM
78,RT @SenatorGainer: Another fantastic City of Lynn Haven 4th of July parade! I enjoyed seeing all those wonderful faces today. Great way to…
79,Had a great time celebrating our independence at the Lynn Haven Fourth of July parade this week. https://t.co/Cza5Q6UPd6
80,"Almost every week, we hear of rising premiums or plans pulling out of the market. We cannot accept the status quo as Obamacare collapses. https://t.co/0dZOs9QWIw"
81,"I don't know about you, but I'm fed up with the Left's relentless attacks on our President @realDonaldTrump. https://t.co/CGZuGPOE4F"
82,RT @NRA: Good news: Pres. @realDonaldTrump has been easing Obama-era #gun restrictions... https://t.co/2HngvXSPfr #2A
83,From the Dept of Promises Kept: AG Sessions outlines plan to crack down on illegal immigration &amp; protect borders. https://t.co/mJLz0RfMkN
84,"Once again, Democrats are ignoring the will of the American people &amp; playing partisan games with the future of our country. #ConfirmGorsuch"
85,"JUST IN: Senate Democrats are officially going to filibuster Judge Gorsuch's nomination to the SC. #ConfirmGorsuch 
https://t.co/BPZz7VVjZw"
86,"Hard to believe all democrats wouldn't stand to support our law enforcement officers, to keep our kids safe in schools, or to defeat ISIS."
