Unnamed: 0,Text
0,We have officially entered religious rule as the Supreme Court mixes Church and State by allowing teacher to have students pray!
1,Had we elected Hillary Clinton we would have the Supreme Court!
2,Democrats should start exercising their full rights to the 2nd Amendment and we will start to turn the table@on the republicans!
3,If a Supreme Court Justice lies to the Senate they should be impeached! #Impeach #SusanCollins #mybodymychoice
4,"Dear @GovInslee,
Rather than making it difficult for other states to investigate if their citizen visited Washington for an abortion let’s make it illegal for them to investigate if their citizens visited. 

Sincerely,
The Residents of Washington State"
5,"@shadow5bass I agree with you, and we need organizations to start supporting independent candidates. At the moment most ballots like the one I received yesterday in the mail have three parties on them! Democrat, Republican, or Trump Republican!

I know they have agendas I was fighting one!"
6,@shadow5bass So for the love of what ever you believe in what is the answer? Because right now our best bet is BLUE!
7,Get MAD 😡 Get PISSED 😡 AND VOTE BLUE 🌊🌊🌊🌊🌊🌊
8,As we can see our country is heading in the wrong direction. As a Pro-Choice Ally and it’s time we stand up and say enough is enough! It’s time to take our country back from the @GOP and the right wing lunatics!
9,Happy Juneteenth! As we celebrate freedom from slavery we remember those who we lost and suffered under slavery!
10,(3/3) we decided to drive 10.5 hours from Atlanta to DC 1PM-11PM I drove my husband only stopping once for gas to get to this moment because there was absolutely no way I was going to let him miss this moment! This man deserves all of this and moreCap and Gown coming in a bit! https://t.co/Xi1e8G1zmK
11,(2/3) We waited in 3 lines for 5 hours being pushed from one to another. They took our bags and wouldn’t give them to us. We got 2 hours of sleep Early Friday morning just to get back to the airport from a hotel to be on standby! After two flights and not getting on either
12,(1/3) On Thursday my husband and I left Seattle heading for DC for one mission for him to walk across the stage to get for his Masters Degree. We went through hell to get here to this moment! Thursday @Delta delayed and then canceled our flight after landing in ATL!
13,#ReformAirlines
14,@john_jseagraves @Delta The bag is off the plane downstairs and flights are still landing!
15,This is crazy @Delta is holding our baggage and refusing to give it to us because they won’t pull any more bags until tomorrow!
16,@john_jseagraves @Delta I fly @Delta all the time this is the first bad experience I have had and it is a massive mess up!
17,Wow @Delta your failing at every step! We just waited an hour@in the line at the gate desk as we were told to rebook our flights and an hour later you close the desk and force us to the help desk line to wait 2-3 more hours? @Delta this is ridiculous https://t.co/F0inMNznkg
18,@_ashawndabney Me!
