Unnamed: 0,Text
0,"Great leaders should understand two things, #1 - where are the resources that improve organizational efficiency, business growth &amp; promote a positive work environment; #2 - all of the above can be found at the @SHRM Annual Conference &amp; Expo! 

#SHRM22 ⁦@SHRMFoundation⁩ https://t.co/eXhA07ijJA"
1,May God Bless America 🇺🇸
2,RT @AFL_ThePlatform: Our prayers are with the Barnett family and the entire @JMUSports family. Sports has a way of teaching so many life le…
3,"Assuring that every U.S. Veteran is gainfully employed after their service to our Nation is of personal importance to me! When you #HireVeterans you uplift your organization. 

Thank you for highlighting the amazing talent, craftsmanship, &amp; dedication of our #Veterans - 🇺🇸💪🏾 https://t.co/NTRTwfIqvw"
4,"RT @AFL_ThePlatform: Be the change! #GoNavy

#AthleteForLife"
5,@FLAGSofVALOR Outstanding! 🇺🇸💪🏾
6,"@LEF4LCPS @POUNCEmarketing @LoudounBiz @Commanders Brian- Welcome to the @LEF4LCPS team! We look forward to your contributions, as we strive for educational excellence in #Loudoun - 💪🏾 @LCPSOfficial"
7,"Thanks @VETSIndexes for providing the avenue for large &amp; small; public &amp; private companies to gather and share best practices as it relates to #Veteran recruitment, hiring, retention, and inclusion; it was inspiring to witness! 

#EmployingUSVets 🇺🇸💪🏾 https://t.co/kbRpNQpisu"
8,A remarkable story and a successful journey which has just begun! #HoyaSaxa 💪🏾 https://t.co/MfTWfxvYW6
9,"Blessings to Judge Ketanji Brown Jackson and her entire family; being confirmed to our Nation’s highest court is an important duty &amp; service to the preservation and continued growth of freedom, democracy, and the pursuit of happiness. God bless her along this journey. 

#USA 🇺🇸💪🏾"
10,"Congratulations to @Coach_SCJ22 on becoming @DelawareWBB next head coach! The entire @UDBlueHens community will undoubtedly benefit from Coach Jenkins’ knowledge &amp; exceptional leadership. 

The #BlueHens are set for continued educational &amp; athletic excellence! @UDelware 🏀"
11,"RT @USNavy: Did you know April is Month of the Military Child? ⚓ 🧒 

To honor and thank military children, Naval Air Facility (NAF) Atsugi…"
12,"@PRandallcares Thanks for posting this example of the gravity of our Armed Forces, the strength of our Veterans and patriotism. Love it! 💪🏾🇺🇸"
13,"Let us not forget that April (and every month) is the Month of the Military Child!

Let us pause to underscore the vital role military children play in the Armed Forces &amp; Veterans community. #MilitaryChildren represent our present &amp; future! 💪🏾🇺🇸 https://t.co/aOPXq1phPb"
14,@joevaldman @cvpayne Is my honor to serve! 💪🏾🇺🇸
15,"@cvpayne I can still remember my first time leading the Pledge of Allegiance - I felt as though the weight of the world was on my shoulders! Today, I still serve our United States 🇺🇸 💪🏾"
16,"Couldn’t agree more! #MentalHealth must remain on the forefront for employers, managers and employees - a joint approach is a key towards progress &amp; success. 

#HumanResources #HR #SHRM 💪🏾 https://t.co/eKskkWn4Ex"
17,@FLAGSofVALOR 💪🏾🇺🇸
18,"Let us all pause in commemoration to those who fought in the Vietnam War and pay respects to their brave families. We thank you! 🇺🇸💪🏾

#VietnamVeteransDay"
19,"Today, I am overjoyed to celebrate the 10th anniversary of the Veteran Jobs Mission, a unified coalition of companies missioned to #HireVeterans - 🇺🇸

Representing @ManTech at today’s celebration was great; our #Veterans are vital to achieving Mission Success &amp; National Security. https://t.co/2GwHtuhYTB"
