Unnamed: 0,Text
0,"No, Justice Alito, Reproductive Justice Is in the Constitution https://t.co/o9fi5odNUP"
1,"https://t.co/PGGtMW1xfY

During the “Battle Tailgate” episode of Netflix’s Iron Chef: Quest for an Iron Legend, host Alton Brown dropped some knowledge about Korean fried chicken’s ori..."
2,"RT @VickieforNYC: I am quoted in this article, and I will reiterate: Any school in my district participating in 'drag queen' degeneracy ris…"
3,The Fall of Kidd Creole: Inside a Rap Pioneer’s Tragic Descent https://t.co/HFlnEHe5Rf
4,'Devastating and heartbreaking': Colleagues react to unexpected death of Dean of NCCU School of Law https://t.co/qqPYDtG2rP via @ABC11_WTVD
5,NeoCov: What is this virus and should we be worried? | Health | Al Jazeera https://t.co/7hhl0DEFVr via @AJEnglish
6,@CurtisSliwa Angel 😇 👼 😇
7,There Is Way More Biden Can Do to Lower Prices https://t.co/luwN1lE1NG
8,"RT @34N22PAC: Big day in Atlanta giving out over $4,000 in free gas! 

Raphael Warnock and Joe Biden have caused gas prices and inflation t…"
9,"RT @florianederer: Stringer Bell on horizontal/vertical differentiation
https://t.co/FpvaE1ouBX https://t.co/F2JJoa0t4R"
10,Are white women the key to midterms after abortion opinion leak? https://t.co/rVa8XIXfSA via @msnbc
11,https://t.co/UwFROHhJBI
12,"The War in Ukraine Is Getting Complicated, and America Isn’t Ready https://t.co/CGkx6Ni1O1"
13,"With vote for war, Ocasio-Cortez, Sanders and DSA give over $17 billion to weapons manufacturers https://t.co/scaHw2bRdm"
14,Kim Kardashian says she might 'eat poop every single day' if it made her look 'younger' https://t.co/SU4fFHFfhd
15,The Memory of George Floyd Is Literally Fading Across America https://t.co/qlQU3UdalD
16,"Yes, Black Voters Feel Let Down by Biden https://t.co/aCdeGtiVTi"
17,https://t.co/oUWxrzWGVc
18,RT @JanetJackson: I luv it 🤗💃🏽💙
19,"RT @realJoelFischer: Just another day in new york city safest subway system, where innocent people are being harassed and assaulted.

But t…"
20,RT @arvind_Leung: @miriam_riviera @LattinaBrown @NYCTSubway @NYCMayorsOffice same thing happens all the time.  the woke leftist DAs refuse…
21,RT @miriam_riviera: @LattinaBrown @NYCTSubway @NYCMayorsOffice https://t.co/OhXLAFJH3P
22,"First Batman comic book ever auctioned, price reaches close to $1.5 million https://t.co/76n32qoKmj"
23,Inside a Suicide Prevention Center in Puerto Rico https://t.co/rdcNUrGaPU
24,NYC Mayor Adams is considering 2024 White House bid https://t.co/3tAggncVbc via @MailOnline
25,"Give us a grandchild or $650,000, say Indian couple suing son https://t.co/DA1H86kYSn"
26,"NYC expected to elevate to 'high' COVID alert level in coming days, indoor masks urged https://t.co/N5m64z5R12 via @ABC7NY"
27,"Thomas Jefferson once secretly wrote to Congress that the US would try to drive Native Americans into debt in order to take their land
https://t.co/0zKIqOBUst"
28,Black economists make up only 1.5% of Fed staff https://t.co/7aQcXfL4IN
29,"Balenciaga's $1,850 'full destroyed' sneakers raise eyebrows online  https://t.co/gf1Q3ikFIU via @nbcnews"
30,"Bob Lanier, a Dominant Center of the 1970s and ’80s, Dies at 73 https://t.co/jyG8y8LWsa"
31,Check out Mayor Eric Adams's video! #TikTok https://t.co/TFRbM2z7VK
32,Detroit Opera tells the story of Detroit Red with its performance of ‘X: The Life and Times of Malcolm X’ https://t.co/vTd7AaG2cR
33,This Woman Built a Formidable Gambling Empire in 1920s Harlem https://t.co/PZIUSqTuZk
34,A Verywell Report: How Racism Damages the Black Health Experience https://t.co/C62WCBLUjm via @verywell
35,"Try these vegetable waffles, sorbet mimosas for Mother’s Day https://t.co/lRYWWKmKhe via @TODAYshow"
36,The Major Findings of Harvard’s Report on Its Ties to Slavery https://t.co/a1PlOWZPMV
37,Harvard Details Its Ties to Slavery and Its Plans for Redress https://t.co/KVFpI67AhG
38,"Eric Adams speaks to the haters
https://t.co/zI19hFlgjF"
39,"Putin’s other war zone --- Africa --- goes barely noticed
https://t.co/Ghfj30FSO1

Download Now
https://t.co/RTwVAQuxQC"
40,RT @VickieforNYC: This afternoon I addressed the full City Council during our stated meeting remotely from my district office because I was…
41,Polo Ralph Lauren’s Limited-Edition Collection With Spelman &amp; Morehouse College Generates Backlash https://t.co/xRjzD273lV
42,"Spelman, Morehouse alumni create HBCU collection for Ralph Lauren https://t.co/bOWVTRceBa via @nbcnews"
43,A new Ralph Lauren collection honors the ‘Spelhouse’ legacy https://t.co/dV49THIe8z
44,"For One Black Whiskey Maker, Accolades and Now a Lawsuit https://t.co/xy5TfkY2hk"
45,NY Lt. Gov. Brian Benjamin Resigns Following Arrest in Campaign Finance Fraud Case https://t.co/qxtUobrKyv
46,"17 L.A. gangs have sent out crews to follow and rob city's wealthiest, LAPD says https://t.co/lBYWWi8QIe"
47,New York Lieutenant Governor Brian Benjamin surrenders on a federal bribery conspiracy indictment https://t.co/a8YWZPeKjZ via @ABC7NY
48,Multiple People Reported Shot in Brooklyn Subway: Sources https://t.co/HUCev23ME5
49,Mayor's anti-gun unit arresting suspects on mostly low-level offenses: NYPD data https://t.co/SEN0xtMgbn via @gothamist
50,"Update: COVID positive, Adams cancels Sunday's in-person events https://t.co/qpyppw0wY6 via @gothamist"
51,New York mayor Eric Adams tests positive for COVID-19 https://t.co/NmgNpOu2NR
52,"Pelosi Said AOC, Jayapal Were Competing for 'Queen Bee' of the Left: Book https://t.co/1Phiez30t8"
53,The newest meatless meat is made from air https://t.co/4cYsa2JoLw
54,"China is buying Russian energy with its own currency, marking the first commodities paid for in yuan since Western sanctions hit Moscow https://t.co/Ph8fwe2YOm via @mktsinsider"
55,"Rutgers B-School Faked Jobs for Graduates to Inflate Its Rankings, Lawsuit Says   https://t.co/MiGDCuaw8M"
56,https://t.co/693Y2GtzLY
57,"Slavery, soul food and the power of Black women https://t.co/Uh5wkmlPKi via @northjersey"
58,Professor accuses Moravian of retaliation for DEI work https://t.co/0FAP2PIebL
59,Profile: Who are Ukraine’s far-right Azov regiment? | Military News | Al Jazeera https://t.co/CMl6mUnxj1 via @AJEnglish
60,Jada Pinkett Smith ex-lover August Alsina references 'entanglement' https://t.co/6gRfDQe0Uj via @DailyMailCeleb
61,Former Judge Janice Rogers Brown Was Not Nominated to the Supreme Court https://t.co/Ge1ghD6igN via @factcheckdotorg
62,Film Of Prince At Age 11 Discovered In Archival Footage Of 1970 Mpls. Teachers Strike https://t.co/M4Q5UcdPdO
63,"Adams demands 'discipline of message' to combat 'gotcha' press corps, audio reveals https://t.co/fOe3Gi8uHF via @politico"
64,https://t.co/EgS61tQUxc
65,But It's Not Just Pearl-Clutching: NYC Subway Crime Is Bad These Days https://t.co/eKE0sGgW6y
66,https://t.co/pOpTCz0xWW
67,https://t.co/A1u2yUB35U
68,These are the 5 biggest signs of a toxic workplace https://t.co/VoREbDd31A
69,https://t.co/qY062nhND7
70,Rappers React to Will Smith Slapping Chris Rock at 2022 Oscars https://t.co/YAFBOmkJ5q @XXL
71,"Business school graduates are bad news for American employees, new report says https://t.co/jhUilm7gh8"
72,Candace Owens Says Jada Pinkett Has 'Spiritually Annihilated' Will Smith https://t.co/1lmmIKS6sD
73,A Bed-Stuy Slice Shop Is Shaking Up Brooklyn’s Pizza Scene With Electric Oxtail Pies https://t.co/9l2Hkbu3LF via @EaterNY
74,Bumpy Road Ahead for Black Cars as Eric Adams’ TLC Reverses de Blasio Plan on New Licenses  https://t.co/Pp1dFgs7cL
75,https://t.co/hjCevY3Twp
76,O.J. Simpson says he understands where Will Smith was coming from https://t.co/t8wKVlLFev via @MailOnline
77,"Former Yale administrator stole $40 million, pretending to buy computer equipment for the university. Instead, she bought a fleet of luxury cars, and several houses https://t.co/wGdUdeVmoO"
78,Adams: Remote work 'draining' New York City's economy  https://t.co/cTasf7YBja
79,"Hubert Harrison: The Struggle for Equality, 1918-1927 | Columbia Alumni Association https://t.co/KxtmVcZSdA"
80,What We Know About the Women Who Vote for Republicans and the Men Who Do Not https://t.co/PVSrnz3ydJ
81,https://t.co/zUNmGMrD5C
82,https://t.co/bRotcOas27
83,RT @bubbaprog: VIA JAPANESE TELEVISION: The uncensored exchange between Will Smith and Chris Rock https://t.co/j0Z184ZyXa
84,"RT @wspiv001: Staving Off 2045, When White People Become a Minority in America | by William Spivey | May, 2021 | Medium - via @pensignal  h…"
85,RT @wspiv001: The Role of the Slave Jail in American History | by William Spivey | The AAMBC Journal | | Medium - via @pensignal  https://t…
86,Adams says he’s kicking homeless New Yorkers out of their encampments. Where will they go? https://t.co/CdJxk18nVT via @gothamist
87,Curtis Sliwa to Newsmax: Mets Owner 'Put in Call' to NYC Mayor About Vaccine Mandate | https://t.co/lBtxjvBaIL https://t.co/6EVCnmLQHF via @Newsmax
88,Black Tesla employees describe a culture of racism: 'I was at my breaking point' https://t.co/c55uJL1P1L
89,US biolabs need exposure and investigation: US scholar - Global Times https://t.co/TbU4Hk6iMS
90,Six Influential African American Judges https://t.co/RG170kgxQZ
91,Wrongfully convicted man sues Kansas county for $93 million￼ https://t.co/jR8bit0zN1
92,https://t.co/HpV0kTglaU
93,I Won 'Chopped' — Interesting Things About the Cooking Show https://t.co/W6vagcxEvX
94,Byron Allen Sues Nielsen For Fraud; Seeks Billions of Dollars in Damages https://t.co/gGWQGXwMOc via @ESSENCE
95,Mike Tyson reveals what it would take for him to fight Jake Paul https://t.co/aFfuYWy3EZ
96,"Dr. Patrick Graves Jackson, Ketanji Brown Jackson’s Husband, Is a Surgeon https://t.co/4MTeRhwx0E via @heavysan"
97,A Verywell Report: How Racism Damages the Black Health Experience https://t.co/C62WCBLUjm via @verywell
98,Eric Adams is daring the left to take him on — and they’re game https://t.co/DZRJuTKyBl via @politico
99,Obama Education Secretary John King on Canceling $50K in Student Loan Debt https://t.co/umFkxhZRGx
