Unnamed: 0,Text
0,💯 agree with @ssurovell and the most egregious part is it’s the families of the incarcerated - usually very poor - that have to pick up the tab. https://t.co/7s9lbmMSKi
1,RT @arlingtondems: DISABILITIES CAUCUS MEETING -- TODAY AT 2pm. Join Arlington Dems Disabilities Caucus for a conversation with Delegate Pa…
2,RT @ssurovell: One big reason we got Dobbs is many people skip elections - we changed the VA law so voters receive your a by mail or drop b…
3,RT @BarbaraFavola: Great to celebrate Arlington #Pride2022 alongside @AdamEbbin and @HopeforVirginia! I reminded the crowd at the Pride Fes…
4,Honored to join @AdamEbbin @BarbaraFavola to celebrate @ArlingtonPride in @RosslynVA 🏳️‍🌈🏳️‍⚧️ https://t.co/aThQe4m7Ky https://t.co/YhRPt7kxeb
5,Another successful Arlington @Kiwanis blueberry sale 🫐🫐🫐 to benefit disadvantaged children in Arlington. https://t.co/Us8L5bU0xy
6,The Governor wants some of the same people that wanted to mandate a transvaginal ultrasound to come up with a bipartisan consensus? Here’s a bipartisan consensus that a majority of Virginians support: Let’s codify abortion rights under Roe vs Wade and let’s do it this summer. https://t.co/L2SZgL4qMZ
7,"Virginia this is your wake-up call. Today, people are waking up in 13 other states without the freedom to make their own reproductive health care decisions. We CANNOT - we WILL NOT - allow this to happen in Virginia!"
8,"RT @MITAtoday: ""ARPA-H has the potential to lead the way in building on today’s innovations to continue to transform how we diagnose and tr…"
9,"RT @SenLouiseLucas: I want 1,000 Retweets on this!

Glenn Youngkin wanted to give you a dollar or so per gas fill-up and only for a few mon…"
10,Congrats @DonBeyerVA! https://t.co/NGzFD59VNO
11,"RT @vademocrats: Congratulations to @DonBeyerVA for his primary victory tonight!

Rep. Beyer is a true statesman who will continue deliveri…"
12,"If you’re tired of hearing about mass shootings in the news and tired of the convenient excuses coming from the politicians mouth who say they can’t take action, keep the pressure on because anything we do, no matter how small, can save lives. ⁦ https://t.co/WMoemoHYQQ"
13,It’s a beautiful Saturday to vote @DonBeyerVA! https://t.co/NrOjjY25Pe
14,RT @SenLouiseLucas: Governor Youngkin’s budget amendment to limit access to abortion just hit the Senate Brick Wall and has been defeated!!…
15,RT @ACLUVA: BREAKING: A panel of the Fourth Circuit Court of Appeals unanimously denied qualified immunity to VADOC officials in our case c…
16,Excellent piece by ⁦@JenniferBoysko⁩ making the case for Earned Sentence Credits. ⁦@GovernorVA⁩ is developing a pattern of sending down amendments that disproportionately impact people of color.  https://t.co/CIVJ5A4G1L
17,"@jstatad Cc: @gmoomaw 
https://t.co/u4jQAO8Rzy"
18,Thank you @DrIrmaBecerra for standing up and speaking out in support of our Dreamers! @marymountu https://t.co/2aH4BIHKfS
19,Virginia’s red flag law saves lives and can serve as a model for the rest of the nation.  https://t.co/PhoowXT6bW
20,RT @DonScott757: My name is Don Scott and I am proud to be your new Dem leader in the House of Delegates. My story has been called the ulti…
21,"RT @helenprejean: As temperatures climb across the United States, remember that many prison facilities are not air conditioned or properly…"
22,"After reading this, it’s impossible not to be rooting for ⁦@DonScott757⁩! It’s a privilege serving with him and I look forward to working with Leader Scott to take back the majority!  https://t.co/jwz6UvzE0k"
23,@MeghanCieslak @EscuelaKeyAPS What a great idea!
24,@kavtrom @ARLnowDOTcom @ArlingtonVA 🙋‍♂️
25,"RT @ArlingtonVotes: Verify where your polling place is for the Democratic Primary on June 21, 2022! Polling places in Cherrydale, Overlee K…"
26,"Aside from being in the defense industry, what @Boeing and Raytheon have in common is they already have a large footprint in Arlington. So they already know Arlington is a great place for business and we welcome their expansion in @RosslynVA.

Welcome to Arlington @RaytheonTech! https://t.co/S49WxKWEWn"
27,RT @SuptDuran: Students at Wakefield High School are getting ready to have a roundtable discussion with Senator @timkaine on gun violence a…
28,"Thank you @ArlingtonVotes for providing ballot drop boxes, a safe, secure, and convenient way to 🗳early. https://t.co/FYfNFqZ18S"
29,Had a great time w/@BarbaraFavola at @CulpepperGarArl BBQ &amp; Blooms Summer Bash! Great cause and great organization! https://t.co/mQER9QWiTs
30,Rushed straight home from Richmond to support and congratulate ⁦@BethanyZSutton⁩ as ⁦@arlingtondems⁩ nominee for ⁦@APSVaSchoolBd⁩! Go Bethany! https://t.co/IoI6ju1ViS
31,"In the better late than never category, we have a budget that makes historic investments in our Commonwealth. https://t.co/ln6BqaZkrE"
32,Congratulations @DonScott757! 🔥🎉💪 https://t.co/0NsWAFwG99
33,RT @ArlingtonVotes: Today is the last day to register to vote for the Democratic Primary on June 21! Register or update your registration w…
34,"RT @MITAtoday: Happy Memorial Day. Today, we honor those who sacrificed and gave their lives in service to our country. https://t.co/o0zLWX…"
35,"RT @NPR: 🧵As details of the Robb Elementary School shooting in Uvalde, Texas, emerge, the debate over stricter gun control laws intensifies…"
36,RT @SenLouiseLucas: RT if you want to see Virginia’s one gun a month law taken nationally.
37,RT @VirginiaHHA: May is #MentalHealthAwarenessMonth - check out this @RTDNEWS column from @HopeforVirginia on strengthening Virginia's beha…
38,RT @LVozzella: Virginia budget compromise gives Gov. Glenn Youngkin partial win https://t.co/r4yQTYmmr2
39,"RT @Stranger_Things: The wait is over. See you tonight, 8:30pm. Coordinates mark the spot 👉 40.7411 N 73.9894 W. Things are about to get ɹǝ…"
40,"Monkeypox case reported in Virginia, CDC says - The Washington Post https://t.co/ck4oGl8Yo8"
41,"RT @NotoriousOHM: A furious, emotional and fed up Steve Kerr pleaded with senators to do something about the mass shootings. https://t.co/f…"
42,"@DelRodWillett Thank you, @DelRodWillett!"
43,"Investing in our behavioral health system is bipartisan. We know what works and, if we remain committed, Va can be a model for the nation. #MentalHealthAwarenessMonth https://t.co/0WuOjMHZuS"
44,RT @HumaneSociety: A bipartisan group of more than 160 state lawmakers from 32 states is urging @Crinetics &amp; @Inotivco to release 80 puppie…
45,RT @SenLouiseLucas: I am so excited that the new Lucas blue vests are in! You can get one for making a $50 donation to my campaign OR I wil…
46,"Well-deserved honor for Judy Hadden, especially for her efforts to educate teens about the dangers of substance abuse. https://t.co/5N2phtMivc"
47,"RT @MITAtoday: When patients like Kay need medical imaging, there is no room for error. 
Congress can protect their health and safety by pa…"
48,RT @ArlingtonVaPD: Tomorrow is Bike to School Day 🚲. Motorists are encouraged to slow down and remain alert for increased bicyclist traffic…
49,RT @jonesjay: What a great Saturday night with the @arlingtondems and my friend @HopeforVirginia. It was awesome to see old friends and mak…
50,This month and every month is #MentalHealthAwarenessMonth. https://t.co/sa7cQa40WU
51,RT @notlarrysabato: Spotted @BradleyRHaywood in the wild!  With @HopeforVirginia. https://t.co/KfZGy3oqZy
52,RT @BarbaraFavola: Great town hall @RipSullivan48 &amp; @HopeforVirginia &amp; Arlington voters. Crowd was ready to flip the House &amp; add Ds to the…
53,RT @RipSullivan48: Great Town hall conversation this morning  with friends and constituents of the 48th district alongside Senator  @Barbar…
54,RT @DrIrmaBecerra: Today @marymountu Senator @BarbaraFavola and delegates @RipSullivan48 and @HopeforVirginia - in Delegate @HopeforVirgini…
55,RT @RISEforYouth: Justice delayed is not justice denied. We fight on for Virginia’s Youth. #HB1197 RISE full Coalition meeting tonight to s…
56,"RT @JusticeFwdVa: Del. @HopeforVirginia’s HB1197, would’ve created a workgroup to study transfer of Dept. of Juvenile Justice to the Sec. o…"
57,RT @RISEforYouth: Thank you Del. Hope and everything partner for standing up for Virginia’s youth with the greatest support needs. We will…
58,"RT @RISEforYouth: “As of 2020, over 90% of children incarcerated in Virginia required mental health services…” Monica Reid, @NACDL. VA legi…"
59,"RT @RISEforYouth: Dr. Shadae Harris, Chief Engagement Officer, RPS, speaks to all VA Legislators in support of HB1197. #vetooverride https:…"
60,Thank you to the @ArlHist volunteers for telling Arlington’s history! We couldn’t do it without you! #VolunteerAppreciation https://t.co/A6F2EgloGj
61,So 😎! https://t.co/JKmN7Jtd4g
62,🫐🫐🫐 are back! Get a 10lb box for $40. Proceeds benefit children of Arlington. ⁦@Kiwanis⁩ 🫐🫐🫐 https://t.co/4sI1P9jF7u
63,"I have my copy of ⁦@pwcdanica⁩ “Burn the Page.”  I can’t wait to read about my friend, colleague, and trailblazer Danica Roem charting her path to elected office and even bigger things in her future! 🔥🔥🔥 https://t.co/EQgSXVIyaq"
64,"RT @RISEforYouth: ""youth involvement in criminal behavior overwhelmingly stems from their location in communities overburdened with *lack*…"
65,I hope my General Assembly colleagues will listen to the pleas from Virginia’s faith-based communities and support efforts to best serve our youth. https://t.co/VJ3fW1fo57
66,"RT @VPLC: ""The General Assembly should override the governor's veto at the reconvened session and help reduce the high costs of health care…"
67,RT @AmericanLungVA: We need to make tobacco cessation treatment and healthcare accessible.  Continue to support HB 675/SB 422. @hopeforvirg…
68,Let’s help Virginians struggling to make ends meet due to rising inflationary costs and give them real relief. We can do that by overriding Gov. Youngkin’s veto. 5/5
69,"Why? Studies show removing the surcharge encourages more ppl to enter the market and lower the price. Increasing the number of healthy ppl in the market spreads costs across a larger pool, reducing premiums and allowing smokers to take advantage of cessation programs. 4/5"
70,"By how much? Eliminating the tobacco surcharge likely would reduce premiums by 3% to 4.5%. The number of people in the individual market could increase by as much as 13,000 and the number of uninsured could be reduced by 14,000. 3/5"
71,"In his veto, Youngkin said it ""would force insurance companies to recover costs associated with tobacco users by raising premiums on non-tobacco users.” In fact, the legislation would not raise premiums, but REDUCE them.  2/5"
72,"I’m pleased to join @SenEdwardsVA urging my colleagues to override @GovernorVA veto of legislation (SB 422 and HB 675) to remove the tobacco surcharge. 1/5 🧵
https://t.co/4LZlgXlG09"
73,RT @SenLouiseLucas: I spent 30 years working to legalize marijuana and when Democrats took total control of Richmond we finally did it!  Th…
74,"RT @VATeenDems: Since Glenn Youngkin won't do it, we will.

In honor of our AMAZING President pro tempore, we hereby recognize today as #Lo…"
75,RT @MPerdomo_KeyES: Muchas gracias por las cartas @HopeforVirginia thanks for taking the time to recognize our @EscuelaKeyAPS honor roll st…
76,These bipartisan bills passed both the Virginia House and Senate and would improve the lives of Virginians. I’m extremely disappointed ⁦@GovernorVA⁩ has chosen to govern in this way. https://t.co/ky5b3X8gJD
77,It’s a Happy Easter at ⁦@gocodough⁩! Get ‘‘em while their fresh! 🐣 🐰 https://t.co/tGARqsaGXQ
78,RT @SenLouiseLucas: Good afternoon. Virginia is the only state in the country that bans police from pulling people over for minor traffic i…
79,RT @SenLouiseLucas: I was proud to be the Senate sponsor of this bill and worked with the House sponsor @HopeforVirginia to get it passed.…
80,"RT @virginia_tech: Today, on the 2022 Day of Remembrance, we honor the lives of the 32 students and faculty members who were tragically tak…"
81,"Thanks to ⁦@SallyLHudson⁩’s foresight &amp; leadership, RCV is going to be springing up all over the Commonwealth. I’m still waiting to see which locality will be first and, once that happens, voters will see the value of this approach and demand it.  https://t.co/9u769zR8Gk"
82,"Always a privilege to run into the heartbeat of the Virginia Senate ⁦@SenLouiseLucas⁩, who still has more Twitter followers than ⁦@GovernorVA⁩! 😂🔥💪 https://t.co/zpZENISFVP"
83,RT @ssurovell: Good to see the @nytimes spotlighting @SenLouiseLucas &amp; @HopeforVirginia's groundbreaking legislation to limit traffic stops…
84,"What about health care ⁦@GovernorVA⁩? You vetoed a bill that would reduce health care premiums by 4.5%, saving Virginians about $158 annually. Let’s help families struggling to afford health care and offer them real relief.  https://t.co/dg0jd4T54P"
85,RT @SenatorHashmi: This bill resulted from intense efforts of staff experts and discussion in the Joint Commission on Health Care. It’s a s…
86,"RT @VAHouseDems: This morning, House Democrats spoke out about the impact Gov Youngkin’s vetoes of House bills would have on working famili…"
87,Facts are stubborn things. @GovernorVA veto of HB 675 will leave Virginians with higher premiums and a higher uninsured rate. https://t.co/PximcnlJUU
88,RT @VAHouseDems: HB 675 (@HopeforVirginia) would have DECREASED health insurance premiums by 4.5% and REDUCED the number of uninsured by 14…
89,"RT @PriceForDel95: Today, I joined my Democratic colleagues @EFillerCorn @NadariusClarkVA @HopeforVirginia to speak out against the vetoes…"
90,RT @WendyGooditisVA: Gov. Youngkin’s veto of Delegate @HopeforVirginia's bill to lower insurance costs is baffling. The bill actually lower…
91,🔥🔥🔥 https://t.co/5BVmPtKCBU
92,"RT @NickMinock: This morning, Virginia Gov. Glenn Youngkin told @7NewsDC  why he amended a bill in an effort to put all Loudoun County scho…"
93,"The benefit of eliminating the surcharge is found mostly in rural areas. In a time so many families are struggling to keep up with rising costs due to inflation, why wouldn’t we do all we can to lower premiums. It’s a lot better than eliminating the gas tax."
94,"Over the past summer, we worked with @urbaninstitute to model impact of eliminating the tobacco surcharge would:
‒Cause premiums to fall up to 4.5%
‒Increase the number of individual market enrollees by up to 13,000
- Reduce the number of uninsured by up to 14,000"
95,"2020 study found tobacco surcharge reduced insurance enrollment among smokers by 4.0 percentage points. In states with surcharges, enrollment among smokers was 3.4 percentage points lower for every 10 percentage point increase in the tobacco surcharge.

https://t.co/O0Fj1dhJp0"
96,"March 2022 Health Affairs study confirms tobacco surcharge was associated with lower total enrollment with a significantly larger effect on enrollment in rural areas contributing to urban-rural health disparities.

https://t.co/ZUe2nUkrHu https://t.co/mTCKsJA6wD"
97,"HB 675 would have DECREASED premiums by 4.5% and REDUCED the number of uninsured by 14,000. ⁦@GovernorVA⁩ vetoed the bill. Virginians can’t afford to pay higher health care costs.  https://t.co/As81uIkTDX"
98,RT @LangstonACarter: A thread: Governor Glenn Youngkin vetoed HB 669 @HopeforVirginia's bill that would have directed the Commissioner of H…
