Unnamed: 0,Text
0,"RT @ally32250: @GeorgiaLogCabin @thatwhitehead She’s the most despicable person alive, imo."
1,RT @GeorgiaLogCabin: Democrats don't want to suspend gasoline taxes https://t.co/XChhztusBh
2,RT @GeorgiaLogCabin: NYC Pride's shameful ban on cops https://t.co/JFoFx6sFaX
3,RT @GeorgiaLogCabin: This is the type of person Pelosi [D-CA] is.
4,"RT @GeorgiaLogCabin: Crime continues to surge in Buckhead, Atlanta, GA https://t.co/n9MELIp8Ms"
5,RT @Majorie45708428: @Otherside_YC dope af check this out @appara15 @hyp3m0b @atto325 @thewongisland @AlyssaKhay @legolitsh_nft @daster_jo…
6,Haha https://t.co/20RsvQeqYZ
7,RT @ally32250: Georgia just pulled ahead of Alabama in the National Championship game on #SECN !! I think we have a chance to win!! 😜 #GoDa…
8,RT @RodeoDawgFan: 10 more Saturdays! @Dawgsfan4ever https://t.co/vYDHYBV4WJ
9,Yes! https://t.co/WkcUi5xh5c
10,RT @bitchfuckubi: @doodles_mint 🎉 MINT STARTED 🎉  @Rderapidao @Dondondonpz @Moonshot_B @ignaciosubiabre @LnNorlial @t_seek @ArtmasterFx59 @…
11,"RT @WBARRETT: We still have Beck, Brock and Gunner!  Kirby always has a plan!!!  #GoDawgs https://t.co/vnQGZLDBkv"
12,"RT @DannyBaram: Took a big, possibly insane swing with one of my scripts this week - and within a day got a super enthusiastic response fro…"
13,RT @NattyDawgs: ⁦@valkyriedawg⁩ the ONLY ARCH I am worried about. Ring season 💍 #GoDawgs time for some #NewInk 🧩🧩❤️🖤🔥🔒🔑🍑☘️🙏✝️😘✈️🌹🐧 #TrustKi…
14,RT @mtthewedwards: Yesterday I found out I booked my very first role on a tv series. I’m still shook. It’s been 6 and a half years of hard…
15,RT @RaviAwakening: @ChadGilmartinCA @thatwhitehead Yippy . Cause to celebrate 🎉
16,"RT @JustTho46341668: I think everyone is about to find out why their grandparents stayed at home, had a garden, ate leftovers, and saved th…"
17,RT @RaviAwakening: @Breaking911 @thatwhitehead Excellent News for Pro Life : 6:3 ruling from the Suoreme Court .The Constitution is not pro…
18,"RT @EllenRothAuthor: As Christopher Reeve wisely said, “Once you choose hope, anything's possible.""  Hope is a feeling of optimism - the de…"
19,RT @SheilaBDuncan: @RodriguezFruit Does anyone else do too much editing when they’re writing and too much writing when they’re editing?
20,"RT @Mad_Dawg19: Weekends come &amp; go, but opportunity knocks only once. #GoDawgs https://t.co/S6cRe0Nu9D"
21,RT @45gb3: The restriction ends today : I am following  back slowly everybody . I followed back 20 people already . Thanks #UltraMAGA #MAGA…
22,RT @ajpatt1983: My high school head football coach! He had speeches that would make you run through a wall for him!💪🏾
23,RT @SakuraGrayTV: The underdog comes out with a victory for Georgia’s 2nd Congressional District: @ChrisWestGA will be going head to head w…
24,"RT @CrozerWilliam: @Bishop4Congress It's time for a new voice and a fresh perspective in #GA02. Support and vote for @ChrisWestGA.

https:/…"
25,RT @Breaking911: BREAKING: US Supreme Court overturns Roe v. Wade
26,RT @ChadGilmartinCA: HELD: “The Constitution does not confer a right to abortion; Roe and Casey are overruled; and the authority to regulat…
27,RT @EricTaylorTTR: Georgia's 2023 QB room. #GoDawgs #CommitToTheG #DawgsOnTop https://t.co/C0zQgxBVZS
28,"RT @aaronmurray11: Dang I thought we would have a Manning rocking the red and black! I love what we have in that Qb room right now, we all…"
29,RT @spyderdobro: More writers with standards + actual love for their stories. Less fiend writers who are desperate + put a stain on what it…
30,"RT @spyderdobro: Not possible to make it as a writer if you're in it for the short term upside. Quick money, quick fame, quick pats on the…"
31,"RT @UGARewind: #TBT 1993 vs. Ohio State 

All-American @garrisonhearst5 rushed for 2 TDs and was named the Citrus Bowl MVP in the 21-14 win…"
32,"RT @thejeremyhunt: Its been a rough week, but boy did it end on a high note. Finally, justice for the unborn! Praise the Lord!"
33,"RT @WeatherGoinWILD: -  Appreciate every day!
That is all… https://t.co/tXFDFycach"
34,RT @GeorgiaLogCabin: Georgia Democratic Congresswoman tries to claim that gasoline prices haven't skyrocketed since the day Biden took offi…
35,"RT @GeorgiaLogCabin: 50K residents flee San Francisco, CA https://t.co/0gdoDVkas1"
36,RT @GeorgiaLogCabin: Democrats want to deny mothers life-saving help https://t.co/7YcLSW4jZ6
37,RT @GeorgiaLogCabin: Reed [D-GA] must pay Atlanta back $83K https://t.co/Pp2KZ47pFo
38,RT @GeorgiaLogCabin: Government workers got paid to do nothing during corona virus https://t.co/gF58ZZj3j8
39,RT @wesj_42: The only Arch that Athens needs https://t.co/cwOHzcNKq2
40,RT @GeorgiaLogCabin: Legislation would let victims sue doctors who mutilate minors https://t.co/Q5MP37Hehf
41,RT @GeorgiaLogCabin: TX GOP alienates moderates https://t.co/IbzrdCMsKD
42,RT @GeorgiaLogCabin: Flores [R-TX] sworn in after flipping US House seat https://t.co/VYGz8IcEwB
43,RT @GeorgiaLogCabin: Clinton [D-NY] flip-flops on transgender issues https://t.co/sRpZh7sxrn
44,RT @StephenLawson_: Some light morning reading 🙂 #gapol https://t.co/4RiG6xYnSn
45,"RT @alexbruesewitz: Congratulations to @ChrisWestGA on his HUGE Primary win in #GA02.

Chris was out spent by MILLIONS by his establishment…"
46,"RT @jalenjjohnson: Yup! For the first time in 28 years, Sanford Bishop (D-GA02) is in REAL trouble. His team even created him a Twitter acc…"
47,"RT @jalenjjohnson: cc: @NRA @BillyNRA 

Please remember this when grading candidates for Georgia’s Second Congressional District. 

Sanford…"
48,"RT @GOP: .@ChrisWestGA secures the win for GA-02!  
 
Congratulations on the Peach State victory! Let’s go retire Pelosi. https://t.co/FShO…"
49,"RT @ChrisWestGA: I am incredibly humbled and grateful to the voters of GA-02 for propelling us toward this huge win tonight. 

Tonight show…"
50,"RT @EliseStefanik: Congratulations to @ChrisWestGA on his victory last night in #GA02!

I look forward to working with Chris to FLIP #GA02…"
51,RT @SOWEGAGOP: Congratulations to our Republican nominee @ChrisWestGA. #BootBishop https://t.co/WvRijGZZWL
52,RT @GeorgiaLogCabin: Average US mortgage rates jump by most in 35 years https://t.co/bXIKF3X89H
53,"RT @GeorgiaLogCabin: Atlanta, GA Democratic official despises white gays https://t.co/FWD0w63drp"
54,"RT @GeorgiaLogCabin: Atlanta, GA's homicide rate up more than 13% https://t.co/EuSIASebjP"
55,Guess she's running in 2024 https://t.co/5q6OFWgzai
56,"RT @CateringLilys: If you're still relaxing from that three-day weekend, we're happy to whip up a couple menu favorites for you! #LilysRest…"
57,RT @CateringLilys: Bring your appetite -- we'll bring the bold and savory flavors of our home-cooked Southern food! https://t.co/mXgaTiaQIU
58,"RT @CateringLilys: With a table full of dishes, there's so much to choose from! What are your favorites to have in front of you? #LilysRest…"
59,"RT @CateringLilys: This weekend, treat Dad to all of his favorites -- it's always our go-to way to show our loved ones how much we care. #S…"
60,Yep https://t.co/FGH8je4n1d
61,"RT @twk4usa: #851
@twk4usa 
@Diceman__ 
@DawnDavies11 
@Franco_itly2 
@Pat10th 
@Patriot3651 
@MayflowerCruise 
@CurtisHebert 
@Cuds1246_Ja…"
62,"RT @RPoulnott: Good morning y’all.

When we can't piece together the puzzle of our own lives, remember the best view of a puzzle is from ab…"
63,"RT @RPoulnott: Good morning y’all.

Satan doesn’t have to defeat you, all he has to do is distract you.

Have a blessed day."
64,"RT @SouthernMom: Beach observation from yesterday: white swim trunks are never a good idea. Not even on you. Yes, I promise. No, really, I…"
65,So true https://t.co/HZnocfpPGJ
66,RT @thatwhitehead: Congrats!!
67,Who done it ? :) https://t.co/hONYrurN1f
68,#NewProfilePic https://t.co/lrup0STwGj
69,Yep https://t.co/bKG1211ivk
70,RT @ThatWhitehead1: I want more of this!!
71,RT @GeorgiaLogCabin: Democrats don't want photos with Harris https://t.co/2JWaNUyS2D
72,"RT @WhiskeyRiff: Absolute heater.
https://t.co/CjQFJpUiss"
73,RT @StephenLawson_: !!!!!!!!!!!!
74,RT @bluestein: Wow ... https://t.co/tOSCgeUvDZ
75,"RT @MurphyAJC: Major upset in Georgia’s 2nd congressional district, where Chris West won after being heavily outspent and his opponent was…"
76,RT @JacobRubashkin: Rare race not going the GOP establishment’s way tonight &gt;&gt;&gt;
77,"RT @BGStrategies_: Big is an understatement. 

David beat Goliath in GA-02.

Congratulations to @ChrisWestGA on winning the Republican prim…"
78,"RT @NRCC: 🚨 Congratulations @ChrisWestGA!

Chairman @tomemmer's statement on the #GA02 primary runoff election results ⬇️ https://t.co/0IZW…"
79,"RT @jeffamy: In the tightest race of the night Chris West, beats @thejeremyhunt for the chance to take on 30-year incumbent Democrat @Sanfo…"
80,"RT @BrianKempGA: Congratulations to @MikeCollinsGA, @RichforGA, and @ChrisWestGA on their wins tonight!

I look forward to working together…"
81,RT @CrozerWilliam: Congratulations @ChrisWestGA! Now on to November. #GA02 #gapol
82,RT @aclgop: Turns out you need more than endorsements to win a political campaign.
83,"RT @ByNickEWoot: @thejeremyhunt acknowledges that some votes are still coming in, but it doesn't look good.

He says he will support the Re…"
84,RT @thatwhitehead: Stars &amp; Stripes forever.
85,Stars &amp; Stripes forever. https://t.co/noLkNknuip
86,"RT @GovKemp: WHAT THEY'RE SAYING: ""Georgia remains the state with the lowest gas prices... because of Gov. Brian Kemp’s suspension of the s…"
87,RT @StephenLawson_: https://t.co/KfkvcJoFiF
88,RT @BrianKempGA: Proud to work w/ @burtjonesforga and conservatives in the General Assembly to cut taxes for Georgia families fighting thro…
89,"RT @MikeCollinsGA: I'm honored to have Governor @BrianKempGA's trust &amp; endorsement in our GA-10 Runoff! 

More jobs. Lower taxes. Defending…"
90,"RT @StephenLawson_: Big day! 

Incredibly proud of the hard work @MikeCollinsGA &amp; @ChrisWestGA have put in over these past few months. 

If…"
91,"Today, Tuesday, vote for CHRIS WEST. He's the BEST choice. https://t.co/JQODPpN0mi"
92,RT @GeorgiaLogCabin: Convicted FL Democrat wants to run for Congress again https://t.co/wE3IrHbTNP
93,"RT @ThomasU1950: Ready to solve the mystery?  🕵️‍♂️
Get ready to join TU for this exciting event of murder, mystery, and mayhem for a good…"
94,RT @GeorgiaLogCabin: Germany forced to restart coal-fired electricity generation https://t.co/4RCyrJFpFO
95,RT @GeorgiaLogCabin: Democrats dig their own hole deeper https://t.co/mDQcTqhdLA
96,RT @GeorgiaLogCabin: Biden approval hits new low https://t.co/H2Ir9z18Y0
97,RT @GeorgiaLogCabin: CA Democrats to increase gasoline taxes https://t.co/S0t47SesVx
98,"RT @JordanWalker___: Hats off to Air Force head coach, Mike Kazlausky. Guy was pure class during his in-game interviews this weekend and sp…"
