Unnamed: 0,Text
0,"RT @KimMangone: I am the Democrat running against Republican Kevin McCarthy. I am a United States Air Force Veteran, Democrat and a single…"
1,"Friends: Time for all of us to pivot to support @Ann_Kirkpatrick in Nov. Keeping this AZ-2 seat in Dem hands is our prime directive, and with our support Ann will win.  I will do everything I can to help re-elect her. Join me! #keepAZ02Blue"
2,"Friends: I’m humbled and grateful to all of you -neighbors, volunteers, friends, family- who supported me and my message of change in this unusual time. I will look for another way to serve our wonderful community, and hope to meet you all IN PERSON some time soon. Peter"
3,@CRLady2016 🙏
4,"Good morning, friends! Voting day is here! AZ-2, we are making a decision about who we are and want to be. As a community and as a nation. I am humbly and respectfully asking for your vote.  It’s time for new leadership.  It’s time for OUR generation to step up and lead."
5,"Friends, this is a dark moment for our country –like no other this generation. Don’t let this vote be ground hog day, with the same tired candidates and the same tired outcomes. Vote for something you really believe in. Let’s wake up to something new. Let’s change this thing!"
6,"Friends: Tomorrow is election day. If you’re an AZ-2 early voter and haven't mailed in your ballot, drop it off in person at a polling location.  Don’t give up on change, AZ-2!  We can do this!"
7,Friends: You have a real choice on Tuesday. I will work for you. Only for you. Not hedge funds. Not real estate developers. Not corporations. Please look at who funds my opponent.  I will never take corporate and fossil fuel money. https://t.co/hXfA22Fj4g
8,"Speedy recovery, Raul! Yours is a unique voice in Congress.  We in Southern AZ are lucky to have you on our team. https://t.co/IQvHa6oygC"
9,THIS is America the Beautiful. https://t.co/BP68zBP052
10,"Want to know what kind of legislation I would write, introduce and fight for in Congress? It’s REAL stuff like this: Rep. Katie Porter Introduces bill to help Working Families during Pandemic.  Vote for change in this primary! https://t.co/09hTuhCu6W"
11,Can you be shocked but not surprised? It did not take long. We knew Trump’s racist and vindictive assault on DREAMERS and DACA would not end.  There’s only one way out. Vote DEM in November! #HereToStay #DefendDACA #HomeIsHere https://t.co/0iQ1sZxsj7
12,"Trump, patron saint of Karens, incontinently mouthing off the racist part out loud again, as GOP leaders cut COVID benefits to you because, you know, it wouldn’t be fair to use YOUR tax dollars to help YOU in a catastrophic emergency. https://t.co/GJzvj1D7Rh"
13,"You have a real choice on Aug 4, friends.  It’s time for change. If enough of us pull on that thread together, we can do this!"
14,@morey000 Wait…Are you voting for something you believe in or a pot of money? Let’s change this thing!
15,"I did already but repeat it here... no fossil fuel money, no corporate money.  Just your support https://t.co/KAQWWeCypD"
16,You have to watch this. I swear I tried not to cry. I failed. https://t.co/c1howTVYXo
17,"Fair? Hey, Mr Goldman Sachs! For folks in Arizona, the $600 is not for shiftless job-evaders. It puts food on the table and keeps them in homes. Are you such a colossal idiot that you do not see that? Or is this just more willful cruelty from your boss? https://t.co/rcYNRaEf5D"
18,"Mendacity. Grift.  Misogyny. Deception. Corruption. I got it, too! https://t.co/UBM8BUqruI"
19,"Just had a great conversation with the folks at Citizen’s Climate Lobby about their grassroots, non-partisan (they call it “far middle”) work to implement climate change solutions. Also, they have a Tucson chapter. I’m a supporter! Check them out.  https://t.co/VNul3ykok9"
20,"And it just strengthens our resolve to turn AZ blue in Nov.  Stay focused, AZ!  Today is the last day to request your absentee ballot.  Do it now. 
https://t.co/PZIFAEPhCH https://t.co/l8kcd4mavI"
21,Let's Change This Thing https://t.co/KCHpK9czR9
22,This is astonishing https://t.co/x1yT8botjp
23,My thoughts on money in politics https://t.co/DGncCPgJkX
24,"All they need now is Ford Falcons to complete the picture in Portland.  It’s Argentina in the 70s all over again. This is madness. #PortlandProtest 
https://t.co/SpGr9ACNnN"
25,Why I am running https://t.co/nbkWUmZsw3
26,@ginsengaddict Yes I do.  Pls scroll down my feed here to learn more.
27,"I don’t get it.  Where's the urgency? Do they think this is a game? AZ needs the expiring jobless benefits to re-up! Now! What has happened with our political leadership?

https://t.co/DGnJRJ32yW"
28,"Trump’s latest deflection from his calamitous COVID nonresponse is DHS agents in camo snatching people in the dead of night in Portland.  Does this terrify you?  No? Ok. All good. 

https://t.co/RG1ir1AGOs"
29,"#RestInPowerJohnLewis A legend passes.  A towering hero, if there ever was one.  Rest in peace, John Lewis. You taught us #goodtrouble.  We will not forget. https://t.co/Sy7mLGVgBN"
30,"Kirkpatrick refused @PimaDEMs invitation to debate me so AZ-2 voters could not see the real choice they have.  But you can see those differences by checking out my interview with EndPartyPolitics:

 •  Facebook: https://t.co/wAUAhaszUX
•  Twitter: https://t.co/Eaa790BK30"
31,"@Conover17L @EndCashBail @bailproject @LetsFreeAmerica I'm voting for you, Laura. And telling my friends to do the same.  Best of luck to you."
32,RT @PoliticsEnd: #AZVoter: Don't forget to tune in to today's livestream with #CD02 candidate @PQ4AZ at 2pm on Instagram! https://t.co/TmDt…
33,"There is no bottom for this small, insecure, deeply damaged blame-shifter we call president.  But attacking Dr. Fauci in the middle of the catastrophic pandemic disaster Trump caused may be his Waterloo.   Stay safe and mask up, AZ! https://t.co/oHi2f1LjJc"
34,Windows? What is he talking about?  Is it infrastructure week again?  Already? https://t.co/mwWIXwdArH
35,"@hillarycvance @Conover17L Many thanks, Hillary!"
