Unnamed: 0,Text
0,It is my honor to endorse Frank Mrvan to serve as Representative for Indiana’s First Congressional District. I will vote for Frank Mrvan and I encourage every voter to support Frank for U.S. Congress in the primary election. @mrvan4congress  https://t.co/F22ByTtGzj
1,Everyone in Northwest Indiana is voting early!  Don’t delay and find an early voting location near you!  https://t.co/Bk4LqCffZG
2,Had a great time walking in the Lowell Labor Day Parade and supporting organized labor! https://t.co/MGsy4XDyI5
3,Join me in celebrating the women and men of organized labor and walk in the 100th Annual Lowell Labor Day parade! https://t.co/AUIawqrj1h
4,Thank you to all who organized the many wonderful patriotic parades throughout Northwest Indiana for the 4th of July. A special thank you also to the many Visclosky for Congress Volunteers who joined me in walking in these parades and celebrating the founding of our nation! https://t.co/LQv86tlYba
5,Join me in celebrating Independence Day by walking in a Northwest Indiana parade! Sign-up at this link: https://t.co/w8octfMN22 https://t.co/eAulPOZgwK
6,Had a great time earlier this month at the USW Local 1014 Women of Steel event in Gary. I enjoyed speaking with all of you and deeply appreciate your exemplary work on behalf of the Northwest Indiana economy and our manufacturing base. https://t.co/c3n7oxwywI
7,Voting early has started for the upcoming May primary election! Make your voice heard and stop by a voting early location near you! Full list below: https://t.co/v1fjNbRxmd
8,"Thank you to the countless volunteers who made calls, knocked on doors, and helped get out the vote for Democrats yesterday and this entire election season! I enjoyed being able to catch up with all who were able to stop by the Thank You celebration last night. https://t.co/D7CH2BFfD0"
9,"Today is the day! It is up to you to make your voice heard and support Democrats, good-paying jobs, and a more just and tolerant society for all! https://t.co/kxgUt5U28P"
10,"The wait is over and early voting has begun! Below are the early voting hours and locations for Lake, Porter, and LaPorte County. Take advantage of an early voting site and make your voice heard! https://t.co/gqTP6IVCyQ"
11,"Click below to reserve your Visclosky For Congress Yard Sign and stand up for good-paying jobs, a growing regional economy, and a fair, just, and tolerant society. https://t.co/TDzIu8CinW https://t.co/IB1uxWUlP4"
12,Ready to show your support for my re-election campaign and join me in one of the many Northwest Indiana parades in celebration of the 4th of July? Click below to stay up to date on parade locations and meeting times! https://t.co/TDzIu8CinW
13,Early voting for the 2018 Indiana primary has begun! A strong democracy requires strong voter participation. There is no need to wait until Election Day. Please take advantage of this early voting opportunity and exercise your right to vote!  https://t.co/gqTP6IE1Hi
14,2018 is here and it is time to step up and get involved! Attend my 2018 Campaign Kickoff Brunch and join me in supporting Democrats in 2018. https://t.co/M5gcHprCHK
15,"I voted against the House GOP tax legislation because it does not create more equity in the tax code and is harmful to middle-class Americans, including seniors. https://t.co/zPxrY8c0lq"
16,We must continue to do all that we can to grow and transform the Northwest Indiana economy for all current residents and future generations. https://t.co/64VbBadsPB
17,I'm deeply opposed to the efforts of the administration to restrict women’s access to health insurance coverage. https://t.co/BCW0rliKmC
18,The Administration must move forward as soon as possible with this investigation. https://t.co/nzP0wpiQQ5
19,Proud to be able to recently stop by the Williams Elementary School Community Engagement Day. https://t.co/blEKeq1hO3
20,We must continue to invest in the expansion and improvement of the South Shore Rail Line. https://t.co/tnTkSLWB7j
21,The American steel industry knows how to make the best steel because of the outstanding research done in NWI. https://t.co/iYfLWEVDg0
22,The success of these projects will grow our regional economy. https://t.co/KEOdROt5Vu
23,I will continue to support our local communities and the state’s effort to support this investment in our economy. https://t.co/iJZ1sDh6xg
24,Good steel news for Northwest Indiana: https://t.co/cK4fk2435J
25,Below is a good resource on the various ways that you can help the victims of Hurricane Harvey. https://t.co/66hWiMX4bU
26,Proud to support this significant investment in our international port and the Northwest Indiana economy. https://t.co/B7m67Rf6kq
27,https://t.co/q4RgoHcTBy
28,We must continue with laser like focus to prevent illegal foreign steel imports from entering our country. https://t.co/ntNCn8wc0w
29,I will continue to do everything possible to make sure U.S. taxpayer dollars are spent on American iron and steel. https://t.co/5oveuP5fQo
30,Good steel news for Northwest Indiana! https://t.co/TNbYVh748S
31,I remain committed to protecting and restoring our Great Lakes and supporting investments along our waterways. https://t.co/RRgeS7tEVr
32,"In addition to steel, China’s illegal trading practices greatly harm the U.S. aluminum market.  https://t.co/tdIwAqRjza"
33,We must do more to make sure that good manufacturing jobs stay and expand here in the United States of America. https://t.co/KumbgeACr4
34,Summer interns hard at work in the Visclosky for Congress Campaign Headquarters getting prepared for the exciting 2018 election. https://t.co/6BcUWNe3Mn
35,I remain very concerned that Trump supported health care legislation will hurt every American family. https://t.co/eobEk64eDL
36,I congratulate Mayor Copeland for bringing all stakeholders together to rebuild the Cline Avenue Bridge. https://t.co/BieC2ZwC7P
37,"RT @nwi: Donnelly, Visclosky meet with steel leaders: https://t.co/e7DF7ehxs2 https://t.co/O16mIjnA4H"
38,A great start to today greeting hardworking steelworkers at USS Gary Works. https://t.co/SH5SJzzfJI
39,"RT @nwi: Visclosky: Infrastructure projects drive NWI economy
https://t.co/sEciTtby36 https://t.co/QI6NOXktNX"
40,Join me in supporting Democrats by walking in the Hammond Mohawks Memorial Day Parade! Sign up here: https://t.co/mb6ra7hcRr https://t.co/loojpM7gm8
41,I hope the Sec 232 steel investigation is completed asap and action is taken to protect the American steel industry. https://t.co/HRMS9foPz0
42,Pleased to see the progress being made to expand bus services in Valparaiso. https://t.co/ryUFPicQhc
43,Great work from ArcelorMittal to invest in new types of steel that create jobs and move our economy forward. https://t.co/Aa77FWbzRh
44,We need to build on this momentum and invest in commuter rail so that more people will relocate and enjoy NWI. https://t.co/pUxhZBj64y
45,RT @KeepitMadeinUSA: LISTEN: @RepVisclosky chats w/ @ScottPaulAAM about what's needed to actually create good-paying manufacturing jobs. ht…
46,We should look for every opportunity to implement strong Buy America requirements.  https://t.co/c42QQly5cc
47,A D+ is an unacceptable grade for our current residents and future generations. https://t.co/JfMTPTZT9p
48,We must invest in the South Shore Rail Line to create new economic activity and retain and attract people to NWI. https://t.co/z3DewO47rp
49,These are the faces of Indivisible resiliency in NWI. Together we can create a more positive and prosperous future for our Region. https://t.co/t6ZN1kEoEh
50,We must continue to build upon this momentum by making transformational investments in our infrastructure. https://t.co/u8FtdKU2kJ
51,I will continue to do all that I can to ensure that our trade laws are fully enforced. https://t.co/nQdMu5nJok
52,"I am proud to have participated in the Women’s March in Washington, and I will continue to fight for equality. #InternationalWomensDay https://t.co/XjGYQriTHU"
53,Please attend the Griffith Town Council meeting to voice your support for helping our regional economy grow. https://t.co/WZdbq5DSNm
54,Proud of the United Steelworks and the great research in Northwest Indiana that grows the American economy! https://t.co/WGDEu765C9
55,I greatly enjoyed the opportunity to speak with members of the Crown Point Rotary Club. I thank you for your service to the community. https://t.co/YmaypQSFvH
56,Honored to attend the recent Schererville Crime Watch meeting at the request of Chief David Dowling. https://t.co/rH4FXgztpC
57,Please join me and support our outstanding Democratic Candidates at the Moving Indiana Forward rallies in NWI! https://t.co/JeJQgpqemb
58,Click below for details on how you can join our Democratic efforts to GOTV on Election Day:  https://t.co/BkVaUljzPh
59,We must we send the message to the countries involved in this case that we will not tolerate illegal steel imports. https://t.co/0XAsfseNCs
60,It is past time that the rest of the nation recognizes the significance of the lakeshore dunes in Northwest Indiana. https://t.co/SwAbsyAwtx
61,Enjoyed speaking with Hobart Kiwanis Breakfast Club members this past week. Thank you for your friendship and great work for Hobart. https://t.co/dG8v15QOo6
62,Need information about where to early vote? Click below to find all the details on my website. https://t.co/Q0nVBQTgVR
63,Appreciate the invite to speak at NWI Veterans Action Council Veterans Honor Luncheon and thank all the veterans for their selfless service. https://t.co/28LCNjKci9
64,Honored to attend the recent American Society of Civil Engineers Northwest Indiana Branch meeting. @ASCETweets https://t.co/OYhUCKx4Li
65,The Northwest Indiana Dunes is deserving of the recognition of being a National Park. https://t.co/8B47pc3ebM
66,I applaud the City of Hobart for successfully seeking out and obtaining this COPS grant award. https://t.co/a9pTBvDIPC
67,Elections matter. Early vote today! https://t.co/SenTvaLrC4
68,Still have that Visclosky for Congress yard sign in your basement or garage? Now is the time to put it outside and show your support! https://t.co/p44QAcDzcd
69,It is time to make this investment. https://t.co/jhfXbr345b
70,The time is now to vote early for Democrats who want to invest in a better future for Northwest Indiana. https://t.co/KM4RIXlWS1
71,Visit the website below today to confirm your voter registration information or register to vote! #RegistertheRegion https://t.co/vi8XmpbPnx
72,RT @infarmbureau: Huge thanks to @RepVisclosky for meeting with Porter County FB board members to discuss @FarmBureau federal priorities. h…
73,RT @nwi: Visclosky recognized as a leader 'second to none': https://t.co/SppDcxUgIM https://t.co/ONrtiyLjwH
74,We must continue to send a strong message that unfair trade practices will not be tolerated. https://t.co/2UzeyTKziM
75,I am opposed to the TPP. It is a bad deal for hard-working American steelworkers. https://t.co/8ezk3rZ4uK
76,"RT @aisisteel: .@RepVisclosky named ""Steel Champion"" of 2016 (via @nwi) - https://t.co/wL6rcfoI0M"
77,RT @nwi: Leadership event to honor Visclosky on Tuesday: https://t.co/34Pr9rD15Z  #nwindiana https://t.co/kPAlfhycKZ
78,An outstanding new report from One Region. We must continue to work together to invest in our region.  https://t.co/ENFhCgXcPi
79,The deadline to register to vote or check your voter information is fast approaching! Click below today: https://t.co/vi8XmoUevZ
80,Great progress! We must work to improve our transportation infrastructure to sustain our econnomic growth. https://t.co/DySS3viWte
81,VP Candidate Tim Kaine is right to recognize the value of Democratic volunteers! https://t.co/4HI0a98zql
82,Michigan City has consistently made progress to invest in transportation infrastructure and invigorate the economy. https://t.co/xFDsYYnpRW
83,There is more work to be done and I will continue to work to support the American steel industry. https://t.co/tmTBOTfuuW
84,Ron Good was a shining example of public service for Lake Station and a friend: https://t.co/jV44YjbjJR
85,Congrats to the new Gary Dem Precinct Org Chairman Jerome Prince! Appreciate your focus on getting out the vote! https://t.co/16jXD95htH
86,We need more action to stop the illegal influx of steel imports. https://t.co/80dmE3wonY
87,American steelworkers make the best steel in the world and deserve to compete on a level playing field. https://t.co/oU29mRvzga
88,Congrats to @karenaboutgary on participating in the @gov_institute Women in Government Leadership Program! https://t.co/gtOD2nLVux
89,We must continue to work every day to support and defend America’s workers. https://t.co/AFV5WGeerf
90,Are you registered to vote? Make sure your voice is heard this election:  https://t.co/vi8XmoUevZ
91,We must do all that we can to ensure that American taxpayer dollars are used to support American jobs. https://t.co/uO1s0TCFXF
92,"RT @aisisteel: ""It is past time to stop illegal trade."" - @RepVisclosky #SteelBriefs https://t.co/OzAfabpXn1 https://t.co/vOhyy8IWhs"
93,Enjoyed the discussion with @GoodNewsDriver. Thank you for your dedication to highlight the best of NWI. https://t.co/t5otp39M9c
94,Come show your support for labor and walk with my campaign in the Lowell Labor Day Parade! https://t.co/TDzIu8CinW
95,I enjoyed this wonderful article in the Chicago Tribune @byalisonbowen. https://t.co/Mfap0rUonV
96,Great momentum to make the South Shore Rail Line expansion a reality! https://t.co/dxaArmEAMZ
97,It was a great event and I enjoyed meeting so many people dedicated to preparing the next generation of leaders. https://t.co/jjt7peZMjp
98,Congratulations to Chesterton High School grad Blake Pieroni and his team for bringing home the gold in Rio! https://t.co/jXWbQjl1CE
99,"High School students: If you turn 18 on or before November 8, you are eligible to vote in this election! https://t.co/kpwP4Ii8uQ"
