Unnamed: 0,Text
0,"RT @harveyjkaye: #SCOTUS ignores the Constitution - and for all the conservative Justices go on about originalism, it is evident they don’t…"
1,"Instead of harassing her they should learn a few things from her.
Or give her a job since they are incapable of doing theirs.
#UvaldeCoverUp https://t.co/uoIqMuBIOu"
2,RT @BradleyWhitford: https://t.co/GIXzgnPZHJ
3,Land of the Free? https://t.co/F7WJOZT4oH
4,"After all of these years the man finally was able to admit to something.

He has no business being part of a government that he conspired to overthrow. https://t.co/OsB3IUFVuw"
5,Guy whose mom only gave him letters for a first name thinks it’s a man’s place to tell women what they can do as payback. https://t.co/uepWOweYrv
6,"But the crowd that cheered didn’t know that…
🤔 https://t.co/4yUcNOSAYU"
7,@WilsonUponSea All good!
8,"Always great to talk with you @MichaelBrandl! 
Let me know when you’re back in the Racine area! https://t.co/VQx0Yn731T"
9,@WilsonUponSea It’s a warning that we do have a majority now and need to use it before things get worse.
10,"Dems - Imagine what we’ll get done having a minority of the representation in Congress.

If that’s not a good option for you I’d encourage lighting a fire under your representatives."
11,The one time she tells the truth: https://t.co/9pBMBgzO1p
12,If you’re a wealthy Conservative feeling all righteous about #RoeVsWade wait til you hear about what Jesus said about rich people getting into Heaven.
13,"This is huge for the #NY10 race.
Congratulations on the @WorkingFamilies endorsement @yuhline! https://t.co/bVPHNuQQbb"
14,@AuthorKimberley That’s sick.
15,"Ironpac sent out an email asking for contributions to be split among some amazing groups providing women’s health services.
If you’re looking to help out - here is a great link: https://t.co/e6TeOud5Xe"
16,Every child born is more likely to own a gun before being covered by health care if the @gop has their way.
17,The “pro-birth” party that refused to wear a mask to save lives is demanding women can’t have a medical procedure even if it saves their life.
18,"RT @downwithtyranny: QAnon fascist Mary Miller, at a rally with Trump, says aloud what other Republicans only whisper: ""President Trump, on…"
19,"Wordle 372 4/6

⬛⬛🟨⬛⬛
⬛🟨⬛⬛⬛
⬛🟩🟨🟨🟨
🟩🟩🟩🟩🟩"
20,Ironworkers do this every day and it hasn’t stopped a thing from being passed. https://t.co/ifJ2OkDSAG
21,"“If you’re pre-born you’re fine.
If you’re pre-school you’re f#€ked”

-George Carlin on conservatives in 1996"
22,"@JeffClarkUS You’ll be needing more than the force.
I’d suggest asking @parscale to borrow the Death St….er….never mind."
23,Need some new music? https://t.co/TgorfrDIVt
24,Many things can happen within two minutes. https://t.co/xkIGLrVoNY
25,"What we’re seeing in the US is a version of extremism that is among the most restrictive when it comes to women’s’ health.
A court made a decision unreflective of the will of the majority.

That’s the opposite of democracy."
26,"RT @RBReich: If Collins and Manchin feel betrayed by Kavanaugh and Gorsuch, they should join all senate Democrats to carve out a reproducti…"
