Unnamed: 0,Text
0,@seanryanlayton https://t.co/zQNe8uSD0r
1,"Unpopular Opinion: #Abortion access for the identifiable wealthy RedState FEW with high resources to flee across state borders should be billed 5x the cost, into a opportunity fund that compensate for other poor folk who desire abortion access.   

Source: https://t.co/j9GvM1WlfU https://t.co/zsUJoaO2iE"
2,"@TrueJMitchell @SmileyForWA haha you're funny.

Demographics is Destiny for WA State, 2022.
https://t.co/bh5NNHeskP"
3,"@Rose52413 @AmericaDialogue @GovInslee @PattyMurray @SenatorCantwell @RepJayapal I'm Ravin Pierre,  a 2022 US Senate WA State candidate challenger to Senator Patty Murray; 
I'm grassroots aggressive Progressive Democrat. I reject taking money from corporations.
I declared my campaign in Jan 2022.

Campaign  Intro (00:28 seconds)
https://t.co/S0UFhlNBor"
4,"@handmadekathy I'm Ravin Pierre,  a 2022 US Senate WA State candidate challenger to Senator Patty Murray; 
I'm grassroots aggressive Progressive Democrat. I reject taking money from corporations.
I declared my campaign in Jan 2022.

Campaign  Intro (00:28 seconds)
https://t.co/S0UFhlNBor"
5,@MurrayCampaign https://t.co/NO0hKO1EMz
6,@mottlione @NPR @sarahmccammon @PattyMurray https://t.co/NO0hKO1EMz
7,@TheNewzFeed @NPR @sarahmccammon https://t.co/NO0hKO1EMz
8,RT @theliamnissan: An Alabama doctor would now get 100 years in prison for performing an abortion while an Alabama man would only get 6 mon…
9,"@ExpandMajority I'm Ravin Pierre,  a 2022 US Senate WA State candidate challenger  
I'm grassroots aggressive Progressive Democrat. I reject taking money from corporations.
I declared my campaign in Jan 2022.

Abortion == Healthcare (no compromise, no exceptions) 
https://t.co/zjIeTdxwV0"
10,"RT @ninaturner: “We can’t expand the Supreme Court!”

My response: https://t.co/9AhjQgItBa"
11,"#UnpopularOpinion: If we had #termlimits on US Congress &amp; SCOTUS, we wouldn't be in Abortion overturn debacle. 
Get rid of @PattyMurray, in her 30 yrs in Senate DID NOT make term limits a top priority. 

My badass term limits contract &amp; strategy proposal.
https://t.co/g84Bf7xKoj"
12,"Homelessness debunked &amp; explained.
#AffordableHousing &amp; #HousingFirst simple effective solution, if we can overcome the toxic #NIMBY attitude problem...

#YIMBY to #AffordableHousing &amp; #HousingFirst.

https://t.co/7rp1gsFcWK"
13,RT @DannyDeVito: Supreme Court my ass
