Unnamed: 0,Text
0,"RT @RepJenSchultz: Door knocking today for @reedolsonMN2A in Bemidji w/ @jbeckerfinn, @BeltramiDFL &amp; big group of volunteers. Great convers…"
1,RT @jbeckerfinn: Great responses on the doors this morning in Bemidji for @reedolsonMN2A ! @electmnhousedfl Thank you to @RepJenSchultz for…
2,RT @jbeckerfinn: Same weekend as Leech Lake Days for anyone headed north soon! Help @reedolsonMN2A #FlipTheNorth in Bemidji - hoping we wil…
3,"We have lost a wonderful person and a great leader in Northern Minnesota. Rest in power, Renee. https://t.co/5wp8wu0Z3A"
4,@tbobrowsky @alongerlook I made it look like you were complimenting my photo! https://t.co/lTMCI3eu8T
5,@tbobrowsky I witnessed a similar sunset. https://t.co/5Ooj5azp95
6,"RT @MNagriculture: On the last day of session, the MN Legislature has passed the Drought Relief, Agriculture Omnibus, and Broadband Bill. T…"
7,"RT @MNFarmBureau: The state bill containing drought, ag and broadband provisions is headed to the governor's desk! 

Thank you to Chair Wes…"
8,"@chris_steller ""In Bemidji"" by Uncle Shurley"
9,https://t.co/RCumNCMZ5b
10,RT @RepJenSchultz: Pete Stauber voted against emergency funding to address the baby formula shortage. He's offered nothing but complaints a…
11,"RT @larissa_donovan: White Earth sec/treas alan roy, also the dfl endorsed candidate for mn senate dist. 2, is among those presenting the c…"
12,"The State Convention is getting started!
#mndfl https://t.co/E6jgEbpTk9"
13,"I filed today!!!!
https://t.co/WRGUNayGHA https://t.co/GCTjtG4Zvn"
14,RT @RepJenSchultz: Met amazing folks at SD2 convention. Excited for @reedolsonMN2A &amp; @ebaileyjohnson for MN House &amp; @AlanRoyforMN Senate! h…
15,Super excited to be at the SD2 Endorsing Convention!!! https://t.co/rAq0bb1Lcn
16,"Doesn't have to be an either or, Bill. We can and should do both. https://t.co/cAb93dgE8N"
17,RT @MNAFLCIO: BREAKING: St. Paul Starbucks workers win union election https://t.co/Ao7CCcmiL0 (via @unionadvocate) #1u Congratulations!
18,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
19,"Episode 75 of The Reed O Roundup
Beaver update
Campaign Update
Identify Future Work Meeting Topics 
Greater Bemidji Annual Update 
Jail Budget Overview 
Child Placement 
April Timber Sale Results 
PILT Bill

Citizen Comments
Countywide Redistricting 

https://t.co/CS15qFfwpL"
20,RT @GovTimWalz: It's time to legalize adult-use cannabis and expunge cannabis convictions in Minnesota.
21,@larissa_donovan Not a very straight line between county prerogatives and a city charter commission.
22,RT @peggyflanagan: It’s time to legalize adult-use cannabis in Minnesota.
23,"@joshindahl @jbeckerfinn As a coffee shop owner I can attest that they are ""for profit"" only by the broadest definition."
24,"RT @AlanRoyforMN: I believe in supporting families and small businesses. I support enacting responsible tax cuts for families, seniors and…"
25,I had a great day speaking and tabling at the Beltrami County DFL Convention. We're gonna flip Senate District 2 and House 2A and 2B back to the DFL!!!  conventions.  #dfl #mn2a #beltramicounty #bemidji #MN #mnpolitics #mnhouse #northwoodsvalues https://t.co/KfL7BrEQcf
26,@larissa_donovan And it puts an undue burden on the county. Beltrami can't make it's map until Bemidji is done.
27,"REEDO ROUNDUP
Special Redistricting Episode and Q&amp;A with Reed!

https://t.co/VHZKBdYF3V"
28,"My goal has always been to represent my community in the best way I know how.  I have decided to run for the newly drawn 2nd state house seat. I will work tirelessly for my neighbors, who work so hard themselves. I will bring our Northwoods values to St. Paul. https://t.co/phceAvMxXP"
