Unnamed: 0,Text
0,RT @Strandjunker: Here’s the deal: We stop pretending there is any kind of separation of church and state here. Tax them. Tax them hard.
1,RT @hugolowell: Just in: Jan. 6 committee announces hearing tomorrow at 1p ET “to present recently obtained evidence and receive witness te…
2,RT @joncoopertweets: Congratulations Republicans! You just made it legal for a teacher to lead their class in a prayer from the Church of S…
3,"RT @jeremynewberger: You people went from ""Don't tell us to wear masks!"" to ""Have that baby!"" in like two months. You realize how crazy tha…"
4,But it is. Now what? https://t.co/wnZfcrLsEQ
5,@tellallyour @ReneeVoiceBrand @nycjayjay Now
6,"RT @RobAnderson2018: I didn’t vote for this court, 
I refuse to accept it"
7,@jazmineulloa @AP Clickbait Alert.
8,"RT @fathernathan: The same folks saying, “don’t have sex and you won’t get pregnant,” believe in a religion based upon the idea that a woma…"
9,"RT @itsJeffTiedrich: if a Muslim walked out to the fifty yard line and led a prayer service, Justice Gorsuch would shit his fucking pants"
10,RT @SternLevine: What say everyone? https://t.co/eYu9BPSsgW
11,"RT @TaylenandKatie: @Marston4ca42 Yep-It seems like the exposure of individuals/actions around Jan 6, the damning evidence- It is inspiring…"
12,RT @BMeiselas: Looks like the NY Times made a bigger deal out of Rudy being tapped on the back than they did about a Supreme Court Justice'…
13,"RT @PamKeithFL: Dear Muslim and Jewish teachers, start praying in classrooms NOW!"
14,@BlackKnight10k It’s been this way for awhile.
15,"RT @kylegriffin1: 34 Senate Dems to President Biden: ""You have the power to fight back and lead a national response to this devastating dec…"
16,"RT @QasimRashid: SCOTUS just ruled 6-3 that public school teachers and other staff can now lead students in prayer.

If any public school t…"
17,"RT @SuzeQKnits: I reported my coworker to human resources this morning for inappropriate language, being rude, disrespectful and obscene, I…"
18,RT @cbouzy: I am starting to believe there is more here than just cops being cowards or mind-boggling incompetence. Journalists really shou…
19,RT @DoctorHenryCT: @RepAndyBiggsAZ There is also no right to carry concealed weapons or own any weapon made after 1787.
20,"RT @RoArquette: Joining women in solidarity wearing black and Not  Celebrating the 4 th of July ,because it certainly is  not a day of inde…"
21,"RT @SYBAUWolverine: Last night, my niece (newly 12) asked my sister &amp; me if she could adopt a child from the foster care system. While a re…"
22,"RT @ReallyAmerican1: If Muslim teachers started leading their students in prayer, do you think the Supreme Court would still be trying to b…"
23,Just a reminder. What we are experiencing right now is called deflecting from a coup attempt. Expect more of this bat shittery from SCOTUS until Trump &amp; Co is indicted.
24,"RT @trom771: @NoLieWithBTC Looks like the Supreme Court is following orders from Steve Bannon to ""flood the zone with shit"" to keep us from…"
25,Let ALL religions start leading students in prayer. Let’s Roll! https://t.co/FJ2TKyPdnn
26,RT @RobertP52819354: My whole family is 4th generation Republican.  They are so outraged at seeing the 1/6 hearings and now SCOTUS taking a…
27,RT @CalltoActivism: Every Muslim teacher should lead their class in prayer. Watch how fast that shit would be illegal again.
28,"Dear Non-Christian Religious Leaders:  It’s  time to take advantage of these recent SCOTUS rulings. Pray at sporting events. Demand tax $$ for your private school tuition. Let us know how we can help. Thank you, Americans."
29,RT @TheHillReport: @ElieNYC BREAKING - SCOTUS officially allows establishment of religion by allowing coaches to pray mid-field after a gam…
30,"RT @ElieNYC: This is what conservative ""textualists"" do to ""text"" they don't like... they pretend it's not there."
31,"RT @ElieNYC: First case today is the praying football coach.6-3 by Gorsuch. Not only does he allow the public school coach to do his thing,…"
32,It appears to me that we need more people filing lawsuits from other religions besides Christianity.
33,"RT @politvidchannel: BREAKING: A Colorado election clerk who was indicted on 10 criminal counts just said Rep. Lauren Boebert (R-CO) ""encou…"
34,"RT @SethAbramson: PS/ Never forget that the leader of the Republican Party, who sets the tone for his party in every conceivable sense, abs…"
35,"RT @BernieSanders: Gas is over $5 a gallon. Why? Well, oil companies made $93 BILLION in profits in the first quarter and are spending $88…"
36,"RT @duty2warn: We call on Jerrold Nadler to open an inquiry into whether the Federalist Society Justices committed perjury, and Clarence Th…"
37,"RT @highroadsaloon: I said to my wife ""Do you think anyone will commit suicide because they could not get an abortion?""
She instantly repli…"
38,"RT @TeamPelosi: What this extremist Court did is deadly serious — for freedom in America.

Democrats are for freedom; Republicans are for f…"
39,"RT @Corb_The_Lesser: @JoyceWhiteVance If the EPA ruling is as expected, rational states and corporations should curb purchases from states…"
40,@1liners @timjhogan There is no mainstream press.
41,"RT @jaythenerdkid: this isn't sharia, by the way. islam doesn't forbid abortion. islam doesn't even forbid contraception. the west needs to…"
42,"RT @AdamJSmithGA: “Dems shouldn’t fundraise off this”

Ok so first y’all said you ain’t gonna vote and now the party can’t fundraise…

Do y…"
43,"RT @TeamPelosi: When the GOP-led Supreme Court gutted the #VRA in 2013, they INVITED a flood of voter suppression, gerrymandering and big d…"
44,"RT @WajahatAli: .@AOC and @ewarren have stepped up this week. Democrats need to match their leadership and passion moving forward. Be loud,…"
45,@AndreaR9Md @cathyob1 They are.
46,RT @AndreaR9Md: Somebody needs to ask republicans if they’re cool with 13 and 14 year olds having babies. I’ve seen it and it ain’t pretty.…
47,RT @RepKatiePorter: Vincent Chin was beaten to death by men motivated by anti-Asian hate 40 years ago today. The killers received no jail t…
48,RT @BernieSanders: Overturning Roe v. Wade and denying women the right to control their own bodies is an outrage and in defiance of what th…
49,"RT @alfranken: After overturning Roe, Thomas wants to revisit Griswold, Lawrence, &amp; Obergefell. How about revisiting Thomas’ conflicts of i…"
50,"RT @LRPow79: The gunman has more rights than the gunned down.
The rapist has more rights than the raped.

THIS is America"
51,@Peatches66 Wow. She’s a bit cray. IMHO.
52,RT @DeanObeidallah: Q. What religion says in its scriptures that a woman who is raped is then FORCED to carry the fetus of the rapist? A. N…
53,RT @lyzl: It doesn't appear that the police in Cedar Rapids have any interest in doing anything about the attack on Friday. Motorists in Io…
54,"RT @GavinNewsom: NEW: Millions of Californians will be receiving up to $1,050 as part of a NEW middle class tax rebate.

That’s more money…"
55,RT @owillis: The president should unambiguously be in favor of killing the filibuster and expanding the court. Not holding these two positi…
56,"RT @DANNI64AZ: Stay angry at rights stolen from you. Stay scared for your kids. 

Then take that anger and that fear to the polls 

Every R…"
57,Sociopaths think this way. https://t.co/9cVLrAduGZ
58,Did I miss any pro-choice protestors getting escorted into the Capitol for a tour?
59,RT @Andy_Lea1964: On Thursday I took my son to the office as part of take your kids to work day. During the day I noticed him crying and my…
60,"RT @morethanmySLE: JD Vance does NOT support women, but Tim Ryan DOES. Remember that OHIO when you vote for U.S. Senator in November!"
61,"RT @ungerbn103: The Republican Christian Nationalist Supreme Court ended the separation of Church and State.

Your taxes can now be used to…"
62,RT @JRubinBlogger: is that his final answer? does he admit there was no evidence of fraud and if so why was he involved in sending alternat…
63,"RT @JoyceWhiteVance: ""abortion was so “deeply rooted” in colonial America that one of our nation’s most influential architects went out of…"
64,RT @timjhogan: The fact that Kristi Noem just escaped two Sunday show interviews relatively unscathed and faced no tough followup questions…
65,RT @Papi_B_Dubs: How come every radical righter that tried to argue HIPPA violations for Taking a Vaccine no longer feel that way about HIP…
66,"RT @JoshShapiroPA: If we’re going to protect abortion access in Pennsylvania, then we have to vote.

And we have to win."
67,"RT @APPLE01903644: I Served fifteen years in the Military. 
Fighting for freedom, and for our rights, but today, I took down my flag, this…"
68,RT @fromMA: Wanna hears joke? America was founded to escape religious persecution 😉
69,RT @MortalcoyleMi: Sounds familiar....
70,RT @ghost_of_roger: Garland also said that federal employees will continue with their reproductive health work and cannot be criminally pro…
71,RT @ghost_of_roger: https://t.co/URsNmyyduh
72,"RT @ghost_of_roger: OK, I was wrong. https://t.co/0LZuig35Z3"
73,RT @mhdksafa: Every child had a heartbeat before being shot dead in school. Where's that righteous pro-life outrage?
74,RT @kathrynresister: Never in a million years did I think America would get attacked in an attempted overthrow of the government. NEVER. We…
75,Today. Don’t forget. https://t.co/dGTbJqV8h0
76,RT @RoArquette: Serious boycotts of any corporation are in order that donate to groups taking  away the rights of women and voting rights f…
77,"RT @RBReich: This is just the first step. Gay marriage, contraception, and privacy are next. We must expand the Supreme Court to save our m…"
78,@VABVOX Sending you lots of love &amp; healing vibes.
79,RT @JoyceWhiteVance: This morning I wake up in a state that views me &amp; my daughter as 2nd class citizens who can't be trusted w/choices abo…
