Unnamed: 0,Text
0,"RT @MrMayfieldUSA: NJ-12 is going to be another Republican pickup in November.

I’m the GOP nominee - an America First candidate who is rea…"
1,"RT @SiriusXMPatriot: Tonight On
@StacyOnTheRight

9pm-12am ET

10:00pm
@RikMehta_NJ 

11:00pm
@CBedfordDC 

Tonight's Opening Verse: 1 John…"
2,"@BillSpadeaHair If but for anything else, vote for @RikMehta_NJ 's hair."
3,RT @ReginaEgea: 🚨Listen in at 8:05 as I talk Pain at the Pump in New Jersey with @algattullo @joeysib on the @JoePiscopoShow!
4,@FrankPallone Stop gaslighting. You pushed mandatory vaccinations and vax card IDs without a right to choose or privacy and as the ranking member of the Health Subcommitte FAILED to get answers on China's biological threats. The best thing you can do for America is retire.
5,@AJ_Cats_ Well said.
6,"To all the beautiful Mothers working hard to raise and protect their kids while juggling their careers, home schooling, sports practices, music classes, church and temple, you name it...we see you, we appreciate you, we love you and we are so very grateful and amazed by you! https://t.co/h0UARCXKI7"
7,@MattRooneyNJ Less than the ones shutdown.
8,"@wildstein Glad to have ""temper tantrum @GreggMele"" thrown off. He deliberately damages Republicans, including @Jack4NJ's 2021 Governor race, when he ran independent to spite Rs. Here's the truth: ""A notably large number of [Mele's] signatories were disqualified because they were Democrats"""
9,"""Last week, [NJ] broke a record for the highest gas prices ever... Congressional canidate Rik Mehta (NJ-06) will establish policy that helps relieve the ever growing “pain at the pump” by investing in domestic energy production.""
https://t.co/2131JN4wMJ"
10,@paraga @elonmusk I'm excited you didn't have a choice in the matter. #freedomwins
11,"RT @BillSpadea: We will fight the bastards abusing our kids with everything we’ve got. It’s #commonsense. 

Anyone in league with the @NJEA…"
12,"@NCMedBoard @AnnCoulter Bullcrap @NCMedBoard. Anyone engaging in the practice of medicine or performance of medical acts, especially unlicensed individuals, falls under your oversight. Do the right thing. Investigate, take enforcement! 2 G.S. §90-18"
13,@AnnCoulter The @NCMedBoard should take immediate action suspending her residence training license.
14,"RT @RMBecchi: As a tax attorney, if the state of New Jersey was my client, here’s the advice I would give them: Stop doing the same thing a…"
15,RT @ENaderOfficial: Interview with Congressional Candidate Rik Mehta https://t.co/Qg6gyczCzb
16,@avatans @RutgersU Yes.
17,"Dear @RutgersU, where's the science? You're now violating your students' Constitutional rights. Did you miss the memo that lifted the state public health emergency? #RUscrew https://t.co/B8jhklEiHz"
18,#freedomwins @port_nj https://t.co/H60VTugCVq https://t.co/Ejhqqejwnk
19,@FrankPallone What a dumb and derogatory attitude towards our doctors and nurses - you don't think they know opioids kill? What we need are LAWS stopping ILLEGAL fentanyl crossing and making our customs/border officers STRONG. You've done nothing to stop this for 34 years.
20,@USBlockchainPAC @RikMehta_NJ obviously.
21,"RT @DLaucikJr: The only candidate that can beat Frank Pallone in CD6! @RikMehta_NJ 

https://t.co/186AFxBrgr"
22,RT @LibertyRazi: Had a great time at @RikMehta_NJ small business summit with @BillSpadea and many more patriots! https://t.co/UYjDduKVSq
