Unnamed: 0,Text
0,The #LorainInternationalFestival had a great turnout today. Lots of enthusiasm and fun! @LorainCountyGOP @LoCoChamber https://t.co/AusAURfPWz
1,The #RighttoLifeActionCoalition had its workshop in Bowling Green on Saturday. Thank you to all who were there for your commitment to Life! https://t.co/Cfola7dcxx
2,The @LorainCountyGOP Central Committee met this weekend in Lorain. Thanks to all who will make this a great GOP year! https://t.co/6E1TYUuz1w
3,"The #PauldingCountyFair is on this week.  Come out and see all the hard work of the #4H and #FFA exhibitors. Also, don’t forget try the great food! https://t.co/Kg5ychEvJH"
4,Van Wert had perfect weather for its #PeonyFestivalGrandParade. It’s great to see so many participating and watching the parade! https://t.co/WoycpLqrCD
5,Big night for @WoodCoGOPParty at its reorganization meeting. Congrats to all the executive and central committee officers. https://t.co/TxpZPIU0wi
6,I am truly humbled by the wonderful complimentary vote I received in the primary. I will continue to work for the conservative values that have made our nation great. Marcia &amp; I thank the voters for the opportunity to serve the people of #OH5 in the U.S. House of Representatives.
7,"TODAY is the day! Make sure you get out and VOTE in the primary by 7:30pm. 

Find your polling location here ⤵️ https://t.co/cJFNI2kwP7"
8,"I’ve been working hard to get our country back on track by fighting inflation, lowering gas prices, backing law enforcement, securing our borders, and supporting commonsense policies that help American families and businesses. Thank you for your support, President Trump. https://t.co/7TGArTKdul"
9,What a wonderful evening at the @DucksUnlimited dinner last night. It was great to see so many friends! I’m proud to be their partner to fight for conservation. https://t.co/DyYAZOSDQh
10,Lorain County is home to the @Lakeeriecrusher baseball team. You know what Spring means: let’s play ball! https://t.co/leJrZh5JKX
11,It was a very interesting tour of the @willowayplants Nursery in Avon. I appreciated seeing their amazing operation! https://t.co/9jqdZNhwog
12,"Wonderful perch, homemade coleslaw and hand cut onion rings were on the menu at the #Tiffin #KofC #fishfry last night. They raise funds for so many good causes. Their hall even has a bowling alley! #SenecaCounty https://t.co/NhQBa5QjHh"
13,"I appreciated the #SenecaCountyRepublicans for hosting such an incredible candidates’ night. What a turnout! Also, a big shoutout to the Tiffin University College Republicans! https://t.co/XpzfT9aG2a"
14,"Early voting for the primary that is quickly approaching on May 3rd is OPEN! 

Check out ⤵️ for your early voting location. https://t.co/KU1vO8h1ug"
15,It was great to see so many friends at the Mercer County Republican dinner! https://t.co/DAevKdnX38
16,"While I was in Washington for votes, Marcia attended the @LorainCountyGOP #LincolnDay Dinner featuring Ohio Supreme Court Justice Sharon Kennedy. An enthusiastic large crowd! @KennedyForOhio https://t.co/mkzv7MX7vx"
17,Thanks to the #NorthRidgevilleRepublicanClub for hosting their meeting earlier this week! https://t.co/XntYNiXYIw
18,"Great to be at the @WoodCoGOPParty  Republican Womens Club “Coffee with the Candidates” event yesterday. It’s essential that Republicans go to the polls this year so we can stop the policies that have resulted in runaway inflation, higher energy costs, and less safe communities. https://t.co/7hzYivjxuV"
19,I want to thank #NorthCentralOhioRegionalCouncilofGovernments to speak at their kickoff of Seneca County’s broadband study. We all know how vital broadband is for our society. https://t.co/vMSJYssgW9
20,The #TiffinSenecaEconomicPartnership event last night had a great turnout to hear about the economic successes in @SenecaCountyOH. https://t.co/ZcB0YTCD5U
21,What a great crowd at the @WoodCoGOPParty Lincoln Day Dinner last night! https://t.co/MaiXOnt1gu
22,"It was great being in @TiffinOhioGov this week to visit and see all the great developments in the city. I appreciated being at Laminate Technologies, Heidelberg University, Downtown Revitalization, @TiffinU and Tiffin Mercy Hospital. @SenecaCounty https://t.co/NKVXZOth4J"
23,I want to thank the #CrawfordCountyRepublicanParty for allowing me to attend their Central and Executive Committees meetings tonight. Great energy! https://t.co/2H8c4o4TAw
24,RT @TiffinOhioGov: Congressman Bob Latta was in Tiffin today meeting with local leaders. Thanks to Tiffin-Seneca Economic Partnership for o…
25,Thanks to the @LorainCountyGOP Executive Committee for inviting me to attend their meeting today! https://t.co/5ZSsXV7aND
26,Seneca County Republicans had a great Central Committee meeting in Tiffin. It was great seeing so many friends! https://t.co/RETm80IbSX
27,Christ is born! Marcia and I wish you a very #MerryChristmas. May this holiday season bring you peace and joy.
28,"Merry Christmas Eve! 🎄
Marcia and I enjoyed attending the Lorain County Young Republicans Christmas gathering. We look forward to Lorain County being in the Fifth District! https://t.co/PAsn8pzbzM"
29,.@HancockCoGOP is pumped for the 2022 election! Good to have my colleague Jim Jordan at the Lincoln Reagan Dinner last night. Toys were brought to give to @ToysForTots_USA for Christmas🎄🎁 https://t.co/aIOnl60ESl
30,"In case you couldn't join us at the BG Christmas Parade over the weekend, check out the photos from the big event ⬇️ https://t.co/mgbQLcuNDi"
31,"The #BowlingGreen Holiday Parade was a tremendous success. Huge crowds, lots of bands, great enthusiasm, and quite a few dogs in their favorite costumes! 🎅🏼🎄 https://t.co/0E2f9pKpmV"
32,RELEASE: BOB LATTA ANNOUNCES RE-ELECTION BID IN OHIO'S 5TH CONGRESSIONAL DISTRICT https://t.co/5oNzTH8uP2
33,A huge thank you to the #WoodCounty Republican Women for all your hard work in keeping America great! https://t.co/AcP56CuyxI
34,Last night was a big night for the #GOP in Virginia! Americans are voicing their displeasure for the Biden Administration’s far-left policies and out of control government spending.
35,Congratulations to @MikeCareyOH15 on his victory tonight in #OH15! I look forward to serving in the People’s House with you.
36,It’s a chilly and rain free beautiful night for the Defiance Halloween Parade. Have fun and stay safe this #halloween2021 ! https://t.co/04ZBNnkAVR
37,A beautiful day and a huge turnout for the #OakHarborAppleFestival parade. It’s great to see so many friends! https://t.co/WTFk8f2TCZ
38,Kalida #PioneerDays is Ohio’s oldest festival celebrating its 149th year. Kalida’s and Putnam County’s pride is shown by all the hard work of the volunteers and participants. https://t.co/inbbdnXmFJ
39,"The #HardinCountyFair is in full swing! The weather is beautiful, and I especially loved to see all the animals and fair projects. Don’t forget to try the great food! https://t.co/FygJnBn3ou"
40,"It was good to see Rep. Jim Hoops and everyone out at the #OttovilleParkFestivalParade. 

Thanks to the Ottoville K of C for its great support of Life! https://t.co/JWQQlBnqaS"
41,"Beautiful weather, band night and donkey races brought out a massive crowd at the Hancock County Fair! It’s great to see the crowds after last year. https://t.co/6INHj7Ggr7"
42,"The #DefianceCountyFair is in full swing. Come out and enjoy all the exhibits and animal projects! 

Thanks to the Defiance Co. GOP Party for their tent that gets out the GOP’s stance on the issues facing our nation. Also, thanks to all Defiance County residents who support Life! https://t.co/AGKH7fWvlT"
43,Thanks to the @LucasOFRW for inviting me to speak at this week’s meeting! I appreciate all of your hard work. https://t.co/SL60mL6hOY
44,"Henry County had much to celebrate! After being restored, Lady Justice was returned to the top the courthouse last Saturday. The Tomato Festival parade had huge crowds as well as the #HenryCountyFair. https://t.co/3VzUjb5Ujx"
45,The #MercerCountyFair has been a tradition for 169 years. All the best to all the exhibitors especially to all @4H and @NationalFFA projects. https://t.co/5e6jWjXzFt
46,The annual #McCombCookieFestival parade was a success as always. The weather was perfect for everyone. Always great to be with the @HancockCoGOP as well! https://t.co/issaGIbrNR
