Unnamed: 0,Text
0,"RT @pistis71414528: @KHONnews @Joe_Akana Hawaii is quickly becoming unlivable for the working families and kupuna. 

40 years of electing t…"
1,"RT @pistis71414528: @Kiai_Report @Keoni_DiFranco @Joe_Akana we've talked about this before, the State of Hawaii has operated in direct oppo…"
2,"RT @pistis71414528: @KITV4 What about predatory taxation - Hawaii's families are paying more General Excise Tax for less groceries? 

https…"
3,"The 2020 - 2021 COVID-19 global shutdowns show no noticeable impact in the NOAA Moana Loa measurements on the increasing CO2 parts per million (ppm) rate. 

Makes one question the contribution to the increasing CO2 ppm rates from human activity. https://t.co/8TTG0d0Bw3"
4,"RT @Candor808: .@Joe_Akana
@SeaulaJrTupai
@VoteLynnMariano
@bjpenndotcom
@gophawaii
@OahuGOP
@BKulbis
@bigislandGOP
@GOP
@HouseGOP
@GOPChai…"
5,"RT @Joe_Akana: ""Met up with Joe Akana for Congress in Makakilo today! Got to see familiar faces and many new enthusiastic supporters as the…"
6,RT @johnrich: Do you want ppl to be loyal to you? Then be loyal to them first. Do you want to be valuable to others? Then make yourself an…
7,"RT @Joe_Akana: Good Morning!

Hope you had a nice Memorial Day weekend.  It was a beautiful, sunny day to honor those who have given their…"
8,"""The problems we face today are there because the people who work for a living are now outnumbered by those who vote for a living.""

""Remove one freedom per generation and soon you will have no freedom and no one would have noticed."" https://t.co/PtE81eK3Lt"
9,RT @Joe_Akana: https://t.co/gK5fpTf1BY
10,"@contfromprev @thehellisthatt @RBReich @elonmusk Government has grown too large to be adequately managed or overseen and as such is inefficient and wasteful.

We care that what government does with our taxes is useful and productive.

We want to live our lives in freedom with as little involvement from government as possible."
11,"@thehellisthatt @RBReich @elonmusk Straight from https://t.co/cVHTwWB3Yj. So not from my behind, but still reeks as bad. Hold your nose and go do the research yourself so you can get past the ""pay their fair share"" rabbit hole.

Oh, and also from CNBC."
12,"@RBReich The wealth tax is already in effect.

The top 20% of wage earners pay 87% of the income taxes.

The top 1% of wage earners earn 21% of the income, but pay 43% of the taxes.

@elonmusk just paid the highest individual income tax in US history, over $11 billion."
13,"RT @Candor808: .@SenateGOP
@Kathy4Truth
@HerschelWalker
@Sen_JoeManchin
@HouseGOP
@GOPGovs
@GOP
@GOPChairwoman
@officialOKGOP
@oksenategop…"
14,RT @Joe_Akana: Joe Akana U.S. Congress 2022 https://t.co/GXHVEvSGvp
15,"""No legacy is as rich as honesty.""

""Consider our freedoms not so much as to do what we want, but to do what is right.""

Walk in the Light, Lead by Example, Be the Change We Need to See.

Be a Sovereign Living Soul, a Guiding Light.

There is only one truth. https://t.co/H4rsoelj9I"
16,"RT @Hawaii_EMA: A 6.7 magnitude earthquake has been detected in the area of Jujuy, Argentina at 1:06 pm HST. At this time NO TSUNAMI THREAT…"
17,RT @Joe_Akana: https://t.co/clrOttUcFg
18,"RT @Candor808: Please follow @Joe_Akana and get on board as he becomes our next U.S. Congressman from Hawaii CD 2!

@gophawaii
@OahuGOP
@GO…"
19,"@Candor808 ""If we have learned anything, we have learned that we are not yet ready to learn everything."""
20,"""How is it that I can remember tomorrow?""

If we don't understand and recognize historical transgressions against WeThePeople, history will repeat itself.

Knowledge is power. Use your power to stop the cycle.

Walk in the Light, Lead by Example, Be the Change We Need to See. https://t.co/QMFGKO4aqK"
