Unnamed: 0,Text
0,@alexbruesewitz Ouch
1,"I am disappointed in the GOP’s recent treatment of LGBTQ conservatives at the Texas GOP convention, forcing gay conservatives out of the GOP and back into the Democrat party will backfire in 24. https://t.co/M0ijkXo28B"
2,@alexstein99 @BetoORourke So much for diversity and inclusion. Must that a zero tolerance policy for dissension? Critical thinking skills is a thing of the past; disagree and you will be thrown out. Not a good look for Democrats it’s weak.
3,Ran into my campaign manager ha ha love you Di’ https://t.co/3QUsvvJty3
4,"In loving memory of all of our veterans including my grandfather, stepfather and close friends. We thank you for your service. https://t.co/GN48QeumL7"
5,"@Freddie95725633 @AymanMSNBC @SymoneDSanders @symonemsnbc @CNNPolitics @ABC @TheView @rolandsmartin @RepTimmons @RamiroGarzaTX That’s because NY is a liberal state and there is no agenda to turn it blue, nor is it an election year, this is all about turning Texas blue, however we all saw through  it, when NRA protesters were all wearing Beto shirts. Great observation."
6,Now more than ever it is important to disseminate safer gun practices which the NRA is heavily involved in. We cannot allow the U.S. to become vulnerable to our enemies. https://t.co/xuN0G7RaSg
7,@ericarhodes Anytime sugar bugger
8,@ericarhodes Love this girl
9,The runoffs and special elections for TX CD 7 are up and we have two hard line conservatives on the ballot. Get out there and vote. The runoffs and primaries are elections that truly matter.
10,Huge thanks to Jeffrey and Now Media! https://t.co/92D7wwZcsr
11,"I want to thank our team for those of you that gave in good faith, and were there till the end, you know who you are, thank you and God bless. 🇺🇸👍🏳️‍🌈"
12,The latest ad. It’s home made with some video from Now Media and a little TLC. Huge thanks to everyone who has worked on the campaign. It is in your hands the voter. Atencio 2022 🇺🇸 https://t.co/ys80peJZpc
13,"Thanks for having me on your show Glen, get out there and vote now to reclaim ‘Your America’. 🇺🇸 https://t.co/BGMjgfInso"
14,"A huge thanks to the organizers of the Lincoln Reagan dinner in Fort Bend, and to Governor Abbot for attending. What a night! 🇺🇸 https://t.co/63Lh1nDiFS"
15,ENDORSEMENT ALERT. It is with great pleasure to recommend Dawn Buckingham for state senate. https://t.co/GcUv3oGx2n
16,Excited about early voting get out there and help us win. Huge thanks to the Pachiderm Club in Houston and Pappas BBQ. https://t.co/CppJRBbWgW
17,"Was delighted to meet with Jeffrey on Unique and Fresh, best of luck to you as your brand grows and becomes a pillar in the community. https://t.co/VveU05I8Xk"
18,Happy Valentines ya’ll https://t.co/VxQ7K713Ns
19,"The new republican party and ‘Your America’ 2022
#NRCC #USCongress #TXCD7 #youramerica #rudyatencio https://t.co/1VpsrJxtf7"
20,Huge thanks to the Indo-American Conservatives of Texas for allowing me to speak tonight. Thank you and God bless 🇺🇸 https://t.co/0RtEyM2XGp
21,What an Amazing night with BIZPAC.  Thank you and God bless. 🇺🇸 https://t.co/BbIPp884yi
22,"A huge thanks for allowing me to speak to the Women’s Republican Club of Katy, their precinct chairs and for an amazing brunch. We are going to win back the house in 2022
@RepublicanWomb @HarrisCountyRP @ConservativeTX_ @ANS_org @FortBendCounty https://t.co/RdJwVifJhx"
23,"Our thoughts and prayers are with family and friends of Pct 5 Corporal Charles Galloway; and all law enforcement officers affected by the recent spike, in police related murders in Harris county. https://t.co/jQxQTJEwd9"
24,Cant wait to speak to Jeffrey on our interview on our HTB project and the psychological effects of human trafficking. I was happy to see other republican leadership and candidates in the CD 7 race last night as we raise more awareness on the issue @timthearmymedic  @DonHuffines
25,@P8R1OT_PARADOX If I’m Elected the first thing i will do is hold a U.S. Congressional hearing on Samantha Powers director of USAID before Congress and find out if USAID was used to fund the NGO’s that facilitated the border crisis. Impeachable if authorized by Byden🇺🇸
26,"Met with precinct conservatives Cactus Jack Cagle and reps from other campaigns last night on the Westside, where candidates, and Precinct Chairs discussed several key issues."
27,@ScottPresler I was happy to be there and glad to meet you in person cant wait for ya’ll to come back to Texas. God bless!
28,https://t.co/3uBrnLwnpk
29,https://t.co/kTQ1IGU1sW
30,"Here is our latest message. We're going to fight for freedom and democracy, fight for jobs, get rid of mandates, and curtail vaccine surveillance, and coercion in TX CD 7.. God bless you and may God bless the United States. 🇺🇸🇺🇸🇺🇸 https://t.co/eMyDHeSV1v"
31,"@HarrisCountyRP Excited about all the hard work we are doing. Let's go Brandon, we are going to take back CD 7 this election and win back the house. May God bless you and may God bless the United States. https://t.co/dO1GRJn39h"
32,https://t.co/tRVpG407lg
33,Met with former border patrol agent Victor Avila and senior NRA officials last night at Taste of Texas. Proudly endorsing Victor Avila for Land Commissioner.  #NRA @VictorAvilaTX #todayspolitician #republicans #congress #txcd7 https://t.co/H5voXcq6lh
34,"January is human trafficking month happy to meet our DHS agents, crime stoppers, and underground railroad agents dedicated to breaking the chains of human trafficking. God bless the hard work you do. 🇺🇸 https://t.co/WOOCTf2e4I"
35,@GregAbbott_TX That is great news
36,Our Hispanic community is going to take back the House 2022. Congrats to the new RNC hispanic center. Nuestra communidad reclamara el congreso en el 2022. felicitaciones al nuevo centro de la comunidad Hispana. https://t.co/2WC8qR0j7Z
37,Was delighted to meet the TCA PAC thank you for a wonderful evening. https://t.co/HgPZEuLytk
38,"@POTUS Rates of inflation have skyrocketed,
supply chain disruption, mass immigration at our border, the murder rates have skyrocketed nationwide, tensions continue to rise, mask mandates and vaccine surveillance continue to curtail our civil rights. I am fighting for Your America 🇺🇸."
39,Cant wait to meet everyone see you there and bring any questions you might have. https://t.co/JAq4yzNM1L
40,"Loving our new campaign branding. Huge thanks to Brandon, and his staff. God Bless. https://t.co/orbV0WYLac"
41,We have so much work to do. Last night was wonderful and i must say quite an amazing experience at the sweetgrass republican club. Lets win this primary https://t.co/qiu18f73QC
42,Sweetgrass republican club and forum https://t.co/26dCIPlb1y
43,"Was delighted to meet everyone tonight at Jax on Shepherd in TX CD 7, the Dream Big America Project has Finally started gaining popularity and momentum. 
@CarmenMaMontiel
@thejamesonellis
@texas_sandra
@VidalMartinezTX
@MILAN2022
#montrose
#jax
#dreambigamerica
#RudyAtencio https://t.co/455U9BsMll"
44,"@MichaelBerrySho Wow that horrifying were in a fight for our children here. Stop the indoctrination, stop the mask hysteria, and vaccine passports. We want our freedom back!"
45,@MichaelBerrySho Yes that is why allot of us have walked away and continue to walk away. America is in trouble under the current administration and that why our campaign will always fight for your America!
46,@MichaelBerrySho Hi Michael im Rudy.
47,@TeamCornyn Hello please contact us for endorsements
48,"I am so proud of our team. We have assembled a team of 7 of us here in district 7. People from all colorful backgrounds, who represent the true prism of peace and the fabric of our constituents."
49,Hmmm thinking of making this our campaign theme ha ha Dream Big America’s innovation fits right in Coldplay - Higher Power (Official Video) https://t.co/3dXrve483A via @YouTube https://t.co/RtwaNewiOH
50,RT @RepMontague: Here’s a picture of my vaccine passport: https://t.co/VdpnmiyDkS
51,@MrsT106 Disturbing. Need i say more.
52,@GregAbbott_TX We stand in solidarity with you. The state of emergency mandate increases the tier of criminal trespass and therefore the length of time criminals are held in jail without compromising the Writ of Habeas Corpus. Thank you we still have allot of work to do.
53,Was delighted to meet @kayleighmcenany and I think we can all agree that life starts at the heartbeat which is why we’ve dedicated our national platform “The Heartbeat of America” May God bless you and may God bless the United States. https://t.co/LF1nUGUVbq
