Unnamed: 0,Text
0,"The effectual fervent prayer of a righteous man availeth much.James 5:16b

 https://t.co/9XMxRdPkce"
1,@MariaforW Wisdom cries out.
2,"@aarbaer NOT!  Six jurists said that the right to Life is a  constitutional protected issue, while abortion the  Right of the Will of the People issue.  Therefore the People through their legislators state by state can declare the issue legal or not."
3,"RT @SebGorka: How the Left Succeeded in the Culture. 

Watch this amazing analysis from a Harvard grad. https://t.co/MrRPCGsP3i"
4,"RT @JeffreyToobin: Where #SCOTUS is heading: all parents get vouchers and they can send their kids to public or parochial schools. ""Separat…"
5,@buttonslives @aarbaer @MattWalshBlog @AbigailShrier @ConceptualJames @wokal_distance @ChristinaPushaw @libsoftiktok @jordanbpeterson @wil_da_beast630 The is is very 🚨🚨🔊🔊🏠🔥
6,"@aarbaer Yup, sounds like a threat to me."
7,God does love everybody but He does not condone anybody’s sinful behavior. Father forgive them for they know not what they do. https://t.co/pedz8Og5JZ
8,"He who has ears, let them hear. #RuththeTruth https://t.co/dAaAEZu0YQ"
9,"Trust and believe, medical marijuana is the straw man for recreational marijuana.  Stop It🛑 My colleague David Mahan makes it plain. Watch https://t.co/GiwTUsr4iz"
10,"@RubinReport The stakes are too high, we’re talking about the national economy of the world’s super power! It cannot be left to someone who cannot  surround herself with the best advisors!! Come on! 🤦🏾‍♀️"
11,RT @RubinReport: Why do these 🤡 people who get everything wrong never get fired? https://t.co/kw4lDeulSu
12,"We need to rediscover the strength, courage, personal dignity, knowledge of God as the great defender and a relationship with Him to trust that His love IS more than enough and that He will right every wrong on our behalf. https://t.co/D1Uc0urzVr"
13,Time to WAKE UP the woke church in America - Charlie Kirk - Sean Feucht https://t.co/6NriKnVcFI via @YouTube
14,Newsmax is running a special report program on Woke America. I was interviewed to be a part of it. Check it out. https://t.co/AWnc1PLROU
15,https://t.co/5yLZU9tzDG
16,"@aarbaer Truth is the truth whether spoken from a Californian or Georgian, or Ohioan. It’s the truth. Don’t get it twisted"
17,"Join me at the OH @March_for_Life on October 5th in Columbus, OH to be a voice for the voiceless in our state! https://t.co/DMSEBtPQ20 #whywemarch"
18,"Good morning boys and girls, here’s your #RuththeTruth lesson for today… https://t.co/0zO00hTh3D"
19,@aarbaer Always!
20,"RT @FreedomSquareUS: Ruth Edmonds, one of our ambassadors, talked about Freedom Square on The Bruce Hooley Show! Listen in to this short cl…"
21,"I do not know of any K-12 educator who makes anywhere near this amount of money in a year much less over their lifetime educating America’s children. Conversely, there is not one football player, coach, or team owner that has the responsibility or weight of K-12 educators. 🤦🏾‍♀️🤦🏾‍♀️ https://t.co/ddupb9PcVx"
22,I had the honor of being commencement speaker at Ohio Christian University today.  Thank you Monty Lobb and Dr Kulaga #RuththeTruth https://t.co/BpvVC6EVnQ
23,"RT @aarbaer: Every time a public school passes one of these resolution they are just confirming that yes, they are talking to your 6 year o…"
24,@RealBrysonGray Genesis 6:5!
25,@aarbaer Absolutely.
26,"#RuthsTruth
Why is talking sexually in the workplace considered sexual harassment to adults…but talking about sexuality to children K-3 at school considered essential???"
27,@MariaforW 🤣🤣🤣
28,#RuthsTruth https://t.co/ADHE5z64TQ
29,'Get back to business': Disney shareholder blasts company for wasting shareholders' money on 'political crusades' https://t.co/1S9mfHvDt6
30,"Again I say, “the residents are running the insane asylum, aka the Whitehouse”, God help us!
Joe Biden Forgets He Was Vice President — but He's Totally Fine, You Guys https://t.co/2unFb4SM7z"
31,"The patients are running the insane asylum. Oh, that’s the Whitehouse!"
32,"Children are at risk in America. Shame on Americans, Christians and, the government for abandoning our children to sick minded adults and pedophiles. Thank you Gov. 
Gov. Ron DeSantis responds to leaked Disney comments about parental righ... https://t.co/LfBJChrmVt via @YouTube"
33,@WhitlockJason A good morning meditation https://t.co/23wIoswDUR
34,"#RuthsTruth Jason Whitlock, nailed it!  A biblical worldview cannot coexist with pornography (IG), the LGBTQIA+ agenda (Twitter), and a feminine guide to globalism (Facebook).
https://t.co/5NyRAYe4om"
35,#RuthsTruth biological men are not better women than biological women. They will always be different and other than.
36,"#RuthsTruth :21 seconds into his 11 minute oration he attributes the lyrics of a song to a passage in the Bible. WRING - it is a song!!!!!!
I bet the liberal media will not do to him what they did to Trump for saying “two Corinthians” 🤬
REALLY!!!!! https://t.co/5Yb7CyGIBx"
37,A name is significant. Senator Tillis OWES Judge Brown-Jackson an apology for mistaking her name for another jurist. He made the error right after scolding his colleagues for their previous bad behavior. He needs to own his stuff as my grandma Pearl said and correct his error.
38,@LizzWhitmarsh @ohiolife Congratulations Lizzie!!! 👏🏾👏🏾🎉🎉
39,"#RuthsTruth Ohio’s redistricting situation is a reflection of a liberal policy in effect, aka-ineffective."
40,"#aPearlofWisdom ""I hope our wisdom will grow with our power, and teach us, that the less we use our power the greater it will be."" Thomas Jefferson"
41,@MikeGibbonsOH https://t.co/Jr2eudbSwS is the digital commonwealth platform that will never cancel you.  Tell them Ambassador RuthTheTruth sent you. www.freedom https://t.co/Ig3NAION7Q.
42,#RuthsTruth https://t.co/82eYZCqUmO
43,"#RuthsTruth God has a purpose and a plan for our lives.  Christian Mama Bears “roar like a mother!” The year SIECUS was birthed in the earth, SO WAS I. This encroaching aggressive secularism must be stopped! https://t.co/UnyByedB4C"
44,#RuthsTruth  Game over for CRT and BLM. The language in this clip may offend some sensibilities but the message and the messenger are real. https://t.co/BU2csWDo7s
45,"#RuthsTruth man had to be educated into denying the existence of God. Word to the educated, get uneducated and get back to the knowledge of God. He’s waiting."
46,"Don’t sleep the judicial races they are just as important as gubernatorial and legislative.

https://t.co/uvJRenpxHJ"
47,#Ruthstruth“Affirmation doesn’t mean love and disagreement doesn’t mean hate”. That’s called linguistics stealing. Stop it.
48,“Fake definitions obscure the issues”
49,Take a look at these screen shots and see which country has the stronger leader 🤦🏾‍♀️ https://t.co/39rYvoeG3b
50,#aPearlofwisdom sense ain’t common no more
51,RT @votetimscott: The Democrats think that requiring ID to vote is wrong. This is the same party who thinks we should require vaccine cards…
52,"This is what happens when people get mad at God, they take it out on themselves. Identifying yourself by your sexuality is beneath your God ordained human identity. God said we are “fearfully and wonderfully made”. No need to lower the standard. Go ahead and wrestle with God. https://t.co/jhrEJQUEQ3"
53,RT @SebGorka: A true President https://t.co/UwBsUgFb6b
54,"The true Americans are those who vote. The true Americans are those who take responsibility for the government (order) of their society. The true Americans are those who look for ways to build it up, not tear it down. America needs true American to stand and speak for her."
55,"America is desperate for leadership that is strong and of a good courage.  https://t.co/qnH8XR1Ne0
https://t.co/fVy2E0RXl9
https://t.co/VicmJDb36Z"
56,RT @ginacarano: https://t.co/FcoGvxJ4Y5
57,"RT @aarbaer: There is 74% chronic absentee rates in columbus public.

40% in Cincinnati.

And meanwhile, these schools get BILLIONS.

The l…"
