Unnamed: 0,Text
0,"I applaud the courage of the Supreme Court in its decision that there is no constitutional right to abortion. The ruling is a victory for life, the integrity of the Constitution, and our American values."
1,RT @BradyDukeFL: We’re going to Congress to do what we’ve been trained to do: fix a problem. #SendTheSEALs   https://t.co/7MACqJNzZO
2,@FreeBeacon @Kredo0 This is how we created safe spaces when I was in the Navy. https://t.co/kNtLr3Ws7V
3,"RT @derrickvanorden: STILL the shortest kid in the crowd! 

With some of my fellow SEALs running for congress to bring some sanity back to…"
4,RT @derrickvanorden: Send in the SEALs! ⁦⁦@foxandfriends⁩ w/ ⁦@EliCraneAZ⁩ ⁦@BradyDukeFL⁩ ⁦@RyanZinke⁩ https://t.co/zW4oPefAvX
5,RT @BradyDukeFL: Coming up live on @foxandfriends with fellow SEALs running for Congress @RyanZinke @derrickvanorden @EliCrane_CEO 🇺🇸 https…
6,"RT @aaronflint: ""That's why my guys train. That's why they joined the National Guard."" Lt. Col. Noah Genger is the commander of the 189th A…"
7,RT @GovGianforte: This afternoon I received a briefing from Flathead County Sheriff Brian Heino on ongoing flood conditions in the Flathead…
8,"Happy Fathers Day to all the dads out there and thank you to all the great gals who made us dads! Raising kids is hard but noble work and so, so rewarding. https://t.co/KsE7BwvBfG"
9,RT @BradyDukeFL: Congratulations to my friend and fellow Navy SEAL Ryan Zinke for winning his primary in Montana last week! I’m honored to…
10,"Misplaced quotes, “for the benefit and enjoyment of the people”"
11,"As is inscribed on the Roosevelt arch welcoming visitors to the park, “Yellowstone was created for the benefit and enjoyment of the people” Congress and the admin must not bow to radical environmentalists. We must rebuild! https://t.co/sX2fB8003s"
12,"RT @RepRosendale: Today, @SteveDaines, @SenatorTester, and I sent a letter to @JoeBiden, urging him to approve the State of Montana's reque…"
13,As flooding continues in the Flathead remember: Safety First. A flooded road may look passable but there is no way to tell the condition of the road or the strength of the current below the surface. Swift water is dangerous &amp; rescues perilous. Stay updated on local conditions.
14,"RT @MarshaBlackburn: First, they laced gummy bears with fentanyl, and now they’re hiding it in dollar bills. 

Every town is a border town…"
15,Happy Flag Day 🇺🇸 https://t.co/095QZyE2wc
16,@MaritsaGeorgiou 🤦🏼‍♂️
17,"There is no amount of air lifts that will be adequate to serve the people of Gardiner and other small, isolated communities in the area. The Biden Admin must act now to save lives and prevent long term crisis. https://t.co/yo6Ru5hTCE https://t.co/1f2vmmMAUs"
18,"RT @MaritsaGeorgiou: INBOX: @RyanZinke, former Interior Sec. and candidate for Montana's newly regained US House seat, calling on Biden adm…"
19,RT @GovGianforte: I have declared a statewide disaster due to flooding to help impacted communities get back on their feet as soon as possi…
20,"RT @GovGianforte: To support those impacted by flooding in Red Lodge, @MontanaRedCross opened an evacuation shelter at the Gruell Building…"
21,Thinking of &amp; praying for those around the Yellowstone River. Looks like a 100 year flood is in works. Take all safety precautions in high water. Fast moving &amp; murky water can be extremely dangerous &amp; deceiving. Don't take chances. Stay up to date w/ your preferred news source.
22,RT @GOP: Congratulations to @RyanZinke on his primary win! His leadership in Congress and the Trump Administration will represent the Big S…
23,RT @SteveDaines: Congratulations to @RyanZinke on his victory in the GOP primary for Montana’s Western U.S. House District. Can’t wait to s…
24,Great night in Libby! Thank you Lincoln County 🇺🇸 https://t.co/QqLLBuz1Ft
25,RT @MTGOP: Congratulations to @RyanZinke on securing the Republican nomination for MT-01! https://t.co/UZWQbNklv5
26,RT @mara_silvers: @RyanZinke AP does as well. https://t.co/WazEqkk5rw
27,RT @DecisionDeskHQ: Decision Desk HQ projects Ryan Zinke (@RyanZinke) is the winner of the Republican nomination for U.S. House District 1…
28,RT @aaronflint: Wow. .@RyanZinke had millions fired at him from the left and the right...yet...he appears to becoming out of the primary li…
29,"RT @JSAmbarian: BREAKING: Former U.S. Rep. @RyanZinke appears to have secured the Republican congressional nomination for #MT01, after the…"
30,Thank you Western Montana! 🇺🇸 https://t.co/L0JRO0C2Fq
31,"RT @EliseStefanik: It’s Election Day, Montana!! 🗳️🗳️🗳️

Make sure you get out and vote for my friend, @RyanZinke in the #MT01 primary!

I w…"
32,Remember to bring your ID when you vote today! 🇺🇸 https://t.co/G35QEWRznp
33,https://t.co/u3neD46cU4
34,Two days to go! https://t.co/p2dtFJ5CvW
35,Pups out knocking doors for Team Z this weekend! 🐶 🇺🇸 https://t.co/S54vu0PlOF
36,RT @MarshaBlackburn: The White House is REFUSING to tell the American people exactly when Joe Biden was briefed about the baby formula shor…
37,"RT @TomCottonAR: Joe Biden said that ""more Americans feel financially comfortable"" under his leadership.

Biden's confusion is getting wors…"
38,Four more days full Election Day! Vote today or on June 7th! https://t.co/BNKVpd1JOU
39,"Once again the Biden Admin turns to foreign shores for oil instead of Montana, North Dakota and Texas. Drill it at home, mine it at home, harness &amp; produce it at home. That’s how we became energy dominant when I was Secretary of the Interior and how we can again. 🇺🇸"
40,"RT @johnrobertsFox: Big miss in the May ADP employment numbers.  128,000 jobs created - well below the 300k forecast"
41,"RT @RepTenney: CEOs and industry experts told Joe Biden that a baby formula crisis was looming, and he did nothing. 

Biden failed once aga…"
42,@aaronflint @harriethageman @HagemanforWY She’s really something! Met her in Florida with President Trump. Really impressive and smart. Looking forward to serving with her. 🇺🇸
43,"Powerful! Did you know the Flathead Electric Cooperative produces power from garbage?  

In 2009, they built the first methane gas-to-energy project in Montana. Today the plant generates enough electricity to serve up to 1,600 households. Impressive operation. Love this.🌳🔋 https://t.co/myiVC2TfVi"
44,Good morning Whitefish! We finally got a sunny morning for sign waving! Big thank you to one passerby who stopped to give us kind words and a box of cookies! 🍪 🇺🇸 https://t.co/EzlWEG0IaX
45,"RT @SEALLegacy: This Memorial Day, we REMEMBER &amp; HONOR those who courageously gave the ultimate sacrifice to our country. Together, we can…"
46,Honoring those who made the ultimate sacrifice for our Great Nation and the Gold Star families. Our debt can never be repaid. https://t.co/GHUwg7ZuwN
47,"Lola and I had a fun afternoon at the Flathead GOP family picnic. it was a great opportunity for voters to meet local candidates like Dave August, Pam Holmquist and others. Folks are fired up for the election! 🇺🇸 Vote Ryan Zinke on June 7th or absentee/early now! https://t.co/oBQME8e7iW"
48,When we put America First we put Montana First! 🇺🇸
49,"RT @SEALLegacy: This Memorial Day Weekend, help support the Honored SEAL Legacy Scholarship Program. Each scholarship is awarded to depende…"
50,"Don’t believe the lies. Except for serving my country as a Navy SEAL, I’ve lived in Montana my whole life. And still do. https://t.co/gJ4wXGQhbT"
51,These operators are heroes. https://t.co/0wldjRSZZu
52,RT @mchooyah: Remember when suburban moms didn’t want to vote for Trump because “he was mean”? Remember when suburban moms used to be able…
53,Epic senior prank. And a good work around for Biden’s gas prices. https://t.co/sPmoJfHGqM
54,Got to meet some great people knocking doors in Belgrade yesterday! Reid was excited to fill his spring bear tag this weekend! https://t.co/8OcU2soO7n
55,Let’s Go Branding! https://t.co/R0Iaiw6EoE
56,May God bless America and the men and women who defend her. 🇺🇸 https://t.co/21GpukFiiK
57,We know how to fix the border crisis. We did it once and can do it again! https://t.co/equT3Ehmfp
58,Writing thank you cards is a great way to spend a rainy day. https://t.co/pz7GwENdVw
59,"RT @TeamZinke: Just a couple Whitefish old timers at the VFW laughing at the nonsense that Ryan Zinke isn’t a Montanan. “Give ‘em hell, Rya…"
60,"🚨 BREAKING: The Montana Supreme Court has restored Montana’s voter ID law and ended Election Day registration. 

🇺🇸 WIN for election integrity 🇺🇸"
61,RT @elonmusk: @bennyjohnson Is this legit?
62,Always good talking with John and Robin on @KGEZ1 https://t.co/fRGW75BRcZ
63,"RT @SiriusXMPatriot: Today on @davidwebbshow
9am-12pm ET

9:40AM @RyanZinke 

10:00AM @mbabramson 

11:00AM @SenMastriano
   
Call in 866-9…"
64,Good morning Kalispell!!! We’re out saying hello this morning. Catch me on @KGEZ1 in the 9AM hour. https://t.co/X1NL7FuINg
65,"RT @aaronflint: On call right now- President Trump highlighting American energy dominance under Interior Secretary Zinke, along with openin…"
66,"RT @aaronflint: Trump: Ryan Zinke was always there to help. ""Ryan has my complete and total endorsement...we're gonna get rid of crazy Nanc…"
67,Big beautiful sign! https://t.co/IA7jgXB5He
68,"RT @miles_commodore: Highest gun ownership by state...

Montana 66.30%
Wyoming 66.20%
Alaska 64.50%
Idaho 60.10%
West Virginia 58.50%
Arkan…"
69,RT @aaronflint: Zinke and Trump Doing Monday Night Montana “Tele-Rally” https://t.co/9Z9IKkCBGL #mtpol #mtal
70,Hello Flathead! 👋🏼 https://t.co/GvPOBMeOyu
71,Beautiful day for a picnic with my beautiful wife. Love you baby. 📍 Tally Lake https://t.co/WplhOTxAu8
72,Beautiful sunrise driving through Deer Lodge this morning! https://t.co/SQqbU8Und5
73,Well deserved https://t.co/kSlVxTLiwa
74,The only explanation for Congress buying Pelotons for themselves and staff is that they are on crack.
75,RT @TeamZinke: (3/3) We question why Politico is espousing misogynistic values and doubting that a woman is capable of owning property and…
76,"RT @TeamZinke: (2/3)… graduated high school, his sons graduated high school, and has lived his entire life - and his records prove that. Ry…"
77,RT @TeamZinke: Politico continues its weird obsession with harassing and making up stories about Ryan and his family. No matter how creativ…
78,Joe Biden’s America. https://t.co/S5ZwErK2RK
79,📻 Tune in to Montana Talks with @aaronflint this morning at 8:40am.  Listen live with this link 👉🏼  https://t.co/VC2FevAIPn  or find  your local station below. https://t.co/LiLru9916t
80,@BrentScher @FreeBeacon @PatrickHauf DC is on crack
81,The Biden Admin created the gas price crisis. https://t.co/n8sJkFHZvM
82,RT @TeamZinke: 🇺🇸 President Trump is hosting a Montana tele-rally in support of @RyanZinke for congress! register at https://t.co/lytC8OK30…
83,Thanks to @JSAmbarian from MTN news for getting up early and spending a couple hours with us. Great to show him my home where now four generations of Zinkes have built their lives and continue to live today. https://t.co/elHXxu3GsM
84,👋🏼 Another great morning saying hello to the fine people of the Flathead. Good to be joined by HD5 candidate Lyn Bennett. https://t.co/zhd3Z8J0hk
85,"RT @DanCrenshawTX: It’s day 477 of the Biden administration, we have record gas prices, and they have STILL NOT LEASED ONE ACRE OF LAND TO…"
86,Enjoy this little fox kit spotted by the Team Zinke sign crew today in Gallatin County https://t.co/ZU9WEZAPFu
87,"RT @GovGianforte: Sunday is Mother’s Day, and here in Montana, that means fishing is free all weekend long. There’s no better way to get th…"
88,This morning veterans of VFW Post 276 in Whitefish participated in the @VFWHQ’s national day of service. There’s more opportunities to volunteer this month if you’re interested 🇺🇸 https://t.co/KIar2QMVSJ
89,Good morning Bozeman! 👋🏼 https://t.co/UDIDCrAfQ8
90,"We got it done for Montana once, and we’ll do it again. 🇺🇸 https://t.co/Z1EkTacSij"
91,"Today we honor &amp; remember the missing &amp; murdered indigenous women who deserve justice. It’s an issue I’ve worked on since my first term in Congress. Work has been done to help coordinate investigations but it’s still not enough. Thankfully, it remains a bipartisan effort. #MMIWG https://t.co/pG4t5BIlyz"
92,Good morning Columbia Falls! 👋🏼 https://t.co/f575rviOvM
93,God bless America! https://t.co/I6R6MWl9nC
94,"RT @kilmeade: Russia intensifies attacks on key Ukrainian cities, right after Sec. Blinken and Sec. Austin meet with Zelenskyy in Kyiv. @Ry…"
95,Good to join @kilmeade on Fox and Friends this morning. Now time for radio. Hope you can tune into @foxnewsradio at 9am et/7am mt! 🎧 https://t.co/hi3He6U6iF
