Unnamed: 0,Text
0,RT @ninaturner: And we aren’t discussing donating to them anymore 🤷🏾‍♀️
1,RT @ninaturner: The Biden-Harris administration is failing to meet this moment. People will die because of this. There’s no sugarcoating it.
2,RT @josephfcox: New: Facebook is removing posts and temporarily banning people who say that they will mail abortion pills to those who need…
3,"RT @ronanburtenshaw: There’s more than 100,000 workers in Royal Mail being denied a proper pay rise – and they’re not having it.

We’re hea…"
4,"RT @geebeeleuterer: But Colin Kaepernick got scrutinized for kneeling...  Hey, if a coach can pray at the 50 yard line, Colin can kneel whe…"
5,"RT @cyndeecexxx: remember stonewall, where gay people voted a lot"
6,"RT @JoshuaPotash: What gets me about the ""just vote"" argument is like the opposition is not ""just voting"" they're harassing people at libra…"
7,"RT @carterforva: That's not what the case was about.  He was coercing students into prayer, and the court just said that he can do that.

A…"
8,"RT @ninaturner: Primary every Democrat that doesn’t believe in abolishing the filibuster for abortion rights, at least."
9,RT @DeathBecumsMe: Women are allowed to have sex for pleasure.
10,RT @JoshuaPotash: Not to be that guy but it seems like it really should be bigger news that the national guard is now helping crack down on…
11,"RT @DaultRadio: The Americans with Disabilities Act was passed in 1990.

Christian denominations lobbied against the Act, and in fact churc…"
12,RT @davenewworld_2: An abortion ban will result in more men committing murder. This isn't hysteria or a false panic. It's an objective trut…
13,"RT @punished_cait: when your baby starts to die in your womb, they don't make sure to do it during business hours or in an easily definable…"
14,RT @ts021695: You CANNOT say that you believe in democracy if you are AGAINST 3rd parties and open primaries
15,"RT @ItsDanaWhite: When you begin to understand homelessness as the result of many intentional policy choices over generations, you begin to…"
16,"RT @bmrwshow: If you wanted people to have more babies and marry earlier, you could have just canceled student debt."
17,RT @AnuheaNihipali: “if you can’t afford to have a kid don’t have sex”…. so you think sex… should be… a class privilege…. I’m—
18,"RT @ndnmenace: they denied my tribal ID at the door, insisted it was ‘fake’ and a ‘high school ID’, had me questioned by 3 men. then procee…"
19,"RT @ib2_real: Peaceful protest met with State Sanctioned repression is the only time marching turns violent. 

And, blocking journalists fr…"
20,RT @paultrust: Today is my last day teaching my students because our music program is being shut down by @NYCMayor’s cuts.  I asked my stud…
21,RT @IlhanMN: The Supreme Court just ruled that public school teachers can pressure students to join in prayer at public school events but c…
22,RT @YoloAkili: Replacing “marginalized communities” with “intentionally exploited communities”.
23,"RT @ninaturner: .@VP says “she won’t go there” when it comes to calling for the filibuster to be carved out to codify Roe.

If that’s the c…"
24,RT @samhaselby: That Starbucks is offering reproductive healthcare for its employees but warning it will not do so for unionized employees…
25,RT @nunyabizniz80: this should be happening to all of them all of the time
26,RT @GoodPoliticGuy: Why tf does Nancy Pelosi need my money when her husband is the most successful insider trader in the country
27,"RT @IlhanMN: 5 justices confirmed by a POTUS who lost the popular vote.
4 lied under oath.
2 credibly accused of sexual assault.
1’s seat l…"
28,RT @ninaturner: Demanding better from Democrats makes you a good Democrat.
29,"RT @ninaturner: The constitution is pretty clear that if you’re not a white, land-owning male, your rights are up for debate. And the GOP i…"
30,"RT @GunnelsWarren: Violence is never the answer they say as they vote to give the Pentagon, war profiteers and the merchants of death $45 b…"
31,RT @ninaturner: They’d call the Senate back in session and give women more rights than we’re asking for.
32,"RT @ninaturner: If they called codifying Roe “the military spending act,” it would be passed by tonight."
33,RT @ninaturner: Congress acted quicker to protect Supreme Court Justices than they are to protect the people whose rights those Justices ar…
34,RT @bourgeoisalien: liberals are more angry at the left for correctly identifying what led us here than they are at actual fascists
35,RT @ninaturner: The enslavement of Black people did not end in this country by voting harder.
36,RT @ninaturner: Fascism has to be met with a revolution.
37,RT @mattduss: Just so people are clear on the dishonesty and bad faith at work here: AIPAC’s attacks on progressives as “bad Democrats” are…
38,"RT @ninaturner: Tesla is paying for abortion care for their employees while @elonmusk is advocating for Ron DeSantis for President.

Can’t…"
39,"RT @ninaturner: Democrats hold the House, Senate &amp; White House.

Act."
40,"RT @ninaturner: Since they love abstinence so much, abstain from buying their products.

General strike."
41,"RT @ib2_real: This one is especially troubling given a law we just passed last year protecting journalists 

https://t.co/X38ORbkLDO

https…"
42,RT @VPS_Reports: BREAKING: I spoke with the abortion rights protester in Los Angeles who was stabbed last night after the march. Their arm…
43,RT @BenjaminNorton: Sadly the perfect symbol of the authoritarian US police state: cops in New York City needlessly arrest a struggling mus…
44,"RT @SamtheNightOwl: supreme court precedent this, supreme court precedent that...

there's precedent to just ignore the supreme court, and…"
45,RT @keffals: to all the people coming to my profile because they are fans of libs of tiktok: i am not a teacher. you cannot get me fired. i…
46,"RT @CharoShane: You might think you should get you money together first but appointment first, money later. If you can find a NAF (@NatAbor…"
47,"RT @ninaturner: We will not see a change in policy by following the directions of the people with established power. 

Disrupt the flow of…"
48,"RT @ninaturner: House Democrats hold the power to draft articles of impeachment of Supreme Court Justices.

They should do that instead of…"
49,RT @CallForCongress: A good time to remember that @CoriBush had a resolution to investigate and hold accountable the Republicans who refuse…
50,RT @kibblesmith: Please try asking as much from *The President of The United States* as you do of strangers on the internet.
51,RT @RebeccaforWA: I am tired of hearing about how we need to fix Democratic messaging. More important is CONTENT: help people fill their ga…
52,RT @IwriteOK: Andy Ngo is apparently going after me again. This is your reminder that one of his followers carried out a mass shooting earl…
53,RT @anxiousnblonde: When my dad found out I was pregnant (I was not yet married and still lived at home) he handed me $500 and told me to g…
54,RT @bellikemike: It pained me to see @JodieSweetin thrown to the ground by members of the LAPD as she was trying to lead a group of peacefu…
55,RT @bellikemike: Peaceful protestors marched from city hall towards a freeway on ramp where they were confronted by the LAPD. Officers quic…
56,RT @strategerydept: the founding fathers would be like what do you mean there are catholics on the supreme court
57,RT @RebeccaforWA: It’s extremely scary how quickly the right has taken the culture wars to “gays are groomers.”
58,"RT @AROC_TIA: &amp; not all of Cali is safe. My last abortion in Fresno, California my car was towed within 5 minutes of arriving for my proced…"
59,"RT @ReddIsAri: Y’all don’t be afraid to go visit your representatives, they work for YOU. Ask them why they haven’t fulfilled any of their…"
60,"RT @chenweihua: @thehill Does that include the $7 billion stolen from Afghanistan, where people are starving?"
61,"RT @Salem4Congress: Biden made moves that helped conservatives get on SCOTUS, Pelosi backed anti-choice Democrats, RBG refused to retire wh…"
62,"RT @moshik_temkin: I will repeat this as long as I have to, when the Supreme Court said in 1937 that the Social Security Act was “unconstit…"
63,@Carrie_Jeanne Don’t fuck with Susan https://t.co/f82iW2oA8J
64,Susan Sarandon getting ready for her next 5 dimensional chess move https://t.co/t8SflTT9cI
65,@MumsyNancy Irony is dripping from this tweet 💧
66,"Biden made moves that helped conservatives get on SCOTUS, Pelosi backed anti-choice Democrats, RBG refused to retire when it was safe, &amp; Obama dropped codifying Roe v Wade as a priority after getting elected

but sure, it was Susan Sarandon &amp; the Bernie supporters who caused this"
67,"RT @chrisdier: Never forget that the primary reason for not adequately funding public schools, paying teachers a proper wage, supporting th…"
68,"RT @MrErnestOwens: Celebrities, more of this please.

Nobody want any damn cryptocurrencies -- they want to get out of crippling debt!"
69,"RT @blackintheempir: Another reminder

The United States Defense Secretary was on the Board of Raytheon"
70,RT @caitoz: Friendly reminder that the CIA spied on Assange and plotted to assassinate him and US prosecutors built a large part of their c…
71,"RT @ljmontello: To everyone arguing that if we forgive student loans they should have their mortgages forgiven.

Yes, I wanted us to bail o…"
72,RT @Snowden: #DontExtraditeAssange
73,RT @QasimRashid: People who think Emmett Till was ancient history should be reminded that 18 current members of Congress are older than him…
74,"RT @codyrhannah: Today after working a full shift at the restaurant I left with $70, $50 of which went to put gas in my car (which only got…"
75,RT @acony_belle: SO UM my friend got arrested for tagging city hall and as part of probation they had to take a “life skills” class (contra…
