Unnamed: 0,Text
0,"RT @RoyCooperNC: The last few days have been hard. But know that as long as I’m Governor, and voters keep enough Democrats in the legislatu…"
1,Just went to @McDonalds for a chocolate milkshake. They were “servicing their machine.” 😂
2,"RT @JeffJacksonNC: No exception for rape is the clear trend for states that are banning abortion. Think about the implications of that. 

I…"
3,How is this tweet still up and not deleted? SMH. 🤷‍♂️ https://t.co/xqpMyXQ9sk
4,"RT @friendsforbatch: Many of us are angry, devasted and scared about #RoeVsWade being overturned. Some feel hopeless. We can't change the S…"
5,@JimErlinger @HillaryClinton I agree.
6,"RT @BarackObama: Today, the Supreme Court not only reversed nearly 50 years of precedent, it relegated the most intensely personal decision…"
7,RT @KamalaHarris: Millions of women in America will go to bed tonight without access to the health care and reproductive health care their…
8,"RT @ChrisMurphyCT: Let’s be 100% clear. If Republicans win control of the House, Senate and White House two years from now, they will pass…"
9,RT @RepAdamSchiff: Abolish the filibuster. Codify Roe.
10,RT @JustinTrudeau: The news coming out of the United States is horrific. My heart goes out to the millions of American women who are now se…
11,"My God, let it sink in how consequential @HillaryClinton’s loss was in 2016….. #ncpol #RoeVsWade https://t.co/FjsAWdLi28"
12,RT @JoshStein_: I have a message for the women of North Carolina: you still have a legal right to an abortion in our state. North Carolina…
13,"It may have taken “Running Up That Hill” 37 years to reach number 1, but wow, #KateBush is certainly having a moment. #StrangerThings #1980s #RunningUpThatHill https://t.co/cLPHJZnQ4L"
14,RT @Chasten: Our two-month-old son was on a ventilator at the children's hospital when you attacked my husband for being with his family. I…
15,"The “NDO, which not only protects LGBTQ people but also outlaws discrimination based on race, ethnicity, hair, creed, sex, pregnancy, marital status, veteran status, age, and disability.”"
16,"We are a welcoming community with a massive #lifesciences industry. The life sciences industry embraces diversity and seeks to locate where #diversity and #inclusion are promoted. @ToHollySprings do the right by your citizens, adopt the NDO. #ncpol 

https://t.co/F35bpYSHzN"
17,What’s your plan? https://t.co/QcZiW9agWf
18,Its 12:30 and we are just sitting on the ⁦@JetBlue⁩ plane at ⁦@RDUAirport⁩ waiting for a jet bridge driver to pull the jet bridge up to the plane. It’s been at least 15 minutes and nothing— so many unforced errors by the airline on this trip to #LAX and back. 🤷‍♂️ https://t.co/ZM0Fk2FBtI
19,RT @ColMorrisDavis: Any word on when ⁦@MarkMeadows⁩ is going to prison for voter fraud? https://t.co/DnvEgGLrmY
20,Just watched @licoricepizza while flying on @jetblue from #lax to #jfk. Definitely the best movie I’ve seen in at least 5 years. Maybe it’s because I’m a child of the 70’s? 🤷‍♂️ #greatestgeneration #genX #childof77  #socal #encino
21,I’m enthusiastically supporting Willie Rowe for Wake County Sheriff in both the runoff and (likely) general. I’ve gotten to know Willie well over the past few months and find him to be a highly experienced LEO laser-focused on bringing exemplary leadership to the role. #ncpol
22,"RT @NCCommColleges: Yesterday, pharmaceutical giant Eli Lilly broke ground on a billion-dollar manufacturing facility in Concord.  The Grea…"
23,Oh the paradox. #nc13 #ncpol https://t.co/qnxgYPTa45
24,"@BoHines Just two regular blue collar working class Americans hanging out at a $125,000,000 estate, you know, working. https://t.co/zBZUq0v5hL"
25,@p_higg @BoHines Preach!
26,@JustinforJoCo Bingo. @BoHines what say ye?
27,"You transferred to @Yale when you decided @NCState wasn’t good enough for you .@TheDemocrats support American workers. Dems fight for access to healthcare, EITCs, universal pre-K, &amp; workforce training. How do you plan to support working class people? 🤷‍♂️ #ncpol #nc13 #NoMoBo https://t.co/fTFvUs0fjk"
28,Many of you don’t know that I am a complete weather nerd and proud of it. I am fascinated by the weather. This is footage shot in #Currituck county earlier this afternoon. #ncwx https://t.co/btmhVmFErB
29,@JudgeBobOrr This is spot on.
30,@doherty_eliz @NotKovach Unfortunately their ice cream machine will be broken.
31,Full stop. https://t.co/OPQacgvRvu
