Unnamed: 0,Text
0,https://t.co/jJXa7XHFJw
1,God’s beautiful creation! https://t.co/ZkwvIKbX4I
2,Signs are going up for Suzie Pollock for Missouri Senate in Senate District 16!!! #Faith #Family #Freedom ✝️❤️🇺🇸 https://t.co/mGAN0LJGxa
3,Knocking doors with Rep. Cheri Toalson Reisch for our colleague and friend Representative Suzie Pollock for State Senate in Missouri Senate District 16! #Faith #Family #Freedom ✝️❤️🇺🇸 https://t.co/b3f03QQXkH
4,"A lovely evening to work in the Prairie Home Lions concession stand with my good friends Dennis and Lisa Schilb! Much love❤️, Cooper County! It has been an honor to represent you in the Missouri House. You will be well represented by Representative Tim Taylor next year! 🇺🇸🙌 https://t.co/fgST6WUsCX"
5,Honored to speak at today’s Dobbs Decision Day Rally in Jefferson City to celebrate LIFE!!! #LifeIsPrecious #RightToLife ❤️🇺🇸🙏🏻✝️🙌 https://t.co/0FiBO2ew2y
6,BREAKING: DOBBS: The Constitution does NOT confer a right to abortion; Roe v. Wade &amp; Casey overruled; the authority to regulate abortion is returned to the people and their elected representatives! My statement below! 🙌✝️🇺🇸❤️🙏🏻 https://t.co/2ZEjwofzW7
7,"The heavens declare the glory of God, and the sky above proclaims his handiwork. - Psalm 19:1 https://t.co/KUq8yEAaS6"
8,"A beautiful sunset after Church tonight! ❤️ “For his invisible attributes, namely, his eternal power and divine nature, have been clearly perceived, ever since the creation of the world, in the things that have been made. So they are without excuse.” Romans 1:20 ✝️ https://t.co/6zqvtlaFje"
9,I have a new guest in my backyard! https://t.co/c53dyB3cTj
10,Fun at the Capitol with family! ❤️ My nephew says “Hello Capitol!” ❤️🇺🇸 https://t.co/OBkfWMIjA7
11,🤣 My office is working on school packets &amp; apparently this is what the Missouri Department of Health @HealthyLivingMo provided us with. There is no way I am handing these out in my district. 🤣 You’re welcome! 🤣 *asthma is a serious health condition and this is ridiculous* @EPA https://t.co/MbWRiRSYfO
12,District *58
13,Honored to serve with Representative Willard Haley in the Missouri Legislature. His steak fry fundraiser is tonight at the Moniteau County Fairgrounds until 7pm or so. All of Moniteau County will be in District 48 due to redistricting. Come say hi! 🇺🇸 https://t.co/pWGFvUtrIm
14,Your government must not be incentivizing red flag laws with your tax dollars. This should be a no brainer for Republicans. Proud to sign onto this letter to our Senior Senator from my colleague. 🇺🇸 #2A #ShallNotBeInfringed #Constitution https://t.co/8EMRa3cyBJ
15,…..While here… let’s get some things done in the Missouri Senate…. 🤣😁🇺🇸🙌 https://t.co/loRGUiV3Y5
16,"At the Missouri Capitol with several of my House colleagues to assist @ALAMOGirlsState for their mock session in the Senate chambers. w/ Reps. Basye, @PeggyMcGaughR39 Willard Haley, @AnnKelleyMO, @edlewis_g 🇺🇸 #moleg https://t.co/cHxvRfRNuf"
17,"Cleaned out my Capitol office today (yes, I’m still a State Representative through the end of the year but working ahead is a life principle of mine!). Many thanks to @CJheartart &amp; everyone for your prayers my past five years in the Missouri House. May the Lord bless you! 🇺🇸 https://t.co/GabCWmMsAt"
18,Beautiful day for a ribbon cutting! Great to be at @RustyDrewingGM in Jefferson City for their grand opening! https://t.co/ks2l0XrEyH
19,It has been truly an honor representing Republicans in Boone and Cooper Counties as their State Committeewoman for the past decade on the @MissouriGOP State Committee. 🇺🇸🐘 - attending this morning’s June meeting of the Missouri Republican State Committee https://t.co/3E1QwbxCqv
20,…. “Walsh said there is something about Moniteau County that always makes her feel so welcome. ‘...when I'm here you guys make me feel like a rock star.’ Walsh said. ‘And I don't deserve that. But you make me feel like that.’”… https://t.co/jzjnRWXT8J #District50 🇺🇸
21,What is your State Representative doing this beautiful day? Ripping dead trees straight out of the ground with my bare hands. 🙌🇺🇸💪#District50 https://t.co/wfdzuz859U
