Unnamed: 0,Text
0,"The future of Wisconsin and our country will be shaped by the next generation of leaders.

Listening to these inspiring young people, including our own interns @henrypahlow + @maggiekeuler, speak at #WisDems2022 filled me with hope. I’m so proud of how hard they work every day! https://t.co/MyzeeFZnFj"
1,We are going to defeat Ron Johnson this November. https://t.co/Eq1dLKCP7b
2,"I had a whole speech planned for #WisDems2022—but then, Roe v. Wade was overturned. And I’m pissed off.

We had 50 years to codify Roe, but the Senate treated our reproductive freedom like it was an extra credit project. I'm running to make it a priority. https://t.co/gN3efU0Awv"
3,"Thanks to everyone who voted in the @wispolitics straw poll! As I always say, I’ve been underestimated my entire life, but every time someone has told me what I CAN’T do, I’ve shown them what I CAN do.

That’s what I’ll do in this race—and when we defeat Ron Johnson in November. https://t.co/UFD15sMVPb"
4,"It was so great to be back home in western Wisconsin for #WisDems2022! We’re energized and ready to:

✔️ Defeat Ron Johnson
✔️ Re-elect Tony Evers
✔️ Elect Democrats up + down the ticket

Let’s get it done. 💪 https://t.co/t0SRCUU88R"
5,RT @jessicaforwis: U.S. Senate Candidate Sarah Godlewski: “I’m so sick of them treating our bodies like a extra credit project. https://t.c…
6,RT @sbauerAP: @benwikler @RonJohnsonWI @SenRonJohnson @SarahforWI Godlewski says she would push to pass a law legalizing abortion as it was…
7,"RT @NicholsUprising: “In 2018, I flipped more Trump counties than the Governor, the Lieutenant Governor and the Attorney General… My name i…"
8,"Hey, Team Sarah! 🤞Reminder: You’ve got until noon today to vote in the straw poll at the @WisDems 2022 Convention today! Just look for the @wispolitics booth in the Unity Hall."
9,RT @byjackkelly: UPDATE: @SarahforWI campaign tells the @CapTimes that it has now surpassed Friday's total for individual donations in a da…
10,"RT @Tony4WI: Yesterday, women in Wisconsin became second class citizens. That’s BS. https://t.co/I4imrWy3q4"
11,"People are devastated and furious—and they know I’ve been in this fight since the beginning, not just when it’s in the news.

We need to replace Ron Johnson with someone who won’t treat our reproductive freedom as an extra credit project. https://t.co/0GEsyf4lUg"
