Unnamed: 0,Text
0,"Devastating.  Abortion must be a woman’s decision, not the government’s.  Congress must codify Roe NOW!!! https://t.co/lLN0xpsky0"
1,Should have happened long ago.  https://t.co/fkVvU0PPnt
2,RT @buschvalentine: My life has been defined by service to Missouri. Now I’m running for U.S. Senate to fix a broken Washington and work fo…
3,"RT @PPFA: Let's be clear: This is a draft opinion. It’s outrageous, it’s unprecedented, but it is not final. 
Abortion is your right — and…"
4,"Outrageous.  Abortion is and should be a woman’s decision, not Justice Alito’s.
https://t.co/zlrq2gCaSy"
5,Wishing the Vice President a full and speedy recovery.  We are still not out of the woods with this pandemic. https://t.co/NpDY4jRHwd
6,"Folks, Trudy Busch Valentine is the real deal.  Really looking forward to seeing her represent us in the United States Senate!

https://t.co/1F0xSDikEo"
7,Delighted to see Justice Ketanji Brown Jackson confirmed to the United States Supreme Court!
8,"If you live in Missouri, please vote in tomorrow’s school board and local government elections.  If you haven’t studied up on who to support, please take some time today to do so.  

It is not at all uncommon for April races to be decided by a single vote.  Your vote matters!"
9,Excited to help make @BuschValentine Missouri’s next Senator. I know she has what it takes to beat Eric Greitens.
10,Major congratulations to the Northwest Missouri State Bearcats on their 3rd straight national championship! https://t.co/J0VzWJVDl9
11,I’m the one who can beat Eric Greitens! https://t.co/nflwLus48p
12,"Under Joe Biden, we now have the lowest unemployment in more than 50 years. https://t.co/bN7KTeMvV6"
13,A victory for unions and collective bargaining! https://t.co/M3JeS623vr
14,I'm going to make sure this man never represents Missouri in the U.S. Senate. https://t.co/CsiybBzbKZ
15,"We can win this race and make sure Eric Greitens never gets anywhere near the US Senate, but I need your help. Please chip in $5 or $10 right now to help us take him on.
https://t.co/xLPRHkJLOD"
16,I'm the Democrat running against Eric Greitens with a track record of standing up to him when he was Governor. We are now in a DEAD HEAT! https://t.co/pBFHO42qQn
17,"RT @ScottSifton: When they take away voting rights, spread misinformation and use violence to grab power, Republicans are following Putin’s…"
18,"I’m the Democrat running against Eric Greitens who took him on when he was Governor. Help me take him on again by chipping in $5 or $10 
https://t.co/0duiznma5j"
19,"When they take away voting rights, spread misinformation and use violence to grab power, Republicans are following Putin’s playbook. I’m running for Senate to take on Putin and his Republican apologists. Watch our new video here and RT! https://t.co/7rhCCH22k2"
20,There really is no reason for Republicans to support banning abortion in cases of ectopic pregnancy other than to oppress and control women. https://t.co/D7TOWHGWnR
21,"Profoundly saddened by the loss of Cora Faith Walker, a dear friend to so many. My heartfelt condolences to Tim and all who cared so much about her. We will all miss her greatly. https://t.co/YGaDfbMmPR"
22,"Stock trading ban for members of Congress needs to include private equity too, not just publicly-traded stocks. https://t.co/Thg5bjHFIR"
23,Terrible legislation that would violate women’s constitutional rights in several ways. I proudly blocked a similar bill in the Missouri Senate in 2015. https://t.co/lHJKGkRunM
24,"Not even one other Republican joined Josh Hawley in blocking President Biden’s DOD nominees. Whose side are you on, Senator?  Ours or Putin’s? https://t.co/I2kNXNOpSx"
25,Josh Hawley holding up DOD nominees is giving aid and comfort to America’s enemies at the worst possible time. https://t.co/T5oVxHX1lm
26,"Many of you know Krista Stark, Democratic super-activist extraordinaire in SW Mo. Her family lost their home in a fire Sunday night and Krista was hospitalized. Please do what you can to help! 

https://t.co/AggjYzsoBv"
27,We need more Democrats in the United States Senate in order to protect a woman’s right to choose. https://t.co/FfGVv19YtB
28,President Biden’s plan to help working families in tonight’s speech was spot on. The President continued to show great leadership on Russia.
29,Proud to have helped a Ukrainian refugee family identify an immigration attorney while on their way to Kansas City. They arrived safely last night!
30,Great step show at the Lee’s Summit school board meeting last evening! https://t.co/aamTPfhLA7
