Unnamed: 0,Text
0,@AshDoesCrypto @SadafJadran I like that definition as well.
1,RT @BuenoForMiami: I’ve gotten a few messages from people who put out my campaign yard signs in front of their homes that the signs were st…
2,@BeliveinCrypto #cro all day
3,"CNBC: One of the most prominent #Crypto hedge funds just defaulted on a $670 million loan.

https://t.co/Yb9bqtCRCI

via @GoogleNews"
4,@cmc223 All the above
5,@cmc223 I do; but there are plenty I follow who I don't like as people but appreciate their opposing views.
6,"RT @ShannonBrayNC: Here is my interview with @RussBowenWNCN. #crypto, #cyber, and #liberty are the hot topics!

Vote for crypto friendly re…"
7,"I think we distributed more wisdom than whiskey, but y'all tell me. 🤣

https://t.co/RRwtnrPLzw"
8,"Thanks for having me on the show, Casey.
 https://t.co/qxobXjw2nY"
9,👼😥 https://t.co/mh5e8Lslee
10,@PissedOffMandaP And done! https://t.co/LO6xyNCJjj
11,@PissedOffMandaP I'm going to find that book and buy it! It will be an epic Christmas gift!
12,RT @WakeLP: We’re out here! Come see us at @OutRaleighPride #WakeLP https://t.co/2OjeIOnU93
13,@alaina4liberty Go for it girl. Just post the video.
14,"RT @MrOmodulus: The first &amp; only rule of $CULT is to talk about $CULT.

There is no other rule. So if a debate has begun, or an argument is…"
15,"Today will be my first baby funeral. My baby sister lost her grandbaby to heart failure at Duke Medical in Greensboro, NC. I guess that made him my great-nephew? 👼

I am thankful I've not had to endure such pain. I'm sorry, baby sister. 😥"
16,@realBlake_B Haters are gonna hate. 🤜
17,@JakeGagain 3 gallons of gas. 🤣
18,@j_squawk Mine too.
19,"You never know, comedy might be your thing. I'm sure you have some great experiences to pull from. 😎 https://t.co/r1m5byXeDb"
20,@caroljsroth I've never made pizza for breakfast but I've had it for morning leftovers many many times. LOL
21,RT @TheRealCoatney: Want a legislator that will fight for small businesses? Hire a Small Business owner! https://t.co/1opAUHvYkI
22,@cmc223 Even a broken clock is correct twice a day. LOL
23,RT @Please_Be_U: Are you R.E.D. today? https://t.co/XXJcphoKwl
24,"Shiba Inu: Shibarium Public TestNet to Release in Q3, Announces Unification 

https://t.co/v0xqJd4qjI via @WatcherGuru"
