Unnamed: 0,Text
0,"Less than 2 weeks ago was 2022’s deadliest mass shooting—at a grocery store in Buffalo. Now, it’s the killing of students &amp; a teacher at Robb Elementary in Texas. 

The trauma of gun violence has pervaded every community yet some lawmakers turn a blind eye. We need action. Now."
1,Congratulations to Ketanji Brown Jackson on her confirmation as the next Associate Justice of the Supreme Court. https://t.co/WBS0CFjnzO
2,"Glad to see the House pass the MORE Act &amp; proud of @ConorLambPA’s vote to legalize cannabis. We talked about the need to correct decades of unequal enforcement and how prohibition makes no sense. 

I'm supporting Conor for Senate because he knows we need change &amp; will deliver. https://t.co/gfv4E7FDyh"
3,RT @micahmj11: @StephenJ_Caruso And here is the petition schedule: https://t.co/DFFvQKp4ob
4,"RT @JoshShapiroPA: Yesterday we filed our petitions and officially became the Democratic nominee for Governor.

I’m humbled and proud.

You…"
5,"RT @RoniGreenfor190: My name is Roni Green, I am a labor and community leader who has spent 30+ years advocating for working families and o…"
6,RT @MeloySM: BIG NEWS! I am honored to announce the endorsement of @rep_doyle. Working with Congressman Doyle showed me what a good congres…
7,"RT @ConorLambPA: Senator @StreetForPA is respected all over our state, and especially in Harrisburg, because he gets things done for his co…"
8,".@ConorLambPA has built a big coalition all over Pennsylvania, and I’m glad to join it. He’s a fighter who knows what it takes to win against Republicans in November—he’s actually done it before.

That’s why I’m voting for Conor Lamb for U.S. Senate. https://t.co/14hIdtE9qM"
9,Ketanji Brown Jackson is an exceptional jurist &amp; former public defender who understands the legal system must value those who can’t afford a lawyer the same it values the richest among us. I look forward to Biden nominating &amp; the Senate confirming the 1st Black woman to #SCOTUS https://t.co/eKKNnPwGLc
10,Once again Republicans in Congress have blocked voting rights legislation. It is time for Senate Democrats to pass the Freedom to Vote: John Lewis Voting Rights Act by a simple majority. https://t.co/jAJylITUuE
11,"As Republicans continue to obstruct and subvert American Democracy, I support the President and Democratic efforts to protect the fundamental right to vote by a simple majority in both the House and the Senate."
12,On the campus of my alma mater — Morehouse College — President Biden and Vice President Harris made clear the time to act on voting rights is NOW. It’s time to pass the Freedom to Vote Act and the John Lewis Voting Rights Advancement Act. https://t.co/lxPYlcxTSu
13,go birds 🦅 https://t.co/aSM8gfmhaJ https://t.co/dso1LfjG27
14,"RT @Eagles: Enough keeping score.

https://t.co/YWDlQfCwkJ https://t.co/GCyuHj3vKL"
15,RT @FLOTUS: My heart is with the families and loved ones of the victims of the tragic fire in Philadelphia.
16,"RT @SenSharifStreet: Heartbreaking way to start the morning. My condolences to the family and loved ones of 13 people , children included,…"
17,"I’m saddened by the passing of Betty White, a TV &amp; film pioneer for 80+ years. A fixture in our hearts &amp; our homes, her contributions to the entertainment industry &amp; world are invaluable. Her wit, charm, &amp; love for life give us so much we can aspire to take into the new year. https://t.co/B6zqxCkO8Q"
18,"Harry Reid was a titan of our times. He fought with grace &amp; generosity for what he knew was right and just—from his hometown steeped in poverty all the way to the U.S. Senate. Never forgetting his boxing instincts, anybody who stood in the way of progress felt that. RIP, Senator. https://t.co/NsLEi8QUx5"
19,"Daunte Wright was pulled over because of an air freshener hanging on his rear view mirror. Ex-office Potter shot him. This jury of her peers found her guilty, holding her accountable for her actions—an important step in correcting centuries of systemic injustice. https://t.co/k1SAt7CDkN"
20,"It’s not an easy choice to strike, but working folks win when they stand their ground. Congratulations @BCTGM on your hard-earned contract. https://t.co/K9HYEjYVa5"
21,"It is tragic but not unexpected that America continues to reel from gun violence — from Michigan to California to my hometown of Philadelphia. Legislatures across the country should take action to prevent this continued, senseless violence and suffering. https://t.co/qkndlQiXZ2"
22,"Lee Elder broke barriers as the 1st Black man competing in the Masters—at a club requiring Black caddies until 1983 &amp; not admitting a Black member until 1990. His presence of strength, character, &amp; drive on the tour blazed a trail &amp; inspired generations of players &amp; fans alike. https://t.co/KxNNhlh8XI"
23,"This verdict holds the murderers accountable, but it is not justice for Ahmaud — he should be with us today. 

Yet, with this verdict, the arc bends just a little further towards justice of Black men and women freely living their lives without the pervasive threat of murder. https://t.co/5QHfEUl1B6"
24,"RT @PADems: BREAKING: Judge Lori Dumas has won a statewide recount!

She is the only Pennsylvania candidate, of either party, to flip a sta…"
25,Congratulations @JudgeDumas! https://t.co/3zF8aqYUrW
26,"This legislation provides historic investments in children, families, workers, and our future — creating millions of jobs, fighting climate change, and lowering medical and child care costs. It’s time for the Senate to pass it as well. https://t.co/PKrHj2caZr"
27,"Congrats to my friend Ryan Boyer on making history as the first African American elected to lead the Philadelphia Building Trades! There is no one more deserving of this honor, and I look forward to continuing to work with him to advance pro-labor issues for all Philadelphians."
28,"Steve Bannon was in the “war room” on 1/6 as insurrectionists attacked the Capitol &amp; our democracy. 

He thought he was above the law then, and he thinks he is above the law now. 

He is not. 

This is the right move by the Committee. https://t.co/FhTQy6vX3D"
29,"Gen. Powell served with fierce determination even as so many obstacles stood in his way. An unwavering statesman who rose through the ranks to become the 1st Black Sec. of State, he trail blazed a path for so many. May his fighting spirit &amp; dedication inspire generations to come. https://t.co/GTXfwIkOmN"
30,"RT @JoshShapiroPA: A beautiful fall day in Bucks County! 

Thank you, for coming out — supporting our @BucksUnited2021 candidates, and supp…"
31,RT @DwightEvansPA: Beautiful morning to come together to honor the memory of Jerry Mondesire with the naming of a block on Germantown for h…
32,"Great opportunity today to join our next Governor of Pennsylvania, @JoshShapiroPA. Josh knows the fights ahead, and he’s proven time after time he will always stand up and protect all Pennsylvanians. I’m proud to stand with him today and every day. https://t.co/8Vx8n0MLye"
33,Every Republican in the Senate just voted against America paying its bills. They truly are the party of Trump. https://t.co/VnxSMw5LtD
34,Republicans in Congress overwhelmingly voted to allow a government shutdown in the midst of a global pandemic. But thanks to Democrats in Congress and President Biden the government remains open and ready to provide essential services to folks everywhere. https://t.co/QMw3lPyziN
35,"Prohibition makes no sense, disproportionately harms communities of color, and leads to unfair criminal justice outcomes. Encouraging to see prosecutors around the country do the right thing and correct historic wrongs, one small step at a time. https://t.co/CqySwPR5cD"
36,"Even a decade after its repeal, “Don’t Ask, Don’t Tell” continues to harm the lives and legacies of brave LGBTQ+ service members. 

No matter who you love, you have a home in this country and a place in all it has to offer — free of discrimination and stigmatization. https://t.co/aOInLMuYx3"
37,"20 years ago our country endured attacks on our families, friends, and freedoms. Today, we remember those we lost that day, and in the weeks, months, and years since.

We will #NeverForget the bravery of all who responded to calls for help—first responders &amp; regular people alike. https://t.co/16qZYwUCId"
38,"I can’t stress this enough — vaccines save lives. If you haven’t yet, go get vaccinated! https://t.co/fVMTiKXyTB"
39,"The assault on voting rights continues. This  disproportionately disenfranchises Black, Brown &amp; low-income voters—Texas GOP's exact goal. We need to pass the John Lewis Voting Rights Act now, to protect our right to vote and fair elections everywhere. https://t.co/kLze8Aoj2k"
