Unnamed: 0,Text
0,"These feckless leaders haven’t done a damn thing about abortion rights in the decades they’ve been in Congress but they have the audacity to tell protestors we are the ones who won’t listen?!

“Leaders” who have never had to protest a day in their lives. Give me a break."
1,"This is the “leadership” of the Democratic Party. @SpeakerPelosi patronizing undocumented protestors “who don’t want to listen,” and Chair of the House Armed Svcs Cmte Rep. Adam Smith calling #PHRA protestors “a disgrace to democracy.” https://t.co/WHh3gyc4HE https://t.co/kllmbKzLcP"
2,"@illapa4NY @AntiNateSilver Buena suerte today compa! I’ve been watching and learning from y’all desde Seattle. From coast to coast, que el pueblo se levante!!!"
3,RT @Ezra_Willson: Share your favourite 4 US House non-incumbent candidates this cycle (who either haven't had their primaries or have won t…
4,RT @ninaturner: NO DONATIONS UNTIL LEGISLATION
5,RT @Youth4Gallardo: everyone be there!! or else i’ll cry cause i’ll be lonely ☹️
6,"Our canvassing and phone bank schedule for the week! 

We are crushing our end of quarter goals but need all the support we can get before July! Tap in! https://t.co/hL0aPUVPel"
7,RT @davidrkadler: Day 14 of the National Strike in Ecuador. https://t.co/YAqT1wVwFm
8,Exactly as I shared in my speech at the Abortion Rights Rally at the Federal building on Friday. Central and South América have been through this drill before and we can learn from their successes and challenges. Internationalism is the only way forward ✊🏼 https://t.co/61EZtyxUbG
9,"I ran into one of my 1st students ever at Seattle Pride. When I was a freshman in college I started a mentoring program for Latino youth at a middle school near my university. Jose, “El Rayo,” was a rambunctious 11 yr old and is now shattering records as a professional boxer 🥲 https://t.co/E9oKKKQkQt"
10,RT @VoteNatashaHill: This! Thank you @ElectGallardo!
11,RT @haymarketbooks: “Violence is never acceptable” says the country with 800 military bases in 146 countries https://t.co/0G65KMrNRT
12,"RT @RedBeretsM4All: @ElectGallardo @WholeWashington @MarcMixon4 @baileymedilo Looking great!! 

I see @jammin_w and more amazing #YesOn1471…"
13,"Ran into our friends signature gathering for @WholeWashington at Seattle Center Pride! 

@MarcMixon4 @baileymedilo https://t.co/JlcOXmw2NR"
14,"RT @cghoseBiz1st: Reporters and editors: It is not a ""fetal heartbeat."" At 6 weeks it is cardiac activity (no organ has formed) in an embry…"
15,"RT @ninaturner: “We can’t expand the Supreme Court!”

My response: https://t.co/9AhjQgItBa"
16,"RT @catbloc1312: @sdsa4gallardo @ninaturner @ElectGallardo While this is an uphill battle financially, we've got working class power that S…"
17,RT @sunnyorganizes: Way to go @UAW4121! Love to see my former union leading the way in supporting grassroots candidates. Excited to say bye…
18,@HeavyD_206 I take commands from no one!!!
19,@baileymedilo Bailey is being canceled!!!
