Unnamed: 0,Text
0,"RT @Perduesenate: I thought “free” stuff was your thing? 

Either way, I’m in Georgia talking to voters. We’d love to have you."
1,"Yup, @KLoeffler said it best: @ReverendWarnock sides with the RADICAL LEFT! He will defund the police, shut down our economy, and pave the way for socialized medicine. #HoldTheLine #GASenateDebate #GAsen #GApol"
2,REMINDER: Jon @Ossoff stands with Bernie Sanders and his RADICAL liberal agenda. We need @Perduesenate in Washington to STOP the Democrats and PROTECT the Republican Senate majority! #HoldTheLine #GAsen #GApol
3,"Transparency in our elections is key to protecting our freedoms as Americans. 

Fill your voter fraud report form out below:  https://t.co/yU9VStnm5y"
4,RT @ThielmanJason: @DainesforMT team members left yesterday and are now on the ground in AZ to stand with @realDonaldTrump and defend the i…
5,"Today’s the day, folks! We're fighting for the future of our country.

If you haven’t already, vote in person RIGHT NOW! #mtsen #mtpol https://t.co/OIhSxoQlMT"
6,"Closed out the final day of the campaign with great stops in Sidney, Lewistown, and Columbus. 

Tomorrow’s the day - let’s do this! #mtsen #mtpol https://t.co/XxJb3WauWN"
7,"The choice is clear Montana: @GovernorBullock has gone all in on the radical agenda of the left, meanwhile I have always worked to create more jobs, protect your #2A and fought for public lands. #mtsen #mtpol
https://t.co/vs6LI3VeIB"
8,"Montanans aren’t fooled by @GovernorBullock. He no longer answers to Montana, he answers to the liberal mob!! We can not let him destroy our Montana way of life. #mtsen #mtpol
https://t.co/ZfAZnj0i1e"
9,"Folks, we're only ONE day away from Election Day! Take your ballots to your local county election office TODAY so we can GET THIS DONE! #mtsen #mtpol https://t.co/pAace1VEAT"
10,"GO VOTE! Let’s win this. 

#mtsen #mtpol https://t.co/EA8mYbfCtz"
11,"Let’s get this done, Montana. 🇺🇸

#mtsen #mtpol https://t.co/EUy0Re5qII"
12,"3 Days left, Montana.  Let’s win this to protect our Montana way of life and RETIRE @GovernorBullock once and for all! 

GO VOTE! #mtsen #mtpol  

https://t.co/IXhKaxWS5e"
13,"Montana, you deserve better than @GovernorBullock. I always have, and always will, put Montana FIRST. #mtsen #mtpol
https://t.co/ZBzGjseRkT"
14,Great talking to folks right here in Bozeman! It's so important you get your ballot in TODAY to re-elect STEVE DAINES! Don't wait to VOTE - there is TOO MUCH on the line this election!! #mtsen #mtpol https://t.co/ZSrsBr8FGf
15,The future of our country depends on this race right here in Big Sky Country!! Let’s shut down the radical left’s agenda and RETIRE @GovernorBullock for GOOD!  #mtsen #mtpol https://t.co/2s8g7g9m6H
16,.@realDonaldTrump has voted--have YOU? Return your ballot IN PERSON to your local county election office TODAY to send DAINES back to the U.S. Senate!! https://t.co/c7BklfSURg
17,.@tedcruz is RIGHT!! @GovernorBullock is not a moderate Democrat.... he’s JUST AS RADICAL as the rest of them! He is a vote FOR Chuck Schumer. We must protect our Montana way of life and send DAINES back to the Senate! #mtsen #mtpol https://t.co/Z6SC13n5FH
18,Great afternoon in Hamilton with @tedcruz. Enthusiasm is STRONG -  GO VOTE!!! #mtsen #mtpol https://t.co/cYV1M0Mwdw
19,"Kicked off the day with @tedcruz in Billings!  Next stop: Hamilton! 

GO VOTE, MONTANA! #mtsen #mtpol https://t.co/JxcwPhjxVn"
20,Only FIVE days until we retire @GovernorBullock!  Take your ballot to your local county election office TODAY!! #mtsen #mtpol https://t.co/BtDltrd5gY
21,"Folks, it is time to get your vote in! Take it from @marcorubio—there is too much on the line this election! Vote DAINES and drop your ballot off TODAY at your county elections office! #mtsen #mtpol https://t.co/fzAbVaeCWi"
22,"Beautiful Montana day in Clancy! Let’s get this done, Montana - GO VOTE!!! 🇺🇸🇺🇸🇺🇸 #mtsen #mtpol https://t.co/gXd38sKwtX"
23,"Great to have @marcorubio in Great Falls yesterday! He is right—the future of our country depends on this election and we MUST keep @GovernorBullock OUT of Washington! #mtsen #mtpol
https://t.co/clKykZSXS9"
24,Good morning from Townsend - enthusiasm in Broadwater County is STRONG! 🇺🇸🇺🇸🇺🇸#mtsen #mtpol https://t.co/0l6MZ7LKOB
25,An honor to welcome @marcorubio to Montana this afternoon.  Marco understands that we MUST keep this seat in Republican hands and defeat liberal @GovernorBullock. #mtsen #mtpol https://t.co/exyqa12I7W
26,"Justice Amy Coney Barrett will uphold the Constitution and defend our Montana Way of Life.  An honor to cast my vote to confirm her, and to see her sworn in at the @WhiteHouse last night. #mtsen #mtpol 

https://t.co/z7obD9qWJR"
27,".@GovernorBullock will do or say whatever it takes to stay in power--even at the expense of Montanans.
 
“Bullock is purely political. He gets his picture taken, buys votes with taxpayer money, and thinks he should be a U.S. President.” #mtsen #mtpol
https://t.co/IRVWftPKrr"
28,"Can’t wait to cast my YES vote tonight to officially make Amy Coney Barrett the next Supreme Court Justice.  She’s exceptionally qualified, and unlike liberal @GovernorBullock – I’m PROUD to support her nomination. #mtsen #mtpol
https://t.co/s3E9VXdbHA"
29,".@realDonaldTrump has voted—have YOU? 
 
VOTE TODAY for STEVE DAINES for U.S. Senate because he'll always protect our Montana way of life #mtsen #mtpol https://t.co/0s2PEHwkFS"
30,"For 28 years I built businesses and created good-paying #MTjobs--that's what we need to get our economy going and get Montanans back to work!

If @GovernorBullock is in the Senate – he’ll VOTE for the LARGEST TAX INCREASE in our history!  #mtsen #mtpol
https://t.co/XPXNhHN4Eg"
31,".@GovernorBullock is a DISASTER for our Second Amendment. He says he's pro #2A yet he STILL called for a ban on semiautomatic firearms! 
 
I have an A+ rating from the NRA because I have NEVER wavered in my support for the Second Amendment. #mtsen #mtpol
https://t.co/IRoRQq8ZS4"
32,"The difference is clear: I will stand with @realDonaldTrump and confirm strong judges that will protect our Montana Way of Life while @GovernorBullock said
he would pack the courts with liberal judges!! He is TOO LIBERAL for Montana! #mtsen #mtpol https://t.co/zq5UWYNfJb"
33,"“@GovernorBullock’s embrace of this extremist tactic is a disqualifying act. It renders him unfit to represent Montana in the Senate and we must tell him so by re-electing Senator Steve Daines.” #mtsen #mtpol
https://t.co/iR3EvHr6fo"
34,"Election Day is around the corner, Montana! Only 10 more days until we send DAINES back to the Senate and keep liberal @GovernorBullock OUT OF THE SENATE!

Get your ballot in the mail TODAY! #mtsen #mtpol https://t.co/sZS9hvKeq4"
35,"I'm proud to fight for Montana agriculture. Montana's farmers and ranchers drive our state, and it's an honor to always have their backs. 
 
“Senator Steve Daines from Montana will go down as an American hero amongst the ag community.” #mtsen #mtpol
https://t.co/gyKNNpzy1K"
36,"All eyes are on Montana. We have the choice between protecting our freedom with Daines, or siding with @GovernorBullock who will stand with Biden, Pelosi, and Schumer in destroying our way of life.
 
Let's win this, Montana. Our future depends on it. #mtsen #mtpol https://t.co/I48eB8xsfN"
37,"I'm honored to have secured such major wins for our Montana ranchers, finally allowing them to compete on a level playing field globally. I will ALWAYS fight for our Montana farmers and ranchers. #mtsen #mtpol
https://t.co/cTtnjsDWRG"
38,Time to get those ballots in the mail - VOTE TODAY and VOTE DAINES!! Let’s win this &amp; protect our Montana way of life from the radical liberal agenda @GovernorBullock will support! #mtsen #mtpol https://t.co/8cssItO0OD
39,"I always have, and always will, fight to protect Montana’s public lands and stand up to radical environmentalists. I do what’s right for Montana – unlike liberal @GovernorBullock who does what’s right for the liberals in Washington! #mtsen #mtpol https://t.co/EJqRuphcmx"
40,"Montanans want strong foreign policy, a Conservative Supreme Court, law and order, and tax cuts for real Montana families - that's why you need to VOTE for Steve Daines! #mtsen #mtpol https://t.co/Twl5NoZXTL"
41,"Our Montana way of life is on the line. @GovernorBullock has stood with the most liberal members of Congress to say that he would BAN semiautomatic firearms! He cannot be trusted!! #mtsen #mtpol
https://t.co/u04dZfYGvQ"
