Unnamed: 0,Text
0,"@paulkrugman Republicans are used to being called extremists. It’s a refrain that began over a hundred years ago when we freed the Democrats slaves.

We will gladly wear the title as a badge of honor as we endeavor to save human lives Paul."
1,"If you’re against guns, don’t own one. https://t.co/FljzAPmM3l"
2,I’ll pray for you brother https://t.co/t1rxNdK7tM
3,"RT @PolitiBunny: Just a reminder that while we’re all arguing about Roe, the economy is still crumbling, inflation is still record-breaking…"
4,@ZeroBlog30 I’ll take “things in need of an exorcism” for a $100 Bob
5,RT @jimmyfailla: Nancy Pelosi just issued a statement calling Republicans the party of punishment and control. Dude - you just spent a year…
6,Just when @RepLizCheney thought she was making inroads with batshit crazy crowd 😂 https://t.co/vSySb7qYy1
7,"Mass fundraising texts going out from @SpeakerPelosi to raise money on today’s #SCOTUS decision to scuttle Roe v. Wade.

#Democrats are shameless.

@NRCC @RNCResearch @RNCResearch https://t.co/us977SDksh"
8,"One is an express Right (2A) enumerated in the constitution and one isn’t. 

Do you know which is which? https://t.co/UyIT1c3UMK"
9,RT @libsoftiktok: They literally want you dead https://t.co/7MVvlqFNMT
10,"RT @thekehlzone: And another choice:

In 1983 I was conceived to parents who were unmarried, interracial and in college. 

Grateful everyda…"
11,"RT @charliekirk11: If anyone needed more proof that a baby in the womb is a legally protected human, a man was charged just this year with…"
12,"RT @mtracey: The Mississippi law that the Supreme Court upheld today bans abortion after 15 weeks. Belgium bans abortion after 12 weeks

ht…"
13,"RT @mtracey: The Mississippi law that the Supreme Court upheld today bans abortion after 15 weeks. Spain bans abortion after 14 weeks
https…"
14,RT @mtracey: The Mississippi law that the Supreme Court upheld today bans abortion after 15 weeks. France bans abortion after 12 weeks
15,Why are Democrats always so angry? https://t.co/118CodU08X
16,"@SenWarren Actually, the Supreme Court is the last word Fauxcahontas"
17,RT @CBedfordDC: In case you want a glimpse at the demonic mindset on display at the Supreme Court today. https://t.co/Jkine2omyv
18,"RT @Bossy_Leah: You don’t get to try to ruin my life, exclude me from society, get me fired, take away my livelihood over a medical choice…"
19,RT @bennyjohnson: When the memes become real https://t.co/DlilAjOJsW
20,@bennyjohnson @museisluse Trump’s presidency has irreparably broken liberals. He was a gift that keeps on giving!
21,@mercedesschlapp @Twitter Sickening
22,@EmmanuelMacron Maybe you should check the restrictive laws in your own country then stfu &amp; mind your own business dumbass.
23,@FBI https://t.co/jlNYk7EmXL
24,RT @JavonAPrice: I bet Margaret Sanger is rolling in her grave. Her eugenics &amp; racist movement has begun to crumble today 👏🏾🇺🇸
25,@uof_rick @Dren96556958 @washingtonpost @Disney Yes 😊
26,"Every single pregnant “valued team member” of @DICKS should walk into their managers office and immediately ask for a $4000 check. If denied, sue the pants off of #Dicks &amp; @LaurenHobart for pregnancy discrimination.

Thoughts @pnjaban ??? https://t.co/jnjqJMjYWx"
27,@washingtonpost Pro-lifers should boycott all things @Disney never contribute another dime towards the #Disney murder fund.
28,"RT @catturd2: Two days of liberal tears is like two 4th of Julys, back to back."
29,"@HillaryClinton You are a true scumbag Hillary. Thank god you will never, ever be President!"
30,"RT @EddieZipperer: “Finally, I can legally carry a gun,” said no criminal ever."
31,"@MSNBC The last 24 hours in a nutshell:

#Guns in the hands of law abiding citizens with concealed carry permits must not happen or mass murder will ensue 😡
#2A

#Abortion must be our right so we can mass murder future generations on demand! #RoeVWade 

Liberal logic is just demented"
32,"@Troy_Mackey33 @TradeDebater @NEtreeFrogs @sheepvoter @washingtonpost I notice liberals never mention Hillary Clinton trying to rig an election or how democrats turned the full force of the federal government against a sitting President because they didn’t like an elections outcome.

Talk about delusional 😂"
33,@TimRosales @DAGasconRecall There are lots of nuts out there 😢
34,@miles_commodore Dead inside since 2016
35,"@sacbee_news Gav’s melt down over law abiding citizens being allowed a concealed carry permit - only after paying fees, taking classes, qualifying on the range with their firearm and securing insurance coverage - just exposes his ignorance.

I wish CRIMINALS concerned @GavinNewsom this much!"
36,"@washingtonpost Trump asked his DOJ to investigate claims of voter fraud &amp; it’s an insurrection!

Biden directs his DOJ to hunt down concerned parents at school board meetings to label them as “domestic terrorists” &amp; all is good?

Liberals are morons!"
37,"Wonder if they have to tell @POTUS to wipe his arse?

#DementiaJoe 
#BidenWorstPresidentEver https://t.co/SjxeXC0pyd"
38,"@JudgeJeanine The liberal melt down over law abiding citizens being allowed a concealed carry permit only after paying fees, taking classes, qualifying on the range with their firearm and securing insurance coverage just exposes their ignorance.

I wish CRIMINALS concerned liberals this much."
39,"@nytimes @jessemckinley @AshleyAtTimes @Jonesieman @SenKennedy @SenSeanRyan @LegalAidNYC OMG, the ruling means law abiding citizens must now be issued a concealed carry permit if desired. But, only after paying fees, taking classes, qualifying on the range with their firearm and securing insurance coverage.

These are the people who concern you? Pffft, morons!"
40,"@townhallcom The reserve that President Trump filled and #Democrats fought against every step of the way? That strategic reserve?

#BidenIsWorstPresidentEver 
#Bidenflation #BidenGasCrisis"
41,"@cbouzy @Eve_Barlow This is funny coming from a paid troll working for #Amberturd 

I hope @ThatUmbrella sues all your pants off for making false allegations solely because he supports male victims of domestic violence."
42,"@LevinsonJessica @latinostrategy @MSNBC Because LAW ABIDING citizens who must go through a strict permit process to carry a concealed firearm for personal protection increases violence? 

Liberals are truly #Moronic with absolutely no understanding of the misinformation they publicly vomit."
43,"Joe #Biden has now sent more money to defend Ukraine, in a losing effort, than all other nations on earth COMBINED!

Still think Ukraine’s Government doesn’t have the blackmail goods on our @Potus?

We’re being played folks!"
44,"@AP Team #Biden just keeps burning cash as fast as they can borrow it from China. Meanwhile, Americans are getting poorer by the day.

#BidenWorstPresidentEver"
45,"Because the State of New York issues public-carry licenses only when an applicant demonstrates a special need for self-defense, we conclude that the State’s licensing regime violates the Constitution.""

#2A"
46,"We too agree, and now hold, consistent with Heller and McDonald, that the Second and Fourteenth Amendments protect an individual’s right to carry a handgun for self-defense outside the home,"" Justice Clarence Thomas wrote in the Court's opinion, referencing two previous gun cases"
47,"@Scotus says concealed weapons permits must be “Shall issue”

“In this case, petitioners and respondents agree that ordinary, law-abiding citizens have a similar right to carry handguns publicly for their self-defense."
48,"@brhodes Only a liberal would consider upholding the constitution unsustainable Ben.

Why do you hate freedom and self determination so much?"
49,@FiveThirtyEight Because criminals will suddenly obey laws? #Morons
50,"Let be honest: #Guns are healthcare!

Liberals have no right interfering in the measures used to prolong your life.

@NRA #2A https://t.co/OTqELo9MyS"
51,"@ThisIsKyleR @Jillie_Alexis Let be honest: Guns are healthcare!

Liberals have no right interfering in the measures used to prolong your life."
52,"@KeithOlbermann Please, for your own sake, get back on your mental health medications Keith."
53,"Everyone needs to watch #2000MulesDocumentary &amp; understand how Democrats are stealing our elections.

Important because at #Bidens current polling numbers #Democrats will need 8000 Mules in 2024 &amp; we all need to be on the lookout. https://t.co/ovDFOv38rW"
54,"@POTUS Saves the average American family about $10/month.

You’re making America poorer by the day #LOSER"
55,"@POTUS Congratulations on reaching the lowest Presidential approval rating in American History!

#LOSER #BidenWorstPresidentEver #BidenIsAFailure"
56,"@RepSwalwell You are the epitome of a lying politician 🤮

#Asshat"
57,@JackPosobiec @AnnieGranny8246 Wonder when the 6/22 hearings begin?
58,Liberal insurrection! When do the 6/22 hearings begin 😂 https://t.co/8VBli89BLJ
59,Everything ruining the greatest nation to ever exist on this planet begins with subversive agents like this. They have to tear America down and divide us before they can conquer us. https://t.co/igaEzSejmR
60,RT @EricMMatheny: More gun laws will eliminate gun violence the same way more drug laws eliminate addiction.
61,@that_denver @EricMMatheny It almost like criminals ignore the law 😂
62,"@realDailyWire America has become a joke and our enemies know it.

Hope the alphabet crowd enjoys the reception they receive under Sharia law."
63,"This clown is happy that Americans are now working two jobs to keep up with his price increases. 

#Biden #BidenIsAFailure #BidenWorstPresidentEver #BidenGasCrisis #BidenInflation #FJB https://t.co/IClZhLSYh3"
64,"@POTUS Proud that people are working two jobs to pay for gas huh?

#BidenWorstPresidentEver #BidenInflation #FJB"
65,RT @charliekirk11: I’m so sick of Republicans.
66,"@charliekirk11 Tell these #traitors what you think of them…
@LindseyGrahamSC
@MittRomney
@JohnCornyn
@SenatorCollins
@SenToomey
@senrobportman
@SenThomTillis
@RoyBlunt
@SenatorBurr
@BillCassidy
@lisamurkowski
@SenCapito
@SenJoniErnst
@LeaderMcConnell

#2A #SecondAmendment"
67,"@RealSaavedra Do you useful idiots think Democrats and their media harlots will like you now? 
Fools!
@LindseyGrahamSC
@MittRomney
@JohnCornyn
@SenatorCollins
@SenToomey
@senrobportman
@SenThomTillis
@RoyBlunt
@SenatorBurr
@BillCassidy
@lisamurkowski
@SenCapito
@SenJoniErnst
@LeaderMcConnell"
68,"Western society is doomed and our enemies know it. 

I hope the freaks orchestrating this crap enjoy living under Islamic Sharia law. https://t.co/MLhVeG0kCR"
69,"@Julio_Rosas11 If this is your gf, do your parents a favor now &amp; abort the relationship 😂"
70,@LennyDykstra If one of my sons brought a piece of trash like that home I’d probably choose to abort him right where he stood 😂
71,"@tarapalmeri There are #Democrats who’d pay $50k to not have their picture taken with the extremely unpopular @VP

Maybe she should leverage the extortion angle for fundraising instead."
72,"RT @FoxBusiness: Stuart Varney: White House is desperate to avoid any more stumbling

https://t.co/PjcpzwpXof"
73,@FoxBusiness Both literally &amp; figuratively 😂
74,@POTUS #BidenIsAFailure https://t.co/hhZOoWilJn
75,"@JoeBiden Keep pointing fingers Joe. You’re destroying the middle class and earning the title of worst @Potus ever. Heck, you bailed Jimmy Carter out &amp; he still doesn’t like you 😂

#BidenDestroysAmerica #BidenWorstPresidentEver #Bidenflation #BidenSucks #FJB  #LetsGoBrandon"
76,@GadSaad @realDailyWire @JoeBiden #Azumfoothimuhfufusshess is Latin for “I’m about to fall &amp; need help getting up” isn’t it?
77,@RealKiraDavis It’s awesome to have a day in which people of all ethnicities can celebrate Republicans ending the horrific practice of slavery in America.
78,"@TheDemocrats are scared to death of @GovRonDeSantis

The knee deep B.S. &amp; hysterics leading up to 2024 will be entertaining 😂 https://t.co/Z6Q7VrT2PY"
79,"@SwipeWright @MZHemingway Insisting that people participate in this insanity is just an effort to normalize the abnormal.

Nothing wrong with being abnormal, just don’t expect everyone else to gleefully play along."
80,"#Azumfoothimuhfufusshess

@catturd2 @DonaldJTrumpJr https://t.co/a9PZ0Mla0p"
81,"@JoeBiden America can no longer afford #BidenInflation and Americans are sick of you blaming it on everyone but yourself. You own it Joe.

#Biden #BidenIsAFailure #BidenWorstPresidentEver #TenPercentJoe"
82,@FTwItte76970323 @JoeBiden https://t.co/hSzeTy7TUC
83,@TomFitton @MailOnline They’ll cry about the stigma of creating a “Special Olympics” for trannys.
84,RT @Cernovich: Biden was supposed to return the country to normalcy etc. This is worst two years of 🇺🇸 history in my life. There’s no way t…
85,@Angenette5 @LawCrimeNetwork She wants to be a martyr &amp; implies all of Depp’s exes are weak cowards that he must still have under his control.
86,"@realamberheard hurt every true victim of domestic violence by implying they won’t be believed if she isn’t. (She simply ignored the part where a jury found her to be a malicious liar guilty of defamation)

Any true victim of dv should please come forward and ask for help asap!!! https://t.co/nhAJwAiF7d"
87,"@AmbZhengZeguang China’s flagrant human rights abuses does a great job of discrediting China. 

That and giving the whole world #Covid19 of course."
88,"And in related news, Chinese scientists announced similar efforts to control unwanted bat populations in #Wuhan achieved only mixed results. https://t.co/YNsKp7pSOo"
89,@washingtonpost No doubt a study by the same scientists who believe earth’s ideal population is 100 million people.
90,@Nigel_Farage @bennyjohnson #Biden literally falls down both on and off the job 😢
91,"@laurenboebert @POTUS is falling down both on and off the job.

#BidenIsALaughingStock"
92,"RT @KariLake: They kicked God out of schools and welcomed the Drag Queens. 

They took down our Flag and replaced it with a rainbow. 

They…"
93,"@POTUS literally falls down on &amp; off the job 😢

#BidenIsALaughingstock 
#BidenDestroysAmerica 
#Bidenflation #Biden #BidenWorstPresidentEver https://t.co/ccOQT1QsQz"
94,@ACTBrigitte Not to Democrats sadly.
95,"@POTUS You’ve lost your mind &amp; have no idea how bad you’re making life for working class Americans.

But sadly, so many of us have witnessed dementia in family members that it’s become obvious that you’re suffering from it #DementiaJoe"
96,"@POTUS Uh, herd immunity resulting from natural exposure gets the credit for bringing #COVID19 under control because the vaccines, like you, are completely ineffective garbage.

And you get zero credit for bringing back jobs the government killed with Covid restrictions #Bidenflation"
97,"RT @mschlapp: Long story short, Joe Biden doesn't have a plan... for anything. @SandraSmithFox https://t.co/poA8889kdq"
98,#DementiaJoe boots deep in the #horseshit again 😂 https://t.co/Tvi3DLZinI
99,"@POTUS Inflation is a #tax on working people Joe and your policies are making working class Americans poorer each day.

@TheDemocrats @VP @SpeakerPelosi @SenSchumer 
#Bidenflation #BidenIsAFailure #BidenWorstPresidentEver #BidenDestroysAmerica #Biden #BidenGasCrisis"
