Unnamed: 0,Text
0,@EllynArtis @TiffanyDCross Yep.
1,#IcantKeepQuiet #Anthem in the Women's March on Washington. - YouTube https://t.co/D7enjTD68Q
2,@TiffanyDCross I Can’t Keep Quiet https://t.co/iaNfQynGXF
3,@EllynArtis @TiffanyDCross “I know too much to go back and pretend”.
4,Ugh. “Women’s”. Too serious to care on this one. Sorry grammarians.
5,via @NYTimes Womens’ reproductive systems are vessels of the state.  https://t.co/3FNFUtNh4c
6,"@porpster @RadioFreeTom A new chapter, sir."
7,@rlednicer @nicola_vera2 @RadioFreeTom They are amazing that way.
8,"If you haven’t read this, you must. It is a smart, dispassionate chronicle of how the Calhounian Libertarian movement hijacked the Republican Party. https://t.co/sCkN8DVXRX"
9,Why not this? https://t.co/D17nXTfPyj
10,@joncoopertweets Reality
11,https://t.co/gryV2YRgnu
12,"❤️ ❤️ ❤️ Karine Jean-Pierre to become the first Black and out LGBTQ White House press secretary
https://t.co/27Btp2IVg1"
13,"P.S. John Marshall was the quintessential originalist, after all. 😉"
14,"“The case before us must be considered in the light of our whole experience and not merely in that of what was said a hundred years ago.”  Home Bldg. &amp; Loan Ass'n v. Blaisdell, 290 U.S. 398, 443 (1934) 
And, the Originalists go 🤔"
15,“We must realize that [the Founders] have called into life a being [the Constitution] the development of which could not have been foreseen completely by the most gifted of its begetters. * * * “
16,"‘a constitution intended to endure for ages to come, and, consequently, to be adapted to the various crises of human affairs.’ [quoting original Chief Justice John Marshall] … ."
17,"I’m doing a little research and stumbles upon something that should give Constitutional “originalists” the shivers: 
“‘We must never forget, that it is a constitution we are expounding’; …"
18,"Georgians: Keep brilliant women on the bench, please. 💪 👏 🤜🏾🤛Vote for Verda! https://t.co/AIR8paCDtD"
19,"@joncoopertweets Self- hatred is a horrible, destructive force. Love one another, love yourself."
20,"What a loss. A formidable woman. 💪 Madeleine Albright, first female secretary of state, dies at 84  https://t.co/ehgL2yQp8M"
21,Exciting news! ⁦@GaBudget⁩ ⁦@StaciFox⁩ https://t.co/AoWbLdK75K
22,@politicalinsidr All I noted while reading this is he admitted to losing the GA 2020 presidential vote.
23,@Odbolz Awww. Thank you!
24,A feel good moment. ❤️ https://t.co/NU2C74o69E
25,@joncoopertweets 🤣 Jeez.
26,@TondriaCanty @JoyAnnReid Seriously?  What did I miss?
27,"@JoyAnnReid 7, too!"
28,@hollyrpeete Thank God she was vaccinated.
29,"@AdaKirschner @DemocracyStorm @tizzywoman @TheSWPrincess @iche_me @vox_n_thecosmos @BkPhilanthropy @DarkMoneyDT @MikaEsq @MadelyneRants @DocKimResists Gratitude, Family, Purpose, Breakthrough ❤️"
30,"@TiffanyDCross Oops, feminine not feline, someone brought to my attention. 🤦🏻‍♀️"
31,"@TiffanyDCross I’ve only seen Episode 1, but it was a provocative look at how what was so progressive and even recklessly liberal in the ‘90s is now not progressive enough. A character who pushed the limits of feline sexual independence and liberation is now a binary gender prude. Fascinating."
32,"Robert Gregory Pike: March 27, 1936 - December 16, 2021. Beloved by all who knew him. A kinder man we will never know. https://t.co/uhlVLoD7wu"
33,@TiffanyDCross One of the greatest dance routines of all time.
34,⚖️
35,Stumbled across this looking for something else. Logical Fallacies. If only everyone had a opportunity to take such a course!  https://t.co/Cc0Gvafb3F
36,"A fellow ⁦Sweet Briar College graduate. Georgia Supreme Court justice says kids need empathy, direction | Columbus Ledger-Enquirer. ⁦@SweetBriaredu⁩  https://t.co/xvXMzP2evY"
37,Women for Felicia Rally — Felicia Moore for Mayor https://t.co/aZyOFfcYyD
38,An American statesman.  He will be missed. 😢 @MaxCleland via @NYTimes https://t.co/ILyHqZuAYl
39,".@Brambleman - You are missed already, my friend. 😢 Georgia progressives have lost a stalwart leader. Rest In Peace Jonathan Grant."
