Unnamed: 0,Text
0,"@Reuters We need to blend more cleaner-burning biofuels, not less! @EPA #COP26"
1,Thank you @JoeBolkcom for your service and commitment to public service.  And your friendship! https://t.co/2fduk8Iuwq
2,RT @BetoORourke: Abbott is forcing the Texas National Guard to do his political work on the border while slashing funding for their earned…
3,"RT @Abby4Iowa: One thing I know for sure, politics can be super gross. 

So, before there’s millions spent trying to tell you I’m the beare…"
4,@LauraTripp57 thank you
5,"Hey ladies, run for something.  I got your back! #whenwomenrun #EmergeTeam #scappyfarmgirl https://t.co/4wQWOsZhwS"
6,Supporting the best welders in Iowa today! ⁦@UAW⁩ #unionstrong https://t.co/HUR7fVVAvv
7,Iowans deserve better https://t.co/WnafMaTcdl
8,Happy Birthday to @VP Kamala Harris and all the October 20th birthday girls!
9,"RT @SenSchumer: In state after state, Americans are sending a clear message—they want an end to marijuana prohibition.

@SenBooker, @RonWyd…"
10,RT @POTUS: Today is the 15th of the month. That means that tens of millions of hardworking families are getting their monthly child tax cre…
11,Workers who want power join a Union! @UAW @IowaAFLCIO https://t.co/auNmliEFpd
12,"RT @Abby4Iowa: .@UAW workers are tough, they work tirelessly and when they asked to be treated with more respect and to earn what they dese…"
13,"Social Security Benefits to Rise 5.9% in 2022, Most in Four Decades https://t.co/KDrcbwkIIe"
14,"RT @SecVilsack: On National Farmers Day, we honor those who provide our Nation a safe and abundant food supply, safeguard our lands, ensure…"
15,"Thanks to @POTUS and @RepCindyAxne, who voted YES on the American Rescue Plan, up to $200,000,000 in federal American Rescue Plan funds  are available for broadband expansion in Iowa. 
@GrassleyWorks
@joniernst
@randyfeenstra
@millermeeks
@hinsonashley  
voted NO."
16,Congratulations to the Meskwaki Tribe; almost 90% vaccinated! https://t.co/FDlyGbZgkj
17,"The coronavirus pandemic has become the deadliest in U.S. history.  The influenza pandemic of 1918 and 1919 killed about 675,000 people. Get vaccinated!
https://t.co/uvIdSrN1FJ"
18,RT @DeidreDeJear: It’s great to be with my friend @GreenfieldIowa! #SteakFry https://t.co/WsR3AYifH6
19,RT @Clay_Masters: The host takes her seat. https://t.co/kiSX7hXGUn
20,RT @okayhenderson: Des Moines is first Iowa school district to issue mask mandate after federal judge issued temp injunction today. https:/…
21,"RT @BharatRamamurti: If you're paying more for meat at the grocery store, you're seeing the effects of concentration and consolidation in t…"
22,"Farmers are watching. Low-#carbon #biofuels are key to building a bipartisan #climate consensus. #RFSworks for the climate @climate50 
https://t.co/NvCg2mKJiX via @IowaCapDispatch"
23,"IA HD37 has a Special Election on September 14th.  Please join me in supporting @AndreaJPhillips. That means donate, volunteer and vote for her! https://t.co/ytoOHNzNLX"
24,"@OpePac @newiowaproject Chris Henning, Greene County 
Pam Johnson, Floyd IA 
so many...!!!!!"
25,"RT @VP: We moved one step closer to making a once-in-a-generation investment in our nation's infrastructure.  Today, Democrats, Independent…"
26,Today is the 56th anniversary of the Voting Rights Act. Iowa Governor Reynolds and the Republican legislature have done all they can to suppress the right of Iowans to cast a ballot.  Congress needs to pass the John Lewis Voting Rights Act.
27,Making people's lives better every day! https://t.co/XLzJfIcfDZ
28,Rich Trumka fought for working people. Dedicated his life to working people. The fight will continue.  RIP @RichardTrumka  #AFLCIO #UnionStrong
29,Union Strong https://t.co/pgVW6GD6ol
30,Government and your tax dollars at work in rural Iowa: https://t.co/F6qrxMExtv https://t.co/XwyZDrSvQ3
31,Everyone.  Read. This. Book. https://t.co/mdgzXE67MJ
32,Fantastic News! We can #FlipIA01 https://t.co/fmSNX9H1aj
