Unnamed: 0,Text
0,RT @GOP: Congratulations Congressman @ThomasMassie on winning the GOP primary. Kentucky’s champion for liberty is headed to November! https…
1,RT @robertblizzard: Congrats to client @MassieforKY on another landslide GOP primary victory in #KY04!  Our last poll showed Massie up by 5…
2,https://t.co/gWPs3zTRB4
3,"Follow the #KY04 results here:

https://t.co/cTbKJmfNSa"
4,"Come out as we watch the returns and celebrate Thomas Massie's victory on election night Tuesday, May 17th at PeeWee's Place restaurant (2325 Anderson Road in Crescent Springs). 

Vote first and then join us at 6PM!"
5,@tastewart @kyblueblood https://t.co/GcxTd6Fd7F
6,https://t.co/vvTdlZxaqs
7,"@FallerLawrence @4mojo2 @HEYDOCGAYE Congressman Massie voted for $5 billion to build the wall, the full amount requested by the Trump administration."
8,@FallerLawrence @4mojo2 @HEYDOCGAYE https://t.co/X26k3GziR6
9,Breaking: President Donald J. Trump endorses Thomas Massie in #KY04! https://t.co/dkgG44m4RM
10,Our campaign is now also on Truth Social. Make sure to follow! https://t.co/hYkZoq8cD2
11,"""An internal poll from Rep. Thomas Massie’s campaign shows that the Republican incumbent in the 4th Congressional district has a massive lead over his opponents in the primary.""

https://t.co/kkYXhYsdi3"
12,RT @RylandKY: GOP Rep. Thomas Massie has released a poll showing him ahead by 57 percentage point lead in the 4th Congressional district ra…
13,"RT @robertblizzard: New poll in #KY04 shows @MassieforKY headed for another landslide victory in the GOP primary.

Despite hundreds of thou…"
14,Beautiful day yesterday in Covington for the Kenton County Republican Party Spring Fling! https://t.co/vuaxqkjrWb
15,"Fraud Alert: Hiring a Joe Biden and Amy McGrath donor to her campaign staff…Investing in Communist China….

Claire Wirth: Not America First, Not a Kentucky Conservative

https://t.co/DRPMffO1q0 https://t.co/CEq1Vaf54y"
16,Thank you Nelson County for the amazing welcome today at our campaign meet and greet! Hope to have your support on May 17! https://t.co/QZQxhbOLHR
17,"I’ll be live on @WBRT1320 at 2:30 PM ET today.

Tune in!

https://t.co/ms9qT8vzJy"
18,The @Ky4thDistGop put on an excellent Lincoln-Reagan Dinner. The GOP in #KY04 has never been stronger. We’re ready to win in November! https://t.co/55QBOeKuRP
19,"Happy to see so many friends at tonight’s @Grant_CountyGOP Lincoln-Reagan Dinner. We’re in the home stretch before the May 17 primary, and thank you Grant County for all the support! https://t.co/Sqe0orGezy"
20,"“There’s no room really to the right of me.”

Massie’s campaign commissioned a poll in February that showed him with a 68-point lead over Wirth, and with another candidate named George Washington actually in second place.

https://t.co/B5LML2JzQ5"
21,Packed house in Eminence last night at the Henry County GOP Lincoln Day Dinner. What a fantastic way to end the day! https://t.co/At5VjpyoSY
