Unnamed: 0,Text
0,@AkonFenty2 @scooby09111 @TrumpWarRoom @Jim_Jordan Here is the snippet... https://t.co/2FZujjWFUI
1,"@CodeRed84623643 @dwayne_barger @ManyQueefs Watch from about 22:30. Who is that old man? How does Alam just show up behind the police? What is ""I'm just like you, one of you, one of them?""  https://t.co/E8l4B1RcAh"
2,"@AkonFenty2 @scooby09111 @TrumpWarRoom @Jim_Jordan Watch https://t.co/E8l4B1RcAh - start at 21:15 and ask yourself who that old man is... not Ray Epps. Someone else. At 24:05 Alam appears FROM BEHIND POLICE! 24:40 ""I'm just like you. One of you, one of them."""
3,"@AkonFenty2 @scooby09111 @TrumpWarRoom @Jim_Jordan ""I'm one of you, one of them,"" says the old man to Alam. What does he mean?"
4,@F1Canuck https://t.co/6tcPanyX24
5,@F1Canuck https://t.co/55IGc0m3pR
6,RT @F1Canuck: 3 #USAF KC-135R Stratotankers over Vancouver #AvGeeks #Contrail  #YVR #aviation https://t.co/7ej0BaqjEc
7,@Fed_Up_Campaign @ChrisRugaber Sure seemed like it.
8,@jc_econ haha nimble!
9,@elonmusk Biden should nominate you to be a Supreme Court Justice.
10,@LeGameDuck https://t.co/JMjYxP14mA
11,@KellofLogs1 @LPMisesCaucus @Timcast Released? https://t.co/AeDJuvUGtz
12,@KellofLogs1 @LPMisesCaucus @Timcast https://t.co/894lXzKyYt
13,"RT @no1_real_man: One year ago today, we lost Rush Limbaugh. He was 70 years old. https://t.co/QPtWXacbWx"
14,@ProfGIGISCICCH Make Peace Great Again! https://t.co/0kqEfcfGFN
15,@realtruthreport Appreciate the report!
16,"""we honk at dawn"" 🤣😂 https://t.co/nE2UqEmQs5"
17,"RT @TheRealKeean: Premier of Ontario Doug Ford admits that the Vaccine Passport Program was a massive failure. Ends it.

https://t.co/JeMr8…"
18,"RT @TJLakers01: Shall we pray? We must know right from wrong, not only in theory but in practice. We must also ask God to show us how to ap…"
19,"RT @w_terrence: Breaking: Democracy has died today in Canada. 
Justin Trudeau is authorizing banks to unilaterally freeze accounts of Truck…"
20,"RT @SydFizzard: BREAKING: Peaceful protesters at Coutts blockade say they plan to roll out tomorrow.

Help their legal defence at https://t…"
21,RT @StephenPunwasi: TL;DR The US Federal Reserve and literally every central bank. https://t.co/ZgzAIkqpr9
22,RT @markones111_: This is what happens when you say enough is enough
23,"RT @_Russian__Bot_: @RealCarlVernon He said it a year ago. I'm tired of playing The ""Alex Jones was right"" Bingo Card 😭 https://t.co/xf0CFD…"
24,"RT @GoldTelegraph_: 4 days ago:
European and U.S. regulators told banks to prepare for cyberattack threat

2 months ago:
10 countries condu…"
25,RT @Ben__Rickert: Federal Reserve President (Kansas City) Thomas Hoenig Outlines The US Dollar Is A Fiat Fraud Based On Confidence &amp; Mass D…
26,"Not to worry, it wasn't because of the truckers... 😂🤣 https://t.co/vD6YAZyHLV"
27,RT @AHawker3: https://t.co/kNJNdIQZCT
28,The Federal Reserve has a $9 trillion asset portfolio!??!!? https://t.co/YyWJfy5mN6
29,Meanwhile literally every day at the southern border... https://t.co/RDEuCokBMI https://t.co/2P2lbVRc1R
30,"Doctrine of the Lesser Magistrates
https://t.co/9dIeAy4Uub"
31,"RT @ChadGilmartinCA: I look forward to @60Minutes airing their correction!

VERIFIED: Clinton campaign paid to 'infiltrate' Trump Tower, Wh…"
32,"""Review and determination by the Board of Governors of the advance and discount rates to be charged by the Federal Reserve Banks.""

https://t.co/UZ1ywfgJNd"
33,RT @Antimides: @libsoftiktok Officially more vandalism than the entire Freedom Convoy protest
34,"Mostly peaceful though, I'm sure. Honk honk! https://t.co/aluUf2OtVE"
35,RT @Dreamweaver198: people try to tell me that these people and the trucker convoy people are the same.  they arent.
