Unnamed: 0,Text
0,"This will relieve the burden on our disabled veterans, especially those who are blind, amputees, or paralyzed."
1,"Our disabled veterans who have sacrificed to keep us free should be given first class treatment.

That’s why I authored legislation that passed the Senate 100-0 authorizing disabled military veterans to speed through airport security lines at no extra cost https://t.co/uqHypO01E2"
2,"The American people will now have the opportunity, through their state elected officials, to decide our laws when it comes to protecting life and protecting women. It’s now time to work on solutions that affirm the right to life and support pregnant women and mothers.” https://t.co/puWi1D0Eq2"
3,"“Yesterday was a monumental day for the protection of life in America and a defining moment for our nation. Roe v. Wade was wrongly decided, and the Supreme Court has corrected a historic injustice. https://t.co/ssGZFuGaR7"
4,RT @sbaprolife: #LifeIsAHumanRight https://t.co/XYMyFRc1If
5,"Safe Haven Baby Boxes continue saving lives in Indiana.

I remain committed to working with Safe Haven Baby Boxes and expanding this life-saving initiative nationwide.
https://t.co/nLjCnTUOSy"
6,I supported legislation that expands VA benefits to thousands of veterans who have been exposed to toxic substances while serving our country. Our veterans deserve the support and treatment they earned from the VA. https://t.co/A9lA9ti3ZW
7,RT @DailyCaller: The Energy Crisis Is Hitting The Most Vulnerable Americans The Hardest. Here’s How https://t.co/34e0OlPipn
8,"Great being joined by @Erin_Houchin in Clark County. I’m looking forward to her joining me in Washington, DC to push back against President Biden’s record gas prices and inflation. https://t.co/7WS16HdU92"
9,"Honored to receive the key to the city of Madison from @Courtney4Mayor.

On behalf of all Hoosiers, I’ll continue fighting for our small towns and big cities each and every day in the Senate. https://t.co/0PnPl3UTFy"
10,No visit to @MadisonIndiana is complete without a stop at legendary Hinkle’s for a burger and shake. https://t.co/BlfA3ZSw04
11,"I’ll continue advocating for strong border policies while holding the line against efforts by the far left who seek to defund the police. 

Thank you to Mayor Bob Courtney for your leadership and for hosting."
12,I heard from Madison law enforcement officers about how President Biden’s border crisis has caused the supply of fentanyl &amp; lethal drugs to surge into our Southern Indiana communities. https://t.co/FIPySBFSn1
13,"This will relieve the burden on our disabled veterans, especially those who are blind, amputees, or paralyzed."
14,"Our disabled veterans who have sacrificed to keep us free should be given first class treatment.

That’s why I authored legislation that passed the Senate 100-0 authorizing disabled military veterans to speed through airport security lines at no extra cost https://t.co/ZoFX5kyv7D"
15,"Juneteenth celebrates the end of slavery in the United States. 

May we continue striving to form a more perfect Union that seeks to unleash the full human potential of all Americans. https://t.co/pCPeZXdbHC"
16,Being a dad to 4 kiddos is the greatest blessing of my life. Happy Father’s Day to all Hoosier dads across Indiana. https://t.co/sk6LivWIE2
17,"Congratulations to Diego Morales on winning the hard-fought Indiana Secretary of State nomination. 

Thank you, Holli Sullivan for your dedicated leadership administering and safeguarding our elections. https://t.co/tZp9meUvpT"
18,I’d also like to thank all the candidates who had the courage to put their names forth to run for public office and worked tirelessly through the convention process.
19,"Congratulations to Daniel Elliott on winning the hard-fought Indiana State Treasurer nomination. 

I look forward to working with you holding the line against the far left Biden agenda. https://t.co/9Sl6BoNLlg"
20,"As the leader of the GOP ticket I’m duty bound to run a strong race, getting out the vote to elect fellow Republicans up and down the ballot who will join me in fighting back against President Biden’s record gas prices, inflation, and border crisis. https://t.co/SDWo0vPzGc"
21,"Honored to address thousands of Hoosier Republicans at the Indiana Republican Party State Convention. 

This November, we’re going to send President Biden a message by electing a GOP Senate, House, and growing our supermajority in the Indiana General Assembly. https://t.co/Wf29YwRNfK"
22,Honored to be with thousands of fellow Hoosier Republicans kicking off the @indgop State Convention. https://t.co/eHxp4qEnfL
23,"RT @indgop: The 2022 Indiana Republican Party State Convention starts today with committee business, a welcome reception, entertainment, an…"
24,"President Biden’s 40 year high inflation is costing Americans an additional $460 per month. 

American workers and families continue being pummeled by the Biden economy.
https://t.co/yUR6alWj6a"
25,"Stopping at @ConePalace in Kokomo for soft serve is a great way to beat the heat. 

I hope all Hoosiers are staying cool and taking proper precautions during this heat wave. https://t.co/QzT1r491P5"
26,"As a Marine who’s served on the border standing shoulder to shoulder with Border Patrol, I know firsthand the importance secure borders play in our national security. While Joe Biden turns his back on Border Patrol, I will continue standing with them fighting for a secure border. https://t.co/3OiuHv1rbT"
27,"We went on the road making stops in Indianapolis, Fort Wayne, and South Bend talking with Hoosiers about the simple solutions needed from the Biden Administration to once again secure the border. https://t.co/ozaYg3mRs9"
28,"On Friday, I was joined in Indiana by the National Border Patrol Council who endorsed my campaign on behalf of our nation’s 18,000+ brave Border Patrol agents &amp; personnel.

I’m honored to be the first Hoosier elected official ever endorsed by the @BPUnion. https://t.co/RBDbsam1Zx"
29,"Congratulations to fellow Navy veteran, @AdamLaxalt on winning the Nevada Senate Primary.

Republicans must win Nevada to flip the Senate and stop President Biden’s record gas prices and inflation.

Join me in chipping in to support him today!⬇️
https://t.co/WbooB52PLH https://t.co/FeA8k6LQHv"
30,RT @WTCAam1050: NATIONAL BORDER PATROL COUNCIL ENDORSES TODD YOUNG FOR U.S. SENATE https://t.co/1PuXAmjmhZ https://t.co/WTeIS7iiBv
31,"Happy Flag Day to all Hoosiers. As we celebrate our flag, may we remember all those who have served to keep America safe and free. https://t.co/k7F9Ia7Anb"
32,"RT @USMarineCorps: Finding purpose in our Nation's fight

United States Marines are a family that fights together, finding individual purpo…"
33,"RT @RickFOP86: BREAKING: Indiana State Police Alliance ENDORSES Cyndi Carrasco for Marion County Prosecutor 

State Police Troopers join In…"
34,"Under President Biden, gas prices have reached ALL TIME highs.

It's time to unleash American energy independence. https://t.co/JBmDPTxO8H"
35,"From this Marine, Happy 247th Birthday to the US Army.

Thank you for your dedicated service to our nation. https://t.co/5XDxw8vkNQ"
36,"RT @ABC21WPTA: At a campaign event today, Young touted his endorsement from the National Border Patrol Council, saying southern border secu…"
37,RT @WOWOFORTWAYNE: Senator Todd Young receives national endorsement in Fort Wayne https://t.co/HIPd3SIIVL
38,"As a Marine who’s served on the border standing shoulder to shoulder with Border Patrol, I know firsthand the importance secure borders play in our national security.

If you’re a Hoosier who wants a secure border, join Hoosiers for Secure Borders today! https://t.co/9mJ5ir3245"
39,RT @BPUnion: We are proud to endorse @SenToddYoung  for re-election in the state of Indiana. Senator Young knows what we're facing because…
40,We’re on the road today making stops in Fort Wayne and South Bend talking with Hoosiers about the simple solutions needed from the Biden Administration to once again secure the border.
41,"I’m joined in Indiana today by Brandon Judd, President of the National Border Patrol Council who’s endorsing my campaign on behalf of our nations 18,000+ brave Border Patrol agents &amp; personnel. 

I’m honored to be the first Hoosier elected official ever endorsed by NBPC. https://t.co/kiINMSSdWS"
42,RT @NRSC: Check out @ToddYoungIN's Senate spotlight! https://t.co/fGbl16JPMn
43,That’s why I will continue backing the blue and fighting back against the defund the police movement &amp; efforts to eliminate qualified immunity.
44,"I was honored to address hundreds of Hoosier law enforcement officers at the Indiana Fraternal Order of Police conference in Michigan City.

Hoosier law enforcement officers put their lives on the line every single day to keep us safe. @FopState https://t.co/hGRvM8sIRR"
45,"Today, she’s grown into a community leader and job creator. She’s running to see all Hoosiers achieve their version of the American dream. Please join me in supporting Angela and learn more about her here. ⬇️ https://t.co/47jPi906fL"
46,"I’m proud to endorse @angelaforIN7 to represent Hoosiers in Indiana’s 7th Congressional District. 

Growing up in Soviet Ukraine, she knows firsthand the dangers of socialism. 

After legally immigrating to the United States, she sought out to achieve the American dream. https://t.co/hhmiCzTMj5"
47,"Hoosiers overwhelmingly back the blue, and as your Senator, I will continue backing the blue – holding the line against efforts to eliminate QI and fight back against the defund the police movement."
48,I was honored to join hundreds of Hoosier law enforcement officers kicking off the 87th annual Indiana FOP Conference in Michigan City. https://t.co/N2eiv4AT9o
49,"Gas prices are at over $5 dollars a gallon for the first time in American history. 

Until President Biden unleashes American energy, gas prices will continue to go up. https://t.co/9E4GCuV5RB"
50,May we never forget the heroism and sacrifice of those who gave everything to turn the tide in WWII in Europe and defend freedom for the world. #NeverForget #DDAY78 https://t.co/m43gdyzxpM
51,"Since President Biden took office, gas prices have doubled.

https://t.co/8yWibJ1isz"
52,"RT @JenRuthGreen: Jennifer-Ruth Green Campaign Headquarters is located in the great city of Merrillville, Indiana! Volunteer events kick of…"
53,"RT @IndyGOP: Thank you, @ToddYoungIN, for your continued leadership. We're looking forward to sending you back to the Senate in November!"
54,"Great sitting down with Jackson County REMC where they updated me on their work building out rural broadband in Southern Indiana. 

I remain committed to supporting rural broadband expansion so that all of our Hoosier communities can thrive into the future. https://t.co/dmVbwPxxPd"
