Unnamed: 0,Text
0,Good Morning Minnesota. Join me on the Sunday Morning Take with @bloisolson on WCCO radio right now.  #TurntheShipAround
1,Productive few days in DC gaining support from fellow Republican members to take on Congressman Phillips this November! Let's #TurntheShipAround https://t.co/dZMeaTYFF3
2,Tom Weiler’s Statement on Supreme Court Decision on Dobbs v. Jackson Women’s Health Organization https://t.co/05wFQZdMLk
3,"Happy Father’s Day America. Fathers, let’s bring our best to America... https://t.co/TzIImJ7yAd"
4,Two of the proudest and life-changing moments of my life were becoming a father to my two beautiful children. Happy Father's Day to my father and all fathers. https://t.co/0cLFcbTveg
5,"Minnesota Minute #1
#TurntheShipAround https://t.co/0gclOHB0NY"
6,"Today as our flag waves across our beautiful country, on foreign lands, and on ships and submarines patrolling the high seas, may we celebrate our freedom and remember the sacrifices made to protect it.

Happy Flag Day from Team Weiler! 🇺🇸 https://t.co/rKcEVzLywM"
7,RT @DanCrenshawTX: Hey MN-3 you’ve got a great candidate in ⁦@TomWeilerMN⁩ . Great to see an old friend doing amazing things for his state.…
8,"Wow @RepDeanPhillips ,deliberately misleading Minnesotans or in need of a math refresher

Math 101: Avg = Total Prod./ # of yrs

Trump inherited low production, ramped up production

Biden inherited high production, stifled more production and Minnesotans are paying $5 / gal https://t.co/wR9KnUXQIN"
9,"Nice try @RepDeanPhillips / @RepDeanPhillips , you are actually up against me.  ( https://t.co/Vv0OyX4drW )

We have not met. To remedy that, let us commit to monthly debates, starting in July. After all, everyone’s invited.  

MN, follow me and retweet if you support debates. https://t.co/RHUpLxnk3o"
10,"RT @mngop: The day after a thwarted assassination attempt on a Supreme Court justice, House Democrats, including @RepDeanPhillips and @RepA…"
11,"Leadership ??

@POTUS last night, “we still only end up with 50 senators, which means that we have 50 presidents,”

Join our Team @TomWeilerMN to bring real leadership to DC.  #TurntheShipAround"
12,"Big day on the campaign trail in MN-03 with my good friend and great American @DanCrenshawTX  , a true leader and patriot. https://t.co/6sHSwF3bxZ"
13,RT @knechtformn: Great to see @TomWeilerMN at Schooner Days yesterday. We need to do everything we can to get Tom to D.C. so he can #Turnth…
14,"Big thank you to @lionsclubs of Eden Prairie for putting on a great Schooner Days.  0 for 15 in the Bingo tent, put great to see my fellow Eagles. https://t.co/SaQLsLhl7L"
15,"Dear Minnesotans,
Enjoy your summer road trip.
Kind Regards,
@RepDeanPhillips and @GovTimWalz 

Bad Policies = Bad Results for MN https://t.co/hbORnJWJnH"
16,"RT @RNCResearch: Democrats claim they don’t support defunding the police.  

Here is 7 minutes of Democrats saying, “DEFUND THE POLICE!”
ht…"
17,"""Law is nothing else than an ordinance of reason for the common good, made by him who has care of the community, and promulgated"" 

St. Thomas Aquinas"
18,"RT @TomWeilerMN: @RepDeanPhillips Election Year Flip-Flops:

Part 1: Supporting Law Enforcement.
Rep. Phillips abandoned Minnesota Law Enfo…"
19,"@RepDeanPhillips Election Year Flip-Flops:

Part 1: Supporting Law Enforcement.
Rep. Phillips abandoned Minnesota Law Enforcement in 2020 and voted to effectively defund police &amp; make recruiting/retaining more difficult in 2021.

MN-03, @MinneapolisPD, @mngop remember. https://t.co/lhVKVoDxty"
20,"159 days to Election Day 2022

Excited to meet with, listen to, and understand the issues of Minnesotans in MN-03. Time to change course from the failed leadership and policies of @RepDeanPhillips 

Hop onboard, grab an oar, and let's #TurntheShipAround"
21,May we always remember and honor the over 1.2 million American heroes who gave their “last full measure of devotion” to defend and fight for our America. Let us all recommit to aspire to the American Dream they died for. 🇺🇸 https://t.co/xY01RizOYd
22,"The status quo is unacceptable.  From being a Defense Fellow on the Hill during the Sandy Hook tragedy  to Uvalde today; Americans need to find ways to prevent these school tragedies. School shootings are not partisan, they are tragedies that require action to be stopped."
23,"A tragic day for Uvalde, Texas, and all Americans.  My prayers are with the victims, families, the children, and the school community."
24,"RT @RedBeardAPI: Tom Emmer absolutely crushed it at @veecon 

Crypto and NFTs need the right policy moving forward and I'm confident @TomWe…"
25,"Today we honor the men and women who serve our great country across all six branches of military. In the words of Gen. George Patton, ""No army is better than its soldiers."" #ArmedForcesDay https://t.co/HmLA49PNkw"
26,"RT @TomWeilerMN: @RepDeanPhillips ,Minnesotans see right through your attempt at a 180 toward Police

Rep Phillips abandoned @MinneapolisPD…"
