Unnamed: 0,Text
0,RT @indgop: Congratulations on your re-election @RepTrey! https://t.co/S0kw2A1uei
1,"RT @ChairmanHupfer: Congratulations on today’s primary wins Reps. @ElectJimBaird, @DrLarryBucshon &amp; @VoteForTrey! I'm looking forward to an…"
2,Enjoyed a great Meet the Candidates Forum in Johnson County last night. Thanks to Greenwood Village South for hosting us again this year and to everyone who came out to hear from candidates on both sides of the aisle! https://t.co/Q7px1pyuXz
3,"Starting today, you can now visit your county's election office to vote early.  Look up who is on your ballot or find out where to vote early in your county at https://t.co/SnXfqChHNo https://t.co/k3l2SLOcrF"
4,"If you are planning to vote this year, make sure you are registered and that your information is up to date at https://t.co/twyWdmk9dx.  The deadline is to register is October 9th! https://t.co/FZUbzG6IOS"
5,"Great to see so many people at the Franklin Festival on Saturday. I learned the hard way that if you ask folks the IU score, answer questions about the Supreme Court, and talk term limits while walking, you will find yourself running to get out of traffic and back into a parade! https://t.co/jNebhXxCX7"
6,RT @VoteTeraKlutz: Thank you Chairman Jack Hinkle for inviting me to speak at the at the Orange County Republican Fall Dinner last night. I…
7,"RT @indgop: Thanks to the Brown County GOP for hosting a great event with our 2018 Republican team - Mike @braun4indiana, @VoteForTrey Holl…"
8,"I want our law enforcement officers to know that they have Representative who has their six. Today, I am humbled to announce that they have mine.
Thank you to the Indiana FOP for endorsing my campaign and thanks to all of the members for your selfless service to our communities. https://t.co/lwxTEXqnha"
9,"We will never forget the lives cut tragically short. We will never forget the heroes who saved friends, neighbors, and strangers.  We will never forget how fear became resolve and how we as a nation joined together to stand up for freedom. We will never forget September 11, 2001. https://t.co/4cmgcTW0da"
10,"Following her latest fight with @realDonaldTrump  , Elizabeth Warren is fundraising for Elizabeth Watson, saying we need ""another Liz"" in Congress. One liberal law professor who supports raising your taxes for a $30 trillion government takeover of healthcare is MORE than enough! https://t.co/Wxax9063NK"
11,"The opioid crisis isn't a GOP or Dem. issue. It is an epidemic hurting our communities. This month, the House will vote on 50+ bipartisan bills to crack down on foreign fentanyl, expand access to addiction services, and speed up research on alternative, non-addictive treatments."
12,Shout out to the volunteers from Johnson to Clark who endured a 90+ degree day of door knocking this weekend! And a big thanks to all the Hoosiers who took a little time to chat with us about our country and our future. https://t.co/T1WLMUvyRM
13,"Good, no make that great, news: Unemployment is at an 18 year low, wages are rising, and hundreds of thousands of jobs are being created every month!  
https://t.co/ltO3Ec10gj"
14,RT @indgop: It’s a great day to #LeadRight! Thanks to everyone across the state who’s out hitting doors and making calls to voters as part…
15,Enjoyed kicking off the @indgop training today in Johnson County! #LeadRight https://t.co/nvbxGcpzvy
16,The American people are always stuck with the tab when career politicians start overspending. This D.C. culture is what we are fighting against; this is why we went to the polls in 2016. This is why I was a firm “no” yesterday on their reckless $1.3 trillion spending bill.
17,"It has been nearly 3 years since Kate Steinle was killed by a repeat offender who had been deported several times. Last year, the House passed #KatesLaw.  Now it's time for the Senate to pass this bill and get it to @POTUS!"
18,"Great news! The U.S. added more jobs than any month since July 2016, unemployment is at a 17-year low, and over 650,000 people re-entered the workforce after they had stopped looking for a job altogether.  And the best part; we still have room to grow! https://t.co/zy8ugzDqmm"
19,"Thanks to @POTUS for his work to denuclearize North Korea and bring peace to the Korean Peninsula. Still a long road ahead but this meeting, the commitment to halt nuclear testing, and the expressed willingness to denuclearize are huge steps forward!
https://t.co/i1HRuH3i8i"
20,"RT @ConservaTibbs: It is wonderful to see my federal taxes significantly lower due to the tax cut passed last year. Thank you, #PresidentTr…"
