Unnamed: 0,Text
0,"Amazing day. Brought a tear to my eye. Honored to be able to participate in the commissioning of our namesake, the USS Montana.

#USSMontana #SSN794 #VirginiaClass #Submarine #Montana https://t.co/NUwlJRbjJN"
1,"Great speaking with Commander Quimby, Commanding Officer of the USS Montana SSN 794. Tomorrow's going to be a good day.

#USSMontana #SSN794 #Commissioning #Submarine #VirginiaClass https://t.co/h8wmHPYa3t"
2,"RT @MontanaDES: “We have an on-call staff always in touch with communities, always readily available if people need to outreach to our offi…"
3,"Thank you Mr. Governor. With the high number of uninsured victims, this support is critical. https://t.co/p1rErHrM5D"
4,Just heard of @efeaver 's passing. Prayers and sympathetic thoughts to his family.
5,"Information on our collaboration and training with @fema next month in Billings.

https://t.co/oTeLAEGgLv 

#Flood #NFIP #CSI #MTAuditor #FEMA #RiskRating"
6,"@DucksSoCal2016 We are working hard with CMS and other stakeholders on finding solutions for Montanans. Also working with stakeholders on the impacts of the subsidies, open enrollment periods, adequate networks, and effects on insureds at the end of the PHE. Alts to marketplace are also tools."
7,#TBT at fundraiser for the MSU Big Sky Institute with my bride. https://t.co/UmshwUvXOR
8,"This was shortly after Kirstie lost her leg. She has gone so far, accomplished so much, and inspired so many since this day. https://t.co/kk8NDkIaTj"
9,"Kirstie was the keynote speaker at our Insurance Summit in Helena last year and an alumnus of Warriors and Quiet Waters (https://t.co/XOVURpAU5S) about 10 years ago. 

Proud of everything she's accomplished since meeting her in our warrior fishing program in Bozeman a decade ago. https://t.co/C5UhpItlTL"
10,"Thanks to @SenatorTester and @SteveDaines for supporting the Honoring our PACT act (HR 3967) to support our Vets exposed to toxic chemicals. We must support and take care of our Veterans. 

#Veterans #BurnPits #ToxicExposure"
11,"RT @MontanaDES: Are you a property owner whose structure(s) were impacted by the recent flooding in MT? Take this brief survey!

It's the i…"
12,"RT @DowningCSIMT: Today, the Montana Board of Land Commissioners approved $1.5 million in sales and leases to fund public education, expand…"
13,"Today, #Juneteenth, we celebrate the final enforcement of Lincoln's Emancipation Proclamation freeing the last black American slaves in Galveston, TX ending slavery in the US in 1865. 
#Freedom"
14,"Happy Father's Day to all the dads out there. There is nothing as challenging or rewarding as being a dad. Nothing so rewarding as loving, challenging, and encouraging your kids as they continue to develop into better humans. 

#Blessed #FathersDay https://t.co/BAM1k0egSS"
15,"And, that's Representative Zinke sitting next to Tester. Good flood briefing this morning."
16,"Whirlwind few days. Toured Park County yesterday, made it back to Helena office late afternoon, morning briefing in Kalispell with @MontanaDES, Sheriff Heino, and @SenatorTester, had lunch in Seeley Lake and ran into Fmr. Gov. Bullock, and am now in bzn 4 wknd watching pivot. https://t.co/rknlXtorJr"
17,"Commissioner Downing announced the formation of the Financial Abuse Specialist Team, or FAST, intended to “provide a coordinated response to elder financial exploitation referrals with a time-sensitive, targeted evaluation...”

https://t.co/GhVHPOfNaa"
18,"RT @DowningCSIMT: Our hearts are with Red Lodge and all Montana communities affected by recent flooding. 

Use our agency as a resource. Ou…"
19,#MontanaFloods #NFIP #FEMA #Flood #Montana #MTNews #CSI https://t.co/fJtuRCdIU1
20,RT @AARPMontana: The team at CSI is awesome -- be sure to call them if you have been affected by the floods and need help.
21,"@EssmannJeff @MontanaDES Agreed. If you have flood-related loss, please respond to survey."
22,https://t.co/xHl6FJl3Xo
23,"If you have been affected by the Carbon/Park/Stillwater flood, please fill oit this survey. @MontanaDES will be using these in an effort to help get federal relief funds.

https://t.co/wCIsjqzgu0 https://t.co/tGMexaT9bk"
24,@DowningCSIMT @fema https://t.co/wCIsjqzgu0
25,"RT @GovGianforte: We have secured a presidential major disaster declaration for Montana to help communities respond, recover, and rebuild.…"
26,RT @DowningCSIMT: CSI is on the ground in Red Lodge surveying the damage and speaking with impacted families. #MTPOL #MTFlood #Yellowstone…
27,"RT @AARPMontana: Today, on #WorldElderAbuseAwarenessDay2022, AARP Montana is participating with state and city officials in a press event t…"
28,RT @naic: What is underinsured motorist coverage https://t.co/YnXN0eKWud #wotw #wordoftheweek
29,RT @DowningCSIMT: Montana cannot prosecute its way out of elder exploitation. Only through education and empowerment can we end the abuses…
30,"RT @DowningCSIMT: Protect your home or business from flooding. The National Flood Insurance Program covers up to $1,000 for sandbags, pumps…"
31,"RT @bradmwarren: I just got off an interview with the Commissioner of Securities and Insurance for Montana @TroyDowningMT,

The best thing…"
32,"RT @GovGianforte: In addition to declaring a statewide disaster, we are pursuing an expedited presidential disaster declaration to help cov…"
33,RT @DowningCSIMT: The CSI team is available at 444-2040 or by going to https://t.co/slh3Wnc9u2. More information on flooding and flood insu…
34,RT @GovGianforte: I have declared a statewide disaster due to flooding to help impacted communities get back on their feet as soon as possi…
35,"RT @DowningCSIMT: My prayers and deepest sympathies are with the people of Red Lodge and all affected communities. 

Our agency stands read…"
