Unnamed: 0,Text
0,RT @valforcongress3: GOP-appointed SCOTUS just released women  to second-class citizens. Only Congress can restore women's rights to make t…
1,GOP-appointed SCOTUS just released women  to second-class citizens. Only Congress can restore women's rights to make their own decisions. Please help us fight for women's rights to control their lives; donate $25 or more to our campaign at: https://t.co/RTs57jgGld. https://t.co/kbz4VGMxoJ
2,"RT @SanfordBishop: Earlier this year, I cosponsored the Gas Prices Relief Act of 2022, which would temporarily suspend the federal fuel tax…"
3,"RT @GeorgiaDemocrat: Who else is ecstatic to support our historic slate of statewide candidates? 

US Senate: @ReverendWarnock
Governor: @S…"
4,Together we will win! https://t.co/rR9SrbRJmh
5,RT @afrosabi: I love this!!!!!
6,"RT @valforcongress3: The NEWNAN TIMES-HERALD 
6/ 16 /2022
""Drew Ferguson, who represents (the 3rd District) Coweta County in the U.S. House…"
7,"Republican, Drew Ferguson, just introduced H.R. 8006, the Student Loan Accountability Act. The act PROHIBITS the Federal Government from taking ""any action to cancel or forgive the outstanding balances or portion of balances,"" of student loans. @valforcongress3 
Retweet, Retweet"
8,"The NEWNAN TIMES-HERALD 
6/ 16 /2022
""Drew Ferguson, who represents (the 3rd District) Coweta County in the U.S. House of Representative, has introduced legislation intended to block any attempts at canceling student loan.""
@valforcongress3, @AFGEDistrict5
Retweet, Retweet again"
9,RT @TheBenSanders: Then in #GA3 we have @valforcongress3 on the dem side to attempt to defeat an incumbent Republican.
10,"RT @SEIU: While billionaires dump fortunes into rockets, working people are making poverty wages and fighting for healthcare. It's time for…"
11,... and @valforcongress3 https://t.co/XkhVsb8QwU
12,"Add valforcongress3, 
     https://t.co/KVFQ3paopP
to your list of PRO-CHOICE advocates. https://t.co/BA0LiCxsLU"
13,"Thank Geoffrey and NYA for following us. If there anything we can do to promote NYA, let us know. https://t.co/YNhcHIDgkC"
14,"Go ""Trojans one and all"" fight! https://t.co/iriZf6x4EC"
15,"RT @1drcole: @sherrig108 Good morning, sweetie."
16,Good 🌄 &amp; Happy Tuesday https://t.co/M76DTeLRCD
17,RT @1drcole: Good morning; it's 6/06. RETWEET if you want to find new friends and help your followers build their accounts.  #FBR #drcole💕…
18,"RT @notminenoway: @Krisbouncesback @AnneSurfCoast @CaslonRichard I not only tweet/retweet, like and follow, but I also try to respond to ev…"
19,RT @JulianCastro: “The gun industry’s protections are outrageous. It must end.”— President Biden.
