Unnamed: 0,Text
0,"@ggcnj How do I reach out to you to apply for an endorsement? I support M4A, RCV, Campaign finance reform. I'm Independent, both parties are bought. Plz check me out https://t.co/REdWv1bwsm"
1,"@brivera_159 It's not only because of the line, it's because both parties are bought.  I'm an Independent running for Congress in CD7. I support M4A, RCV, Campaign finance reform...I'm looking for help...please check me out https://t.co/REdWv1bwsm"
2,of course I spelled Regan's name wrong....arghhhh
3,"""Day by day, case by case, the Supreme Court is busy designing a Constitution for a country I do not recognize"" ~Antonin Scalia *appointed by Ronald Regain 1986 - We haven't had a constitutional amendment &amp; are way past due for some heavy duty HOUSE cleaning!
@anyonewhocares"
4,@RepMalinowski @KeanForCongress @Action2getherNJ @NJWFP @suealtman  WHY DO WE TOLERATE THIS?!  I AM ON THE ONLY CANDIDATE THAT SUPPORTS M4A...HOW ABOUT A DEBATE?!https://t.co/S7BQ6CvQjh
5,@NJWFP @suealtman @AratiKreibich I completed the application for endorsement!
6,@representus Well the 28th Amendment of course!  Campaign Finance Reform....it's Number One on my platform...from there all things change!
7,@NJ7C4C NJ's CD7 has a NEW CHOICE IN NOVEMBER!  I have deep roots in this district and am the most representative candidate that will be on our ballots. Take a look!  https://t.co/REdWv1bwsm
8,"If money were to be made on gun safety, it would  have happened long ago."
9,"What is the United States ‘gun lobby’ and how powerful is it? https://t.co/gb6MFEcl4J via @AJEnglish  If politicians really wanted meaningful change, they would pass campaign finance reform laws, preferably a constitutional amendment to overturn Citizens United."
10,https://t.co/RME9xTS6M8 The inaction of Congress is unacceptable.  Every day we have mass shootings. There is only ONE day in November we can elect NEW reps that will use the power entrusted in them and finally put an end to these killings.
11,"Our healthcare isn't complicated, it's corrupt.  I am the ONLY candidate in CD7 that supports #M4A.  The ACA is a gift to the ins industry and WE pay the subsidies.  We can do soooooo mucccch beeetttterrr!"
12,"""Irreparable harm to people's trust in the institution....SERIOUSLY?!   SCOTUS literally sold OUR Congress to the highest bidders with Citizens United. https://t.co/ZwUsB2NoK6"
13,Today is National Fentanyl Awareness Day…how about a National We Finally Got the Healthcare We Deserve Day to be celebrated 24/7/375! I am the only candidate in #CD7 that supports #M4A @RepMalinowski @KeanForCongress @everyonewhoneedshealthcareforcryingoutloud!
14,@JerseyDemocrats Have you considered “I”candidates where there are no progressives.  I have deep roots in CD7 and have asked MOC Malinowski numerous times to reconsider M4A but he will not budge. I’ve seen how progressive challengers are treated by leadership and I don’t trust them.
15,"Using their failure to codify RvW as an excuse to fundraise eliminates their credibility to follow through on just about anything…min wage, Medicare negotiations, public option, #itneverends https://t.co/PONfewDDoV"
16,Abortion is not in the Constitution and neither is the filibuster.  RvW should have been codified years ago. Act like mid terms depend on it.
17,"@GovMurphy is endorsing @DonaldNorcross for NJCD1 *WHY?!* @DeSantisForD1 is representation for the people, not political machinations #canwepleasestopelectingthosewhodonothingforusforcryingoutloud https://t.co/AoHTy74Gov"
18,"I haven't made a ton on healthcare investments during the pandemic, but I have paid over nearly $150K in 5 years for healthcare. I support #M4A AND banning MOC trading.  #meanttoservenotbecomeamillionaire https://t.co/U524XsYKS1"
19,"@Action2getherNJ Here in NJ's CD7 @RepMalinowski is also under HEC investigation &amp; made a tidy profit on healthcare investments during the pandemic @Action2getherNJ I am an I not connected or beholden, pls check us out! https://t.co/REdWv1bwsm"
20,@RepMalinowski @KeanForCongress both KNOW a single payer system is the most fiscally responsible way to provide care for ALL of us AND every Municipal budget in #CD7 has $MILLIONS$ in ever-increasing healthcare premiums that would be REMOVED w/ M4A. Now IS the time for 3rd party! https://t.co/Z9i3Jkevgd
21,Every day is Earth Day....what we really need is a #cleanupcongress day and I am suggesting 11/8/22
22,@thepennyhoarder You should be wrapping multiple $100.00 dollar bills around these bottles...
23,RT @representus: America's political system is broken. But we have a plan to fix it. https://t.co/js7p30eBX7
24,@Action2getherNJ And what about the medical bills from Covid related illness/deaths? Covid bankruptcy tsunami on its way.
25,"The ""reddist"" part of the tape are politicians who are beholden to big donors.  If it's about jobs, cut subsidies &amp; tax breaks to employers who outsource. When's the last time you called Horizon BC/BS member services?! https://t.co/g0AnSrvyKA"
26,"RT @RepJoshG: After speaking with everyone from mom-and-pops to the biggest businesses, it’s clear we need to cut the burdensome and unnece…"
27,Median teacher salary in our state $66K. Teacher family health ins premium $30.5K. THAT is not world class. We need M4A which will remove billions from property taxes &amp; give teachers REAL RAISES! @NJPolicy @News12NJ @NJ_Politics @NewJerseySDA @njdotcom @NJCitizenAction https://t.co/muBampdLkC
28,Local journalism IS important and responsible journalism IS including All ballot qualified candidates in coverage AND debates. ⁦@wildstein⁩ https://t.co/0m9wl8VSv4
29,@wildstein I hope @wildstein &amp; NJGlobe will include ALL ballot qualified candidates in debates and media coverage this year.  Responsible journalists does not suppress candidates.
30,"What would you do w/$11 million per minute?! This only happens because party leadership takes millions in donations every election. NJ's CD7 has a new choice! If you want corruption out, vote me in! @actioin2getherNJ @NJ_Politics @NJGlobe https://t.co/VU7PW8P3hL"
31,"Biden administration proposes fix to 'family glitch' in Affordable Care Act https://t.co/AuUDMWtbBt via @10TV  When 9 out of 10 cannot afford, there is nothing to celebrate.  A real ""fix"" is Medicare for All but that would end big donations. #endthecorruption"
32,I DO understand how insurance companies are allowed to insert themselves between us and our doctors.  They donate millions every election to keep their hold on Congress. These unnecessary middleman have got to go! #MedicareForAll #CD7 #NJ
33,"2 things:  1. Take it out of BBB and make it a single issue bill, let's see where everyone stands.  2. End donor addicted MOCs Pharma dealers... clean up #campaignfinancereform https://t.co/TlLQTrZKKa"
34,@amyklobuchar AND if we passed campaign finance reform (#1 on MY platform) we would end our donor addicted MOC to get it done.  PS - maybe a single issue bill would help too!
35,"@representus I'm running for Congress here in NJ's CD7 as an Independent, I would have them pass a 28th Amendment to clean up our campaigns (it's my #1 platform issue) so Congress could work for us again. NO issue w/change until we get the money out!"
36,"House passes bill to cap insulin prices  https://t.co/C5luFFHrbL  Finally!  This should have been done a long time ago, NOW let's remember the 1000s of other meds needed by Americans. Get Big $ out &amp; M4A in! #notonlyinsulin"
37,"@Action2getherNJ There is no excuse, there was nothing else added in the bill."
38,83% of Americans v. Big Pharma and they win AGAIN. I am so sick of their control over OUR congress.  They are   literally killing us to make a killer profit for themselves. https://t.co/bk2yLAKDW1
39,So true. Ranked Choice Voting is a real solution to this problem and right now D &amp; R leadership are working together to ban RVC in multiple states. Take a stand NOW and support Independent candidates! https://t.co/9dh7n10ZSO
40,@Marycole121 @axios Nothing about a Public Option (which will never work anyway) or lowering Medicare eligibility age either.  Medicare negotiations w/Pharma have been reduced to next to nothing and won't take effect till 2025 if at all.  Way more than born in 62 have been straight up robbed!
41,https://t.co/DtwnON97Ym
42,"Median NJ teacher's salary is $66,177 &amp; their annual family plan ins prem is $30,595.  ALL of this is in our property taxes.  I support M4A which is 4-5% of AGI and eliminates all the unnecessary middlemen.   Get this our of our taxes &amp; give our teachers a real raise! https://t.co/ZEzFgdDkCQ"
43,@GetCoveredNJ How is it that ACA premiums are allowed to increase 12% when 9 out of 10 can't afford and subsidies are paid by taxpayers. What's going on here @GovMurphy @MarleneCaride @RepMalinowski @anyonewithabrain
44,@PhilMurphyNJ How about including ALL FIVE CANDIDATES that are on the ballot in the debate.  NJ DESERVES TO HEAR ALL THEIR CHOICES @RowanUniversity @colleenodea @DavidCruzNJ @MichaelHillNJ @hoffman4nj
45,RT @PeskyFact: .@SenWhitehouse is my fave. He never misses an oppty to get a dig in (#sockpuppet Mitch folded 😂) on the core of ALL our pro…
46,@PeskyFact @SenWhitehouse @CNN @MSNBC I haven’t been on Twitter in months….Sen Whitehouse is inspiring
47,@SenWhitehouse Just heard you @DeadlineWH speaking to #darkmoney finally moving Mitch. So REFRESHING to hear truth from a politician.
48,THERE ARE FIVE OTHER CANDIDATES FOR GOV ON YOUR BALLOT THIS YEAR..WHY ARE THEY NOT INCLUDED IN THE DEBATES?! #STOPCANDIDATESUPRESSION NJ VOTERS DEMAND TO HEAR ALL CANDIDATES...KNOW YOUR CHOICES! https://t.co/dz6wNxwq9B
49,@PhilMurphyNJ THERE ARE FIVE CANDIDATES FOR GOV ON THE BALLOT THIS  YEAR....WHY ARE THE OTHER THREE  MISSING FROM TONIGHT'S DEBATE?  #STOPCANDIDATESUPRESSION THERE ARE OTHER CHOICES FOR NJ VOTERS!
50,Nearly 80% of Americans support $15 min wage.  Come on @POTUS @VP use your power and don't cave! https://t.co/irZBJIaSgH
51,@SenBooker @SenatorMenendez  U both need to pressure Biden to have Harris overrule on $15 min wage in Covid relief.  Biden campaigned on this.  Act now while you have the power to get it done.
52,"@PhilMurphyNJ @Action2getherNJ Your office knows where the vaccine is being distributed to, would you please post that info so we are not scrambling against each other to get appointments?"
53,"Seriously, I hope he is ok, but even more seriously, I wish cable news would report as feverishly on campaign finance reform. https://t.co/LGfdJQhYpN"
54,@RepDLesko We SHOULD know who is paying for ads.
55,RT @CalumWorthy: This next generation has the courage to speak truth to power. We need it more than ever! A lot of you who follow me may ha…
56,Rep Malinowski needs to get onboard w/M4A. Expanding the ACA expands our taxes. 8 of 10 CANT afford premiums!  Who endorses that?! https://t.co/uCqO6tUwr7
57,@RepMalinowski Tom....I hope the pandemic is opening your mind up on Medicare for All.  Expanding the ACA is going to expand our taxes and as you know 8 of 10 policyholders CANNOT afford premiums. The “premium credits” are paid by us.  Please rethink and get on board w/better care for us all!
58,"@RepDLesko A private company made a business decision.  If you don't like it, you are FREE to leave."
59,"Healthcare reform (M4A) is first for me personally, but we desperately need to work on issues that will unite us.  I so hope the new Admin puts Campaign Finance Reform, Term Limits and Fair Districting as a top priorty! https://t.co/wHwaL79nVC"
60,"@representus Issues that will unite us:  Campaign finance reform, term limits, fair districts!"
61,@SenatorLoeffler Goodbye!
62,@AWS_Edu @ecree If Amazon really wanted to help education they would pay their fair share of Federal taxes....currently they pay ZERO!  Paying taxes is patriotic
63,"If you support the ACA, you support higher taxes.
If you support an expanded ACA, you support expanded taxes.
If you support private health insurance you support higher NJ property taxes.
If you support Medicare for All you have done your own research."
64,The basis for qualifying for a paltry $600 is based on 2019 income....how many of us are making what we did last year? #Congress so out of touch.
65,@realDonaldTrump When Midas touches himself 🤣
66,@jonathanvswan Love triangles can get quite messy
