Unnamed: 0,Text
0,Congratulations and great job to @Astro_Christina. You are a great American!
1,"@HecticEnergy @TrueSeeing888 In late February I went down for two days with high fever, stuffed nose, sweats, and chills. I isolated myself in my room for the entire time. No one else in the house got sick. These things effect people differently. 🤷🏻‍♂️ Hear younger people are getting sick in Europe."
2,Great article on the comparison of the pandemic threat to our population. While I'm sure I will be called a pandemic denier- I believe we should all be informed and make our own assessments on how to move forward to prepare for the next event. #coronavirus https://t.co/fkqqnB1r5T https://t.co/R3lZRXtDA8
3,"@OfficialNabber @HecticEnergy @ryandonnell I’m getting annoyed by the notifications of healthy athletes being announced as having tested positive for the virus- but on the plus side, it puts everyone on alert of how badly we are prepared for a grand crisis of this kind. I live with my 78yr old mother so I am cautious."
4,@HecticEnergy @ryandonnell People die of flu every year. Mostly elderly and those with compromised immune systems. Swine flu took out many people- we didn’t shut down the country. In the end when not as many people die as with the swine flu we will claim victory because of the defensive measures taken.
5,"Our friends in the UK would like some help. The more data that can be created to prove the worth of this program the sooner we can implement. #YangGang #coronavirus 
@https://petition.parliament.uk/petitions/302284"
6,This crisis is brought to you by the 24hr media that is making tons of money over turning a molehill into a mountain. While our working class is struggling the big media companies are doing anything to grab your attention for viewership. Time to limit their air time. #coronavirus
7,Is it time for basic subsistence supplement (BSS)? Looks like the Prez has preempted my roll out of a more descriptive name for UBI. #EndorseUBI #YangGang #BSS
8,"RT @KathleenKatfox: Texas is receiving immigration &amp; coming-of-age voters that are majority-Democrat.

🔻 Texas is becoming a competitive st…"
9,@SenSherrodBrown @KendallScudder This senator is why we need government reform. Dinosaur thinking like this is why our government fails to provide for our citizens. Why do we need an admiral and a staff of 39 to look for pandemics when we have HHS and can partner with WHO. inefficient! #HumanityFirst #reform2020
10,It is still early but developing plans to elevate the agenda. Stay tuned for some revolutionary and strategically minded thoughts to move concepts forward. Next election cycle you will see the UBI concept front and center. #YangGang #HumanityFirst #endorseubi
11,"@dj_magnum3 70k votes, 7 weeks, 50k self funded, 1k donations. You just need to spread the word. It can be done!"
12,Is Amazon hiring drone pilots for their package delivery?  Space X looking for a launch countdown technician? #techjobs
13,@Ktwirls @PalestineMATH @AndrewYang Welcome to the tribe!
14,"Well, I’m unemployed and live with my mother. 🤔 Thank you everyone for your votes. I’m traveling to DC to clean some stuff up and ponder the next move.  Greeter are Walmart, Radio, podcast??? Not done yet! #EndorseUBI #yangang"
15,Congratulations to @RoyceWestTX and @mjhegar Good luck to you both. Let me know what I can do to help the cause.  Please consider #EndorseUBI on your platforms. #TexasPrimary
