Unnamed: 0,Text
0,@JeffPassan Best sports article I’ve ever read in my life. You captured the moment in words even better than my eyes saw it. Very good work!
1,Standing with the President and fighting to secure our southern border is a priority for me! https://t.co/xgJFAy1qVK
2,"Thank you Leader McCarthy for joining our Teletown Hall last night and discussing important issues to the voters here in Florida!

CD15 be sure you get out and vote today if you haven’t already 🇺🇸 https://t.co/cyHU2xlwQz"
3,"Today is Election Day! When you head to the polls remember who the true conservative in this race is- the one backed by the NRA, National Right to Life, and Florida Right to Life. Vote Ross Spano for Congress! 🇺🇸"
4,".@mattgaetz you’re lying to the voters of FL15 when you say I don’t support the President &amp; the Border Wall. YOU voted No on that bill the same way I did, because it gave the President only a fraction of the $ needed &amp; it tied his hands on how &amp; where he could build it. #OMG https://t.co/cclARDQVIG"
5,"As the ONLY candidate in this race endorsed by the NRA, I will always protect your right to bear arms. https://t.co/8jhjC64Cpz"
6,"“...Veteran issues and small business issues are two of the things I’m most interested in and most passionate about...”

Check out the rest of the story below! 

https://t.co/pEopWfgiig"
7,This photo was taken pre-COVID-19 and prior to social distancing measures being in place.
8,Thank you to @VP Pence for visiting the Sunshine State today! You are always welcome and we are thankful for how hard you and President @realDonaldTrump are working to safely reopen the country and our economy. https://t.co/pOMfatlltE
9,@Bebe65570087 @cmchase65 @realDonaldTrump @GOP @GOPChairwoman @GOPconvention @Marcialeekelly Please contact my Congressional office at (863) 644-8215.
10,"@cmchase65 @realDonaldTrump @GOP @GOPChairwoman @GOPconvention @Marcialeekelly Chris, please contact my Congressional office at (863) 644-8215."
11,"We are 100 days out from the Republican National Convention in Charlotte, NC! 

One thing is for sure, I am excited about 4 more years with @realDonaldTrump! Let’s work hard to Keep America Great this November! 🇺🇸 #RNCinCLT @GOP @GOPChairwoman @GOPconvention @Marcialeekelly https://t.co/S7qto3GKIg"
12,Pelosi and the DCCC just accused me of being conservative and against abortion. Correct. 👍🏼 https://t.co/DOs6x9shmW
13,"(2/2) I always want to hear from my constituents. And I appreciate any way that they share their concerns.

Thanks for the note, and thanks for being there when we need you. https://t.co/P79gUNP3Zz"
14,"(1/2) I get lobbied all the time by expensive suits with offices on K Street. 

My pharmacist found a new way: A note on my prescription package urging a vote on ""HEROES Act 2020."""
15,"(3/3) Without unrelated and unnecessary socialist policies in the fine print, #CARES Act passed the House this afternoon. Soon enough, thousands of Americans will be coming together in health to work on stimulating America’s great businesses — both large and small."
16,"(2/3) There may have been a few partisan speed bumps from @SpeakerPelosi and her allies along the road, but I am proud of the effort that my Republican colleagues in Congress and I were able to put together to bring relief in a time of desperate need for so many."
17,"(1/3) Today, government did what it is supposed to do — worked together across chambers of Congress — in the name of supporting the American people in the best way possible."
18,"Here is a guide for Lakeland grocery stores that may be helpful! Remember wash your hands, avoid touching others or your face and maintain a healthy distance from fellow shoppers. The best way that we can get through this is TOGETHER! #PeopleNotPolitics https://t.co/hMaUe7xFtC"
19,This campaign is about #PeopleNotPolitics — and for good reason. Speaker Pelosi cannot say the same. Her willingness to take a GLOBAL PANDEMIC and turn its response into one of scoring long-term political points will forever be a stain on this nation’s response to #COVIDー19. https://t.co/1KyALH9RAQ
20,@AlanMCohn @UFCW (2/2) understand their needs and coordinate efforts. Try again.
