Unnamed: 0,Text
0,Imagine what our Founding Fathers would think if they knew that in 2021 the President of the United States would be mandating that citizens be injected with ANYTHING.
1,"My family and I will be praying for you, Casey DeSantis.

Remember that Florida - and all of America - loves you and your family! 🙏 https://t.co/6BLfgOrJdv"
2,RT @Jim_Jordan: How does firing Border Patrol agents help secure the border?
3,RT @RepStefanik: Democrats are pushing the largest tax INCREASE in our nation’s history.
4,"RT @rep_stevewomack: Basic math tells the real story.

FACT: The bill does NOT cost ""zero dollars.""

FACT: The bill is NOT paid for. 

FACT…"
5,"RT @Jim_Jordan: Democrats control the White House, Senate, and House. 

But the media blames Republicans.

Must be hard working for the DNC…"
6,"RT @HouseGOP: Last time we checked the Democrats controlled the House, Senate, and White House. 

If there is a government shutdown it's be…"
7,We NEED to finish the wall.
8,This is Biden’s America. https://t.co/LEI7GlCosQ
9,"RT @thehill: Former Vice President @Mike_Pence on leaving people behind following the evacuation efforts: ""It's unthinkable. It's not the A…"
10,"Great news!
Florida has filed a Heartbeat Act similar to Texas. This proposal will prohibit anyone from performing abortions if a fetal heartbeat is detected. Every state should propose a similar bill so that we can save countless unborn lives! https://t.co/WIS4UMzmK2"
11,"RT @larryelder: Border Patrol pics were ‘misconstrued’ as whipping, photographer says
https://t.co/dJvpHUK08Y 

#WeveGotACountryToSave"
12,Funny how the Biden Admin will put mandates on American citizens yet won't even test these Illegal Aliens. https://t.co/2V4TZVJd8N
13,RT @realDailyWire: Biden Admin Takes Horses Away From Border Patrol Agents In Del Rio After They Defended Border https://t.co/GXcLAbYLjM ht…
14,"It's this simple, yet Biden can't seem to understand that. https://t.co/xyYmRoJCaN"
15,Joe Biden has zero control of the southern border. The evidence speaks for itself. https://t.co/9E72zkOzH6
16,"RT @GOPLeader: Democrats abandoned our ally Israel to appease the pro-BDS, far-Left radicals who run their party.

Speaker Pelosi must imme…"
17,"Again and again, Biden has shown that he cares more about Illegal Aliens than Americans. Unbelievable. https://t.co/Nj1KUhQMvb"
18,Texas is turning into Haiti. We MUST FINISH THE WALL! https://t.co/FJfAcYraYE
19,Biden didn't respond because his answers weren't written for him. https://t.co/EpFaDS9WoZ
20,"Hollywood has consistently pushed a pro-mask agenda. Meanwhile, not a single person at the #Emmys wore a mask. How ironic. https://t.co/Mf2yc0Zbzq"
21,"FYI... Border security is National security. Right now, the southern border is not secure. We need to build the wall now!"
22,"RT @jhaskinscabrera: Stop complying with ""temporary"" restrictions and mandates. Many of the current mandates have no exit ramp, and some, l…"
23,America deserves better than Joe Biden. We need leaders who don't run away from problems but find a way to solve them.
24,"Americans are still stranded in Afghanistan, and our border is in shambles, yet Biden is on his way to a beach vacation. Biden needs to resign NOW!"
25,We need people in office who care more about American Citizens than they do about Illegal Aliens.
26,Joe Biden has failed at protecting our border from Illegal Immigrants. We must build the wall before it's too late! #BidenBorderCrisis
27,Congratulations to @SpaceX for sending an all civilian crew into orbit! The future of space travel begins today. https://t.co/56gWUwzzNu
28,Do you want to know why Americans are not getting the vaccine? It's because they do not trust Fauci.
29,Couldn't agree more; we must always protect our freedom and stop those who wish to take it from us. https://t.co/GxHOhjNSF0
30,"Joe Biden is currently at a record-level disapproval rate of 55%. What's going on with the other 45%?
https://t.co/XcGlmSQBwO"
31,"If this doesn't make you sick to your stomach, I don't know what will.
https://t.co/JKHeonCVcw"
32,"Biden and Blinken need to be held accountable for abandoning Americans in Afghanistan.
https://t.co/R9uSycp3lr"
33,"RT @JudiciaryGOP: The Biden Administration's immigration plan: 

-Amnesty
-Open Borders
-Chaos

🎥 : @RepBentz https://t.co/qUnGpCutDB"
34,The founding fathers are rolling over in their graves. https://t.co/9ikcPZyoYz
35,Pray for all the lives lost on 9/11. Pray for the families who lost loved ones. Pray for the first responders who selflessly did all they could to save Americans. Pray for our troops who bravely fought for our freedom. Never Forget. https://t.co/ifRcIaoEt7
36,"RT @HouseGOP: Joe Biden’s failed leadership has endangered Americans at home and abroad.
https://t.co/5j2tVde8hH"
37,"Good Job, Texas, and @GregAbbott_TX https://t.co/2YV9cMptG0"
38,RT @DonaldJTrumpJr: I’d blame Biden but this is actually Obama &amp; Biden. 4 terrorists for one traitor is the most Biden/Obama/Democrat trade…
39,"RT @abigailmarone: 👀👀 “When Biden gives public remarks, some White House staffers will either mute him or turn off his remarks… 

They’re f…"
40,RT @DonaldJTrumpJr: Disgusting. https://t.co/FQRAiTWPdH
41,"On this Labor Day over 100 Americans are still stranded in Afghanistan, meanwhile Sleepy Joe is enjoying a vacation. Biden must be impeached!
RT if you agree!"
42,"Career politicians aren’t fixing our problems - they’re causing them.

We need new voices in Washington, and our nation depends on it."
43,"Today, 12 American lives were lost in Kabul at the hands of radical terrorists.

This is tragic, unacceptable, and detestable, but worst of all: it was avoidable. Biden has blood on his hands, and America deserves better.

Praying for these 12 brave soldiers and their families."
44,"Happy Fourth of July! Today, and every day, we celebrate the true exceptionalism of the United States of America. 🇺🇸

So blessed and proud to live in the greatest country in the world!"
45,"Fauci Lied, 2020 Died."
