Unnamed: 0,Text
0,@VictorBlackwell it's time for an update on the Trump gumballs.
1,@IlhanMN Don't get me wrong I support legalization but that stat is like polling people at a Phish concert... 95% of them would probably support legalization of marijuana.
2,@Orionca14 @kennyhorsley @sonofmikeh @AndrewYang The Continental Army was a militia and the US Army is a national military branch.. thus why we had the second Amendment although there's no real need for it based on the reasoning behind it at the time.
3,@Benzamna @AndrewYang I think you're missing a Klan meeting while spewing your hate online... If you hurry you might make it for the Cross burning.
4,#MyTimeIsUp #passthetorch It's time for Biden to bow out gracefully.
5,"@AnthonyVClark @cenkuygur @GOP Not that I'm defending Biden (far from it) but at least he didn't refer to an entire culture of people as ""superpredators."""
6,@kgopinion What else is new?  Lol.
7,@kgopinion I'm always helping Bernie.  :)
8,I've looked at each serious candidate for President and the only candidate I see that truly is compassionate and is trustworthy is Bernie Sanders.  Sorry but I won't vote for a candidate whom I cannot trust for any office.  This is also why I must primary Cheri Bustos in #IL17.
9,"RT @AnthonyVClark: @ThomasJTobin1 A reminder that Catholics should not support any system that perpetuates, the sexual abuse of children &amp;…"
10,@cenkuygur I'm for #MedicareForAll and primarying Cheri Bustos in #IL27 how about helping a true progressive get some exposure? Check me out at https://t.co/oQMHURN7vi
11,@Thom_Hartmann  please put me on your show I'm trying to gain exposure of my primary challenge against DCCC Chairwoman Cheri Bustos in #IL17 and could use your help. william@swisherforillinois.com to contact me directly.
12,"@cenkuygur @TYTPolitics @TheYoungTurks please put me on ""The Conversation"" I'm trying to gain exposure of my primary challenge against DCCC Chairwoman Cheri Bustos in #IL17 and could use your help. william@swisherforillinois.com to contact me directly."
13,Unless we get an apology from @reedhastings and @netflix I will be cancelling my Netflix subscription tomorrow and urge others join me.  We must stand up for a woman's right to choose.
14,"I'm very proud to honor our service men and women today and ask only two things.  One, that our country only goes to war when absolutely necessary to defend ourselves and our allies. Two, that we treat our veterans with the respect and dignity they deserve."
15,"@AnthonyVClark This is especially needed in Rockford where almost all houses, apartments, buildings are so old they don't require meeting ADA guidelines being ""grandfathered in."". I say we make all buildings be brought up to meet ADA guidelines by no later than 2035."
16,@ShiaKapos how come none of your reporting on Cheri Bustos mentions she too has a primary she must face?  https://t.co/gOVRM2sDWH
17,@NRATV And the Republican Party used to be the progressive party... Times change @NRATV  but unfortunately you can't bring a family member back to life after they've lost theirs to gun violence.
18,@AnthonyVClark Solidarity Forever!
19,It's time to stop thinking about acting and time to finally act.  #EndHomlessnessNow https://t.co/hqt5LbTP9a
20,"If elected I will sponsor legislation to make all hygiene products including fem. hygine 100% covered on SNAP (Food Stamps) women shouldn't be required to foot a $300 plus expense per year plus items like toilet paper, toothbrushes and toothpaste.  Treat the poor with respect."
21,"@Findowned All hygiene products including feminine should be covered under SNAP (food stamps) that includes toilet paper, toothbrushes and toothpaste as well. If elected I will promote legislation to see this accomplished."
22,Office of the Clerk for the US House of Reps already sending me info on how to declare my financial disclosure... Too bad I haven't raised anywhere near their $5000 threshold yet.  Maybe you'll share this post with your friends and they'll donate at https://t.co/oQMHURN7vi https://t.co/vCB3AYvOTO
23,@AOC Please support our candidacy and give relevance to the Illinois insurgency between @Marie4Congress  @AnthonyVClark and myself @Swisher4IL.
24,This is a sickening message the Treasury Dept. Under Trump is playing by not rolling out the Tubman $20 in 2020. Apparently right wing Trump neo-cons still don't accept persons of color nor are they willing to grant them recognition.
25,We used to treat whistleblowers with respect in this country now lawmakers and policy makers on both sides of the aisle treat them like enemies of the state.  #FreeManning #FreeJulian
26,Watching the news today it's quite evident #TrumpMustResign
27,@RebeccaKKatz please support my goal in primarying DCCC Chairwoman Cheri Bustos in #IL17.  https://t.co/gOVRM2sDWH
28,Added a donate button on main Twitter page to make donations easier.  https://t.co/mi9GobhcrM please help fund a campaign to primary Cheri Bustos.
29,"@Marie4Congress She's still used her PAC to fund his campaign $1,000."
30,@JeremyR1992 @CheriBustos @dccc @davidcicilline @spmaloney @MarkTakano @DanLipinski Support a true progressive in his primary against Bustos.  https://t.co/gOVRM2sDWH
31,@restructures @CheriBustos @dccc @davidcicilline @spmaloney @MarkTakano Check out https://t.co/oQMHURN7vi and support a real Progressive in his primary against Bustos.
32,@CheriBustos @dccc @davidcicilline @spmaloney @MarkTakano Next she's gonna make a pro choice council and get Lipinski to run it.
33,@AOC @Brittan75653343 You *COULD* also make it so people recieving Government Aide would be able to adopt a child without paying thousands of dollars in fees don't ya think?  Just because a family is poor doesn't mean they don't have love in their heart.
34,"RT @philosophrob: The ""booming"" US economy:

• 34 million don't have health insurance
• More than 75% live paycheck to paycheck
• 42% have…"
35,@markos I'm a bold progressive running against Cheri Bustos in a Dem Primary in 2020 and I need the support of Daily Kos.  I am a proud supporter of #MedicareForAll and #GreenNewDeal you can find out more about me at
36,@AdamGreen I'm a bold progressive running against Cheri Bustos in a Dem Primary in 2020 and I need the support of PCCC.  I am a proud supporter of #MedicareForAll and #GreenNewDeal you can find out more about me at https://t.co/oQMHURN7vi
37,@StephanieTaylor I'm a bold progressive running against Cheri Bustos in a Dem Primary in 2020 and I need the support of Bold Progressives.  I am a proud supporter of #MedicareForAll and #GreenNewDeal you can find out more about me at https://t.co/oQMHURN7vi
38,"@TwoThousand_17 @bernieshq @the_bernie_bro I've been to California, Oregon, Washington, Nevada, Arizona, and Iowa to see Bernie and volunteer at his rallies."
39,"@pdamerica Not as long as you keep promoting Cheri Bustos as a ""Progressive"""
40,@muse Can I get permission to use Uprising as one of my campaign songs at events?  Find out more about me at https://t.co/oQMHURN7vi Thanks.
41,"@thedailybeast when did you guys become a neocon or new-leftist mag? First, you support ""Creepy Joe"" then you bash Tulsi Gabbard for having received a single donation from a guy who doesn't want war with Russia? I don't want war with Russia either FYI. Does that make me a commie?"
42,"Access to water is a basic human necessity and it is a human right.  We should not be using access to water as a public utility in which people must pay or lose access.  The government should take over our water and make access to quality drinking water free,"
43,@knockdownmovie @CoriBush Please accept my invitation to Rockford this Saturday Cori.  I sent you the details thru DM.
44,@SEIUhciimk I attended your last Lobby Day with my wife down in Springfield.  My wife is a caregiver with Addus and a member of SEIU HCIIMK I'd love to earn your endorsement for my campaign against Cheri Bustos in Illinois 17th.  #UnionStrong https://t.co/oQMHURN7vi
45,@thinkprogress huge fan of your work and proud progressive.  I'd love it if you guys would do a story on my running against Cheri Bustos the DCCC Chair in a primary.  We need to stop her anti-Democratic ways and support of Pro-Abortion Democrats like Dan Lipinski.
46,@lukeobrien I'm running against DCCC Chair Cheri Bustos in IL-17th in a primary.  I hear extremism is your thing and as Bustos continues to threaten to blacklist women like Marie Newman for challenging Anti-Abortion Democrats like Lipinski I need your help to gain exposure.
47,"@Sara4Congress Sara, I'm running against Bustos in IL-17 any chance of earning your endorsement?"
48,"@Teamsters couple things, can I get your help trying to unionize Uber/Lyft drivers in Illinois?  Also, would you consider endorsing my campaign over Cheri Bustos for IL-17th? My record is pro-union and I will be glad to stand shoulder to shoulder in solidarity with Unions."
49,"@UAW couple things, can I get your help trying to unionize Uber/Lyft drivers in Illinois?  Also, would you consider endorsing my campaign over Cheri Bustos for IL-17th? My record is pro-union and I will be glad to stand shoulder to shoulder in solidarity with my Union friends."
50,@SEIU My wife works for Addus and is a proud SEIU Healthcare member in Illinois. I've been to Lobby Days to support SEIU and more.  I would truly love to pick up your endorsement over my challenger Cheri Bustos in Illinois 17th.  My record is pro-union.  https://t.co/oQMHURN7vi
51,@theintercept So you guys do the stories others don't... when will you pick up a story on me challenging DCCC Chairwoman Cheri Bustos in a Democratic Primary?
52,@politico you guys should do an article on me challenging DCCC Chairwoman Cheri Bustos in a 2020 primary.
53,@NewYorker you guys should do an article on me challenging DCCC Chairwoman Cheri Bustos in a 2020 primary.
54,@MotherJones you guys should do an article on me challenging DCCC Chairwoman Cheri Bustos in a 2020 primary.
55,@AOC please consider endorsing my campaign. It's legit and we're facing off against Cheri Bustos the DCCC Chairwoman we need the support of progressives like yourself.
56,I support Bernie's ban on for-profit charter schools.  Many of these fail our children and when money is the top reason you've opened a school you've already lost the point.  Our children are the top reason and giving them anything less than a quality education shouldn't stand.
57,It's official people I have informed the FEC of the campaign.  We're off and running now! https://t.co/LrFfyRab0z
58,@Mark_Shriver can you message me with ways Congress could help reunite families at the border and things we should be doing to keep families from being separated?  I believe this is a critical issue that needs much more exposure.
59,@OurRevolution @AllOnMedicare Because people like @RepCheri @CheriBustos refuse to take a public stance in support of #MedicareForAll which is why I'm primarying her in Illinois 17th.  The people demand and the people deserve proper healthcare as a basic human right.
60,"Candidates I proudly support in 2020.  @BernieSanders, @Marie4Congress @AnthonyVClark, @AOC, @CoriBush for now. I'm sure more will follow. I ask the fellow candidates to support my campaign against @CheriBustos for Illinois 17th as well if they would be so kind."
61,"@RepJayapal I'm a Progressive Democrat primarying @CheriBustos in IL-17 the DCCC Chair, She's blacklisting people who support challengers to incumbents &amp; is hosting fundraisers for Anti-Abortion Democrats like Dan Lipinski.  Can you help out and RT? https://t.co/oQMHURN7vi"
62,@CoriBush I hope you get a great staff.  If you need anything done social media related I'd be happy to help for free :) I've run a Pro Bernie Facebook group that managed to raise over $10K in Bernie's 2016 campaign.  :)
63,"@johniadarola I'm a Progressive Democrat primarying @CheriBustos in IL-17 the DCCC Chair, She's blacklisting people who support challengers to incumbents &amp; is hosting fundraisers for Anti-Abortion Democrats like Dan Lipinski.  Can you help out and RT? https://t.co/oQMHURN7vi"
64,"@AnaKasparian I'm a Progressive Democrat primarying @CheriBustos in IL-17 the DCCC Chair, She's blacklisting people who support challengers to incumbents &amp; is hosting fundraisers for Anti-Abortion Democrats like Dan Lipinski.  Can you help out and RT? https://t.co/oQMHURN7vi"
65,"@cenkuygur I'm a Progressive Democrat primarying @CheriBustos in IL-17 the DCCC Chair, She's blacklisting people who support challengers to incumbents &amp; is hosting fundraisers for Anti-Abortion Democrats like Dan Lipinski.  Can you help out and RT? https://t.co/oQMHURN7vi"
66,"@jimmy_dore I'm a Progressive Democrat primarying @CheriBustos in IL-17 the DCCC Chair, She's blacklisting people who support challengers to incumbents &amp; is hosting fundraisers for Anti-Abortion Democrats like Dan Lipinski.  Can you help out and RT? https://t.co/oQMHURN7vi"
