Unnamed: 0,Text
0,"RT @GOP: .@VoteTimmons wins South Carolina’s 4th district!  

Congratulations Congressman on a successful primary win. https://t.co/ljLZNGa…"
1,RT @NikkiHaley: The Upstate knows @VoteTimmons is the tried-and-true conservative that will be their voice in Washington. He's stood strong…
2,"Less than 1 hour until polls close! THERE IS STILL TIME! If you haven't voted yet in today's Republican Primary Election head to the polls right now. If you’re in line by 7:00pm, you will be able to vote! https://t.co/Gf9KnPWohT"
3,"RT @SCGOP: Happy Birthday President Trump!

Republicans across South Carolina can give him a big birthday present by getting out to #VOTE i…"
4,Have you voted yet? Vote today to re-elect Congressman William Timmons today in the Republican Primary Election! #SC04 https://t.co/Zvw1Aj4abF
5,Polls are open until 7:00pm! Get out and exercise your right to vote today in the Republican Primary Election! https://t.co/KIv1BNds67
6,RT @tsteele93: Don’t forget to #vote - I was thinking of sitting this out until I saw @RepTimmons @VoteTimmons was in the primary. I swore…
7,Today’s the day! Polls are open 7am-7pm. Don’t forget to vote William Timmons for Congress today in the Republican primary! https://t.co/wCwZ85Gdbb
8,"Tomorrow is election day! Vote tomorrow to re-elect Congressman William Timmons in the Republican Primary Election! To find your polling place, visit the link below: 

https://t.co/zEZ8Ua9KyG https://t.co/9Y38Wuz9Ds"
9,"Knocking doors in Spartanburg to remind everyone to vote this Tuesday in the Republican primary. On June 14th, vote William Timmons for Congress! #SC04 https://t.co/IGM9vkLAwi"
10,"Inflation is at 8.6%, a new 40-year high. Gas prices have more than doubled in the last 16 months. American families are struggling in the Biden economy. 

Where’s the primetime tv hearing for that?"
11,"A special thank you to our fallen heroes and their families this Memorial Day. Home of the free, because of the brave. #MemorialDay2022 https://t.co/hAu8XLef1I"
12,Every day our law enforcement heroes put their lives on the line to protect us. We must never defund these brave men and women! Thank you for keeping us safe. #nationalpoliceweek #backtheblue https://t.co/WlfLQHxVP5
13,A special thank you to all of the hard working teachers educating the next generation! #TeacherAppreciationWeek2022 https://t.co/porx8qKWjX
14,Upholding the integrity of our elections is key to ensuring the future of our great nation! #SC04 https://t.co/gCTfW0DD7B
15,"Radio Ad Alert: I am honored to have the backing of President Trump. My conservative record and history of supporting policies in Washington that put America first speak for themselves. Listen below!

https://t.co/h2sMJeKQky"
16,RT @TrumpWarRoom: https://t.co/u6swmOfeiu
17,"RT @realLizUSA: NEW!

President Donald J. Trump announces his endorsement of Congressman William Timmons https://t.co/IZY5l2FwLC"
18,"RT @NatalieJHarp: .@POTUS45 endorses @VoteTimmons:

“Congressman William Timmons is a terrific advocate for the people of South Carolina’s…"
19,🚨🚨🚨 BREAKING: President Donald Trump Endorses Republican William Timmons in South Carolina’s Fourth Congressional District https://t.co/EWrOGZX4Pt
20,It was a great afternoon grabbing lunch with volunteers and constituents at Stax’s Original before pounding the pavement in #SC04 with #TeamTimmons! Join our team by visiting ➡️ https://t.co/33zgf8uWfc https://t.co/CcHN3rwWkG
21,"🚨 Endorsement Alert: Rep. Jeff Duncan 🚨

I am thankful to have the endorsement of my friend and strong conservative, @Duncan4Congress! https://t.co/ssaKiwCN9t"
22,"Officially filed for #SC04! It's time for a RED wave in 2022. Please stand with me against Biden and the Democrats’ disastrous policies on inflation, open borders, big spending, and election security. https://t.co/hI4iYbOPYT"
23,Joe Biden will blame anyone and everyone else for this problem of his own making. Democrats must stop the reckless spending and unleash American energy to fight record inflation and rising gas prices.
24,"Republicans warned what reckless spending would do to our economy. Democrats just made excuses.
 
First, inflation was ""transitory.""
 
Then, it was a “first-class problem.”
 
Now, they are saying it's Vladimir Putin’s fault."
25,Sarah and I enjoyed a wonderful morning of faith and fellowship at Faith Baptist Church in Taylors. Thank you to Dr. Herbster for inviting us for Legislation Appreciation Sunday! #SC04 https://t.co/jXFeD2xO57
26,Happy Presidents’ Day! https://t.co/ODHIGvtye5
27,"The science has not changed, but the politics have. Americans do not want more government mandates and lockdowns.

https://t.co/xL7VThO1kV"
28,"RT @GOP: In honor of #BlackHistoryMonth the @GOP salutes @SenatorTimScott of South Carolina.   

Sen. Tim Scott is the first Black American…"
29,"We are proud to have the endorsements of over 30 elected officials in #SC04 and across South Carolina. Together, we will fight for our Upstate conservative values and create a better future for our children and grandchildren. Read our full list here. ⬇️

https://t.co/ql7vjULZGO"
30,"The fight for life is more crucial than ever. In Washington, I have fought to protect the rights of the unborn and the conscience rights of taxpayers who do not want their tax dollars paying for abortion. I am proud of my A+ rating from @SBAList for my work to protect life! https://t.co/PYbkmInGly"
31,"From my family to yours, wishing you a blessed Christmas Season and a Happy New Year! 

Have a Merry Christmas everyone! 

-The Timmons Family https://t.co/3FBvXZmxRY"
32,"Americans are worried about inflation as prices continue to rise, especially during the holiday season. 

This is a tax on every single American. Joe Biden thinks the solution is to spend trillions of dollars we do not have. Spoiler alert: it will only make inflation worse."
33,RT @RepJimBanks: Ladies and Gentlemen … the “Speaker” of the House!  https://t.co/pbvYtV8mCd
34,"""Give thanks in all circumstances; for this is the will of God in Christ Jesus for you"". (1 Thessalonians 5:18)

Happy Thanksgiving, South Carolina! May God continue to bless you and your family. https://t.co/XYNvq5LKlj"
35,"If you needed any more proof a red wave is coming, Columbia, SC just elected a Republican mayor for the first time in decades.

Join our team at https://t.co/CQChqvv1cd! 

https://t.co/FEIotPapWw"
36,"We are less than two weeks away from Thanksgiving, and thanks to Biden's disastrous economic policies, this will be the most expensive one in the holiday's history.

https://t.co/tCIMEagT24"
37,"Thank you to all our Veterans who have served our nation. Today, and every day, we thank and honor you. https://t.co/VabMgnbq6v"
38,"How much cold shrimp can you buy for $132,350,242.90? https://t.co/jBFBhM00u4"
39,Now do Virginia. https://t.co/BeOKjckTym
40,"RT @SCGOP: South Carolinians reject the tenants of Democrats’ socialist spending scam:
📈Tax hikes on those making at least $50,000/year
📈An…"
41,"Hey Greenville and Spartanburg — November 2 is Election Day! Local elections are happening tomorrow, so be sure to head to the polls and have your voice heard in your community. Find more information, including your polling place, here: https://t.co/tV6opZ8Eo0"
42,"Wishing the happiest of birthdays to my friend, @votetimscott! https://t.co/bB9p0yutxC"
43,"From the heroes at Ground Zero, to the men and women who answered the call to serve our country, America came together and prevailed. Today we honor the Americans we lost that day. We will #NeverForget."
44,"Many of us know exactly where we were on September 11, 2001. The terrorist attacks that day were intended to bring our nation down. Instead, they revealed the very best of America."
45,"RT @MicahCaskey: Imagine learning your mother and brother made it inside the Kabul airport bound for Qatar, and 10 minutes later learning y…"
46,We had a fantastic evening last night with @votetimscott in Spartanburg for @SCGOP’s 4th Annual Washington Night! Thank you to everyone who came out and to @debsofield and @Taggartwyff for moderating. https://t.co/vAew0qnf76
47,RT @SCGOP: Thank you to Senator @votetimscott &amp; Congressman @VoteTimmons for joining us for the 4th Annual Washington Night in the 4th Cong…
48,"Inflation is surging, with consumer prices in the U.S. up 5.4% last month. Gas prices are also skyrocketing.
 
Inflation is taxation. This is the Biden economy. 

https://t.co/6mRjhqfocp"
49,"Happy Independence Day, South Carolina! It is an honor to represent the greatest state in the greatest nation on Earth. Today we proudly celebrate America, the land of the free and the beacon of democracy around the world. https://t.co/RvNUU6Hyfw"
50,RT @votetimscott: Our nation is at a crossroads. We need leaders who will fight for the American Dream 🇺🇸 I'm running for another term in t…
51,There is no challenge the American people cannot overcome.
52,"Flag Day means more than just celebrating our physical flag. On June 14 we commemorate the Stars and Stripes and remember just how special our flag and our nation are. Our American ideals and values, represented by our flag, are what makes us the greatest country in the world. https://t.co/15vsWCX7Wi"
53,"No surprise that taking resources away from the men and women who keep us safe and help prevent crime would have this effect. As your representative in Congress, I defend the police, not defund them. 

https://t.co/ARphgsRjsS"
54,This important legislation will allow the family members and loved ones of victims of heinous crimes to finally get justice.
55,"I want to thank Governor @henrymcmaster and the General Assembly for getting this signed into law. 5 years ago, I filed a bill in the S.C. Senate to fix the death penalty because a jury's verdict should not be overturned due to loopholes in our laws. https://t.co/2iFbyDrNGX"
56,RT @votetimscott: We're just a few hours away from Joe Biden's address and my Official Republican Response. I can’t thank y’all enough for…
57,South Carolina Senator @votetimscott is the embodiment of the American Dream. He is a champion for our state and for the conservative cause. Looking forward to seeing my good friend deliver a better vision for America tonight!
58,"Maxine Waters has once again found herself in the headlines. Over the weekend, she violated curfew and then attempted to influence a jury trial. 

Her dangerous comments only pour fuel on the fire and incite further violence. She should be censured for her incendiary remarks."
59,Praise be to the God and Father of our Lord Jesus Christ! In his great mercy he has given us new birth into a living hope through the resurrection of Jesus Christ from the dead. 1 Peter 1:3
60,"Easter is a reminder that even in darkness, we can find the light through hope and faith. We wish you a blessed Easter holiday! https://t.co/ypIrfe25Le"
61,"The crisis unfolding at the border was caused by the Biden Administration's policies. Without action, the surge of migrants will only get worse. We need strong security and enforcement measures to combat this humanitarian and national security crisis. 

https://t.co/KZSTKy7Px8"
62,"Get out and vote, Spartanburg County! If you live in County Council District 6, please vote for conservative Republican Jessica Coker. We need Jessica on County Council. Her business experience and strong, conservative beliefs make her the right choice for the 6th District. https://t.co/wVj9TfPq2I"
63,My thoughts on the $1.9 trillion partisan spending bill ⤵️ https://t.co/36100tZk7U
64,"Today, the Fetal Heartbeat Bill was signed into law. We have waited for this day for a long time, and we will continue to fight to protect life here in South Carolina. Thanks to all of our Upstate state senators and representatives who helped get this bill over the finish line."
65,RT @SCHouseGOP: Wishing the happiest of birthdays to Representative @BobbyCoxSC! Enjoy your day!
66,"How many jobs do Democrats want to eliminate? We need to get people back to work, not take away their opportunities."
67,"With the stroke of a pen, President Biden's executive orders killed tens of thousands of jobs in the energy sector. Now, according to the CBO, his push to raise the minimum wage will result in 1.4 million Americans losing their jobs. https://t.co/wbIt7H8fFf"
68,"The science is clear: our nation's schools can safely reopen. The longer schools across the country remain closed, the more irreversible damage we will do to our students. President Biden must stand up to blue-state unions and get these children back into their classrooms. https://t.co/3jP9POAD7u"
69,"Exciting news—United Community Bank is moving their headquarters to downtown Greenville, bringing more than 200 new jobs to the area. We look forward to welcoming them to the Upstate! 

https://t.co/5jf18JzM5P"
70,"Best wishes, Tommy! 

https://t.co/3fqspCBYq6"
71,"These days, it feels like Republicans and Democrats do not have a lot in common, but we have all enjoyed a great meal at Tommy’s Ham House. Tommy Stevenson created a place that brought people from all walks of life together, and Greenville is going to miss it tremendously."
72,"Our children are our future. Every child deserves access to a high-quality education regardless of their zip code or their family's income level. 

I am proud to support school choice to improve educational opportunities for South Carolina students. #SchoolChoiceWeek https://t.co/DKgh5Zr7I4"
73,"National Sanctity of Human Life Day is a reminder that there is no more fundamental right than the right to life.

I am proud to receive an A+ rating on the National Pro-life Scorecard. I will never apologize or compromise when it comes to defending the lives of the unborn. https://t.co/ZYia3AAy84"
74,"Today we #HoldTheLine and re-elect Senators @kloeffler and @Perduesenate! Make sure all your friends and family in Georgia go vote today. Polls close at 7pm. 

And a big thank you to all the Upstate South Carolinians who volunteered over the past few weeks to get us to victory!"
75,"From our family to yours, Merry Christmas! We hope you have a safe and joyous celebration. https://t.co/DWBCBSUn7g"
76,RT @bradyfortexas: Great perspective from House GOP Reps. @jdanbishop and @VoteTimmons on the importance of supporting our small businesses…
77,"RT @Mike_Pence: En route to Augusta, Georgia! RSVP to join us as we Defend the Majority and fight to send @Perduesenate and @KLoeffler back…"
78,RT @GOPLeader: Here's a group photo of me with all the House Republicans who lost races this year. https://t.co/hmXdK0TA0Z https://t.co/Dyp…
79,"Mr. Cooper would rather insult the intelligence of SC’s voters than deal with this reality: in SC and across the country, Democrat congressional candidates had a losing message. Clearly folks in SC were not buying what Mr. Harrison was selling. https://t.co/6CE5DiEnVF"
80,https://t.co/yzfkxfZeF5
81,"We are helping the Trump Campaign investigate fraudulent votes thoroughly. Whether it is ballots cast by the deceased, incorrect online voter status, or illicit ballot harvesting, if you or someone you know has a firsthand account of suspicious voter activity, submit it here:"
82,"It does not matter who the ballot was cast for, every legal ballot should be counted in this election. This is a fundamental tenet of our republic. 

But under no circumstances should illegal ballots be included in the results of this election."
83,"RT @SCGOP: 🚨 

Congratulations @NancyMace! Flipping #SC01 back to red! Big win! https://t.co/dPH9VXIEnx"
84,@DanieljGross This tweet won't age well
85,Greenville and Spartanburg are ready to #GetItDone for Senator @LindseyGrahamSC! #SC04 https://t.co/6k8w2T0H7n
86,RT @SCGOP: #VoteTimmons https://t.co/HpXt9Y5ySY
87,"If you already voted absentee—either in person or by mail—we thank you!
 
And if you live in #SC04, it is truly an honor and privilege to represent you in Washington. I am grateful for the trust you have placed in me. I hope I can count on your support for a second term."
88,"Today is the day. There is simply too much at stake in this election to not vote.
 
Be sure to bring a friend, family member, co-worker, colleague, or anyone else who is registered and wants to vote!"
89,"RT @LindseyGrahamSC: Thank you, South Carolina! Day 3 of the #GetItDone Bus Tour blew me away, and I am more confident than ever of victory…"
90,"It was great to join Vice President @Mike_Pence at Donaldson Center in Greenville last week. The Upstate is fired up for Election Day on November 3! 

📷: Dan Harvell https://t.co/aRz6VpT2jH"
91,"Last quarter, the GDP grew by 33.1%, the fastest rate in recorded history. In just three months, we have recovered 2/3 of the GDP lost due to COVID-19. To compare, under Obama and Joe Biden, it took four quarters (an entire year) to recover from the 2008-2009 recession."
92,"RT @Mike_Pence: I was honored to be joined today by the family of a fallen hero, Greenville County Sheriff Deputy Sergeant Conley Jumper. S…"
93,RT @Mike_Pence: THANK YOU GREENVILLE! South Carolina is Trump Country!  #MAGA 🇺🇸 https://t.co/4t0BD5lbPW
94,"RT @Mike_Pence: Next Stop: Greenville, South Carolina! #MAGA"
95,RT @JasonWISTV: A handful of lawmakers are speaking ahead of the Vice President. Officials tel me @RepRalphNorman @VoteTimmons @RepJeffDunc…
96,"Welcome to South Carolina, Vice President @Mike_Pence! We are excited to welcome you to the Upstate today. #SC04"
97,"Congratulations to Amy Coney Barrett on her confirmation to the U.S. Supreme Court! Thanks to Senator @LindseyGrahamSC and President @realDonaldTrump, we have a highly-qualified Associate Justice who will interpret our laws as written and defend our Constitution."
98,"It has been an honor to represent the Fourth Congressional District in Congress for the past two years. Our team has worked hard to get results for the Upstate, and I am proud of what we have been able to accomplish. 

https://t.co/p2xA5mu6kc"
99,Take a friend or family member and make sure your voice is heard. Visit https://t.co/DN7pelMD3A to find the Upstate voting location closest to you. #SCGOP
