Unnamed: 0,Text
0,"As an attorney I fight for clients. I’ll do the same for YOU in Congress💪🏼I held a press conference to call on @RepSarbanes to urge his pals in Annapolis to STOP 🛑 the 18% gas tax INCREASE scheduled 7/1. His response…🦗 MD needs a fighter not an empty suit 👔
#morganforcongress https://t.co/ayeSZJzh6E"
1,"Not only are they refusing to suspend the gas tax, they’re going to INCREASE it on July 1 🤦🏻‍♀️ https://t.co/ggXrl3jK4y"
2,"They’re refusing to suspend even the gas tax INCREASE that starts on July 1!! That’s why I’m holding a press conference tomorrow (Thursday 6/23) in Annapolis to call for not just suspension of the gas tax but UNTYING the gas tax from inflation. Join me! 

https://t.co/TywXL6dFqK https://t.co/7r58HwTlHo"
3,MDers are suffering under historic inflation &amp; crushing gas prices. How many ppl have put something back at the grocery store or gotten less than a tank of gas because it’s too expensive?? We’re making hard choices with but @SenBillFerg and @SpeakerAJones won’t do the same??
4,"He’s also calling on STATE legislatures to suspend their gas tax so…@SenBillFerg @SpeakerAJones 👀 when can we expect an announcement? MD families/residents NEED this. Plus per @peterfranchot MD got a “fire hydrant of cash from the federal gov”
#noexcuses 🤷🏻‍♀️
#gastaxholiday https://t.co/nveM8sYIBL"
5,"I love meeting ppl who listened to my radio show. Producer @Kar1heim &amp; I spent so much time researching topics. My audience came to trust me bc they knew I would tell them the truth even when it wasn’t convenient. I’ll keep doing that in Congress. 🗣 

#yuripzymorganforcongress https://t.co/x3225zXx4F"
6,"@ryanryeguy89 You made my week. It should always be about people, not politics. Thank you!"
7,@ar_miller93 @GovLarryHogan @RepSarbanes Democrats?!?! No one is thanking Democrats for being forced by JUDGE Battaglia to fix that gerrymandered map. I’m thanking the court for giving RESIDENTS a voice
8,Know what else was in HR1?? Non-partisan redistricting commissions like the one @GovLarryHogan set up and @RepSarbanes dismissed 🙃 you know to END gerrymandering all while @RepSarbanes rep’d the MOST gerrymandered district in 🇺🇸The word you’re looking for is hypocrite.  🫠 https://t.co/rMFSVHXFlO
9,@Kathy083107 Thank you! I hope you’re well too
10,"He went from jumping out of planes &amp; fighting for freedom 🇺🇸 to ballet recitals &amp; cuddles. He makes sure his girls have everything they need especially ❤️. Happy Father’s Day to my husband &amp; all the dads out there. You are fundamental to strong families

#girldad #HappyFatherDay https://t.co/mZ8mUeeCTC"
11,"@GregHal10891668 I’m guessing you never listened to my 4 hour, daily talk radio show where I talked about this…a lot 🙃"
12,"Almost HALF of all Marylanders are employed by small businesses. Vote for people who understand that, and actually support workers and small businesses. 🤝 Severna Park Shop Local Fiesta!

#yuripzymorganforcongress 
#mdcd3 #believeinamerica🇺🇸 https://t.co/qMPrgUxw9e"
13,"When you want thing done, sometime you have to do it yourself. 👍🏼 We’re out door knocking and talking with voters in Glen Burnie today 🤝 It’s time for REAL leadership in #mdcd3

#yuripzymorganforcongress #BelieveInAmerica https://t.co/q4wlS2tMut"
14,"We need ppl in Congress who will call out bad policies bc 👉 ppl not politics. I criticized tariffs knowing my ratings would drop &amp; criticized Biden's overspending bc I saw the threat of inflation @RepSarbanes chose politics. Time for real leadership 💪

#yuripzymorganforcongress"
15,@SteveRattner former Obama advisor is out here telling the truth 🙌 GOVERNMENT OVERSPENDING significantly contributed to INFLATION. Either @RepSarbanes didn't understand or didn't care. That's the problem w/being a political rubber stamp. You don't care if its good/bad policy
16,"Next time you see $5+ gas, ⬆️groceries, ⬆️ rent, ⬆️car prices, remember what/who voted to make it worse... @RepSarbanes PROUDLY voted for Biden's BBB agenda to add another $2-5 trillion in spending - if you make the programs permanent which would have made inflation worse 🙄 https://t.co/6rCxE7Zeg8"
17,"I’m so proud of my sweet girl for all the effort she put into gymnastics this year. Of all the medals and trophies she earned, the “Hardest Worker” award 🏆 is the best! ❤️ https://t.co/X79qiUZ67S"
18,"#johnhastogo 
#yuripzymorganforcongress
#mdcd3 #believeinamerica"
19,"$640 MILLION. That’s how much the city got in federal covid $ but schools are closing bc of no ac. These kids deserve better. Where is @RepSarbanes?🦗He’s represented part of Baltimore for 10 yrs! 🤐 He won’t  stand up for you in MD and sure won’t in DC

https://t.co/kiIfgfKpxX"
20,"Our flag is a symbol of freedom known all across the world. Let’s keep it that way! 🇺🇸 

#flagday #homeofthefreebecauseofthebrave
#yuripzymorganforcongress #BelieveInAmerica #marylandcd3 https://t.co/OFWDIUgCLr"
21,@Lemonade_0714 @NelNieves I’m an attorney and former WBAL talk radio host. Here’s more info: https://t.co/IbPj5HdsvP
22,"If you know my name &amp; where I stand before you know my party affiliation then 👍🏼. I’ll fight to cut spending &amp; reward hard work regardless of who’s in power. It’s about what I will do for YOU in congress to make your life better. 🤝 4/4
#yuripzymorganforcongress #BelieveInAmerica"
23,"Lumber (like the stuff used to make this sign) prices soared to 300% during the pandemic and have since been volatile.

@RepSarbanes voted 💯w/Nancy Pelosi for Biden’s agenda. How is party politics working out for #marylandcd3? 👎🏼
3/4"
24,"I’ve never been shy about being a Rep. Anyone who listened to my show heard me say it at least a million x’s. But I’ll bet that ppl in #marylandcd3 are more worried about $5 ⬆️ gas, record inflation on dairy, fruit, veggies , meat, housing, energy, vehicles &amp; how to fix it
2/4"
25,"Bc it’s PEOPLE not PARTY. You know you’re making waves when someone takes the time to make a wooden stenciled sign about you! 🙃 Especially with these prices 💸

1/4 https://t.co/k5oPzs8FJc"
26,"On my way to get gas ⛽️ AND buy groceries 🍎 Y’all pray for me 🙏🏼

#Bidenflation #mdgeneralassembly
#sarbaneshastogo #mdcd3
#yuripzymorganforcongress"
27,"Meanwhile Sarbanes is SILENT 😶🦗 He won't stand up to his friends in Annapolis raising gas prices on Marylanders. He won't stand up for you in MD, and he sure won't stand up for you in Congress. Time to go John!
#yuripzymorganforcongress #BelieveInAmerica #marylandcd3
3/3"
28,"@RepSarbanes voted AGAINST policies to make America energy independent. And its about to get WORSE. How does a .43 cents PER GALLON tax sound? Come July 1, we will all be paying .43 PER GALLON in tax. @mddems refused to stop the gas tax increase, even while MD families suffer
2/3"
29,"$450. What could you do with $450? Childcare? Groceries? Savings? Medical bills? 
""the EIA predicts that for consumers, the average U.S. household will have to spend around $450 more for gas this year than they did in 2021"" 
1/3
https://t.co/TC9ZUdkfUV"
30,When was the last time he stood with Baltimore to arrest murders and keep them in jail? When was the last time he called on the mayor and state's attorney to keep residents safe? When was the last time he was even seen in Baltimore? Baltimore isn't a # right @MayorBMScott?
31,"On this DAY?! @RepSarbanes has represented Baltimore, one of the deadliest cities in the WORLD for 10 yrs &amp; done nothing to stop the violence. Murders in broad daylight, surrounded by witnesses, 300+ homicides since 2015, 700+ non fatal shootings a year.... https://t.co/FqrRTkEZiR"
32,"I believe in America. I'm running for Congress to protect our communities, protect our children, and fight inflation. DC has forgotten what is important. Join me, and together, we'll remind them.
https://t.co/BZjQbKZJ7l https://t.co/t49tC3A1Jd"
33,"I  never thought when I graduated from @marylandcareylaw that I would be commenting on legal issues on TV 📺
The horrific murders of innocent children in Uvalde raised a lot of questions about background checks. I talked with @TomRodgersNews this morning about this issue. https://t.co/784WnMuh9M"
34,@CharlesTwigg3 Thank you 🙏🏼
35,@biodave76 @M0T3KK @Kar1heim @BryanNehman @Reporterroblang Is that the one with Spock? 🙃
36,"""Those who say that we’re in a time when there are no heroes — they just don’t know where to look."" - Ronald Reagan (1/20/1981)
Today we remember those who gave everything for the chance at freedom. Be thankful, and be proud to be an American🇺🇸 
https://t.co/rzO4ihUCzZ"
37,@Kar1heim @BryanNehman @Reporterroblang @biodave76 #nerdS 😂
38,@BryanNehman @Reporterroblang @biodave76 @Kar1heim I love a good Star Wars fight🫣 https://t.co/oUx0o34isS
39,@biodave76 @Kar1heim @BryanNehman Hence the reason I HAD to see #TopGunMaverick when he raved about it 🤷🏻‍♀️😂
40,@BryanNehman I miss you guys 😂
41,"After working with him for almost 5 years, I know @BryanNehman is not easily impressed. Lol So when he said the new #TopGun was good, I had to see it.
🥺😂🥹🥰 allll the feels! It was amazing!!! Highly recommend 👏 Even my former army husband was impressed 👏 😂 https://t.co/tuSJDfZVc7"
42,"@JustinReady @Ejmiller25 @yestoyesli I’m interested in the same things that the people of district 3 are interested in - inflation, crime, and the education. That’s why we’re getting a lot of support. It’s not about identity politics. It’s about people
https://t.co/QjbKxUHE8y"
43,"Howard County is ready for REAL leadership, both in Congress and County Executive. 💪🏼 Thank you @boydkrutherford for joining @AKittleman and me tonight. Together, we will make life better for Marylanders. 
#BelieveinAmerica 
#Yuripzymorganforcongress
#AllanKittlemanCE https://t.co/gk1WnNFV0w"
44,I’ve checked on my girls 3 times already. I’m tempted to just bring them in bed with me so I can feel their little hearts beating. My heart is broken for the families in Texas. We must do better.
45,"Absolutely devastating. My own baby is in 1st grade. My heart goes out to these families who will suffer this loss forever. We can’t come at this as Rs and Ds. We need real, practical, human solutions. No more politics. They were CHILDREN. https://t.co/tXYTQYzoxV"
46,Me too… https://t.co/yB0A26xa43
47,@BMoreKorean Thank you!
48,@DanBrown0531 Thank you!
49,"38 seems like a great age to change Congress!🎂 Will you help me do it? 

https://t.co/BZjQbKZJ7l https://t.co/a2P78ExjvF"
50,"If Congress really wanted to do its job, then 15 year incumbents like @RepSarbanes would stop hiding behind alphabet soup executive agencies. The FDA can't function in an emergency. Investigate the FDA, stop the bureaucracy. Feed our babies.   

4/4"
51,"Friends are sending SOS messages on social media, begging strangers to notify them if they see formula. This was avoidable. This is the same @US_FDA that screwed up the approval of covid tests when the rest of the world had ample supply. @michaelmina_lab detailed the mess 

3/4 https://t.co/fiXc9iBJtv"
