Unnamed: 0,Text
0,RT @ChrisMurphyCT: These guys are just politicians. The Constitution to them is just a fun tool to help them impose their political views o…
1,RT @emily_woodruff_: What happens next isn’t clear. But providers are expecting to see a surge in drastic measures. That’s what a 16 year o…
2,"RT @emily_woodruff_: Legally, this will take a few days to shake out in Louisiana, abortion rights lawyers have told me. But clinics have c…"
3,"""One result of today's decision is certain: the curtailment of women's rights and of their status as free and equal citizens. The Constitution will, [the] majority holds, provide no shield despite its guarantees of liberty and equality for all.""

My whole body joins this dissent."
4,@TarHeelMexican @ebruenig I think all humans deserve the dignity of the wolf burial
5,"RT @amyklobuchar: Big tech may have millions of dollars to spend on lobbyists and a smear campaign, but the public believes in competition…"
6,RT @kylegriffin1: The Jan. 6 Committee reveals that Trump pressured DOJ officials to seize voting machines.
7,"I met one of my dearest lifelong friends running high school track, and now she's written this terrific cover story for the Christian Science Monitor on Title IX. https://t.co/WqLBiLl9YL"
8,"RT @nycsouthpaw: Fourth and last case today is Bruen, the NY gun case, striking down our century old handgun license requirement. Thomas wr…"
9,https://t.co/iC2IoS4pw0
10,"And NYC, this no competitive sports for 6th-8th grade business? C'mon. 

https://t.co/P9gw2vnDEX"
11,Here's to expanding another 1000%. I was born the year Title IX was born and have lived and benefitted from and relished witnessing the power of girls and women's sports. It transformed my life and the lives of millions and millions of kids.
12,"Female participation in high school sports has grown by over 1000% since Title IX was passed. 

Gratitude."
13,RT @chrislhayes: Gotta say I find the @ddayen era American Prospect indispensable
14,@chrislhayes @ddayen 1000%.
15,@JudyWoodruff @katrinatulloch @NewsHour What a loss. What an extraordinary warm-hearted brilliant life.
16,"RT @evan_greer: .@iamjohnoliver: ""self-prefencing stifles competition, hurts small business, and often results in serving consumers an infe…"
17,"@egabbert Like Tillich said of grace, It happens, or it does not happen."
18,@J__Velasquez Congratulations!
19,"Enlightened by Mike White (2011) is brilliant and hilarious and sublimely acted (Laura Dern is out of this world) it has plots about surveillance wages, white collar crime, corruption. And moments of grace!

This is my COVID-19 revelation. Sorry I haven't call you back this week."
20,@paimadhu @waltbogdanich @PekingMike I need to get a book club together for this one.
21,@mikelillis1760 Exactly.
22,To be clear he’d like 18. But 34 to 25 would be transformative.
23,"RT @eschor: ""There is more carbon dioxide in the atmosphere now than at any time in at least 4 million years""

https://t.co/TJ4bmVh5sv"
24,"My husband teaches high school physics in NYC. THIS--25 students, not 34 in each class--is what he wants most in the world in order to have the chance to teach each student. 

https://t.co/mq3HJiQS4T"
25,@StrikeDebt wow
26,RT @ALIGNny: This week is our LAST chance to pass major anti-monopoly legislation that will hold abusive corporations accountable. We must…
27,"RT @econliberties: 🔥 from @SenGianaris as he explains why New York businesses, workers, and communities need the 21st Century Antitrust bil…"
28,Lawmakers bear the greatest responsibility. But remember that this Court bears responsibility too.
29,"Remember Heller. 

Remember that the Roberts Supreme Court in a 5-4 decision--over a withering dissent by Stevens--threw out democratically passed gun control laws in 2008. They invented a new 2nd Amendment and a false banner to rally around to stop basic protection of children."
30,RT @mehdirhasan: I feel sick. Just this morning I was speaking to another British-American friend about what we love/hate about living in t…
31,RT @BerniceKing: 10 days later… #Buffalo https://t.co/oaQDjiXjfL
32,don't tell me GenX doesn't exist we remember everything
33,"The world was moving she was floating above it and she was
And she was https://t.co/3xKUIbHerI"
34,"RT @delaneykempner: Pretty proud of this one. @TishJames has certainly had one helluva year. 

https://t.co/oXSm1tyIy0"
35,"RT @SocJustice_poet: One week ago today, it felt like the whole world collapsed. My people were hunted down in the only grocery store in a…"
36,Mr. Godot told me to tell you he won't have maps come this evening but surely tomorrow.
37,RT @linakhanFTC: 1. Today's FTC Policy Statement puts firms on notice that under the Children's Online Privacy Protection Act (COPPA) &amp; Rul…
38,RT @leah_nylen: Tech Antitrust Bills to Get Early Summer Senate Vote w/ ⁦@StevenTDennis⁩ https://t.co/8Wv1UbTuO9
39,The vote was unanimous.
40,The FTC bringing down the hammer on ed tech demanding kids data. https://t.co/73cwi885fc
41,"RT @EricaForNY: Speechless. 

Thank you @MHoechstetter, @alisonturkos, @deardrewdixon, and every survivor who shared their story, trauma, a…"
42,RT @MartyLeary1: Kind of a big deal if he can survive the inevitable push-back from the PE titans - Top US antitrust enforcer pledges crack…
43,RT @leah_nylen: “The irony of the consumer welfare standard is that consumers have been harmed in its name through underenforcement.” In pr…
44,A very Happy Birthday to @MondaireJones! https://t.co/2UjadDtAFr
45,@NYSenatorRivera I didn't know you had a kid! Congrats!
46,@RebeccaKKatz Congratulations
47,"RT @madisonlcarter: Gerri Talley, 62, stopped by the store for some cold cuts on the way home from the waterfront with her fiancé Greg.

He…"
48,"The book tells a history of the disemboweling of a foundational idea--and it was before Trump, but it starts with emoluments."
49,"When Justice Roberts started destroying the foundational anti-corruption laws of our country, I started writing. Roberts is still on his reckless destructive course, untying the knot between the public and the elected, legalizing bribery. 
 https://t.co/GGnBHCrnqS"
50,@davidsirota more red-boxing?
51,Justice Roberts: The way to fight corruption is through strict enforcement of laws that are narrowly tailored to catch keystone cops. All other anti-corruption laws violate the First Amendment.
52,"Justice Roberts takes his wrecking ball and strikes down yet another significant anti-corruption law because, he says, it is not an anti-corruption law. https://t.co/Av1jg7NamH"
53,RT @LeahLitman: from Justice Kagan's dissent: https://t.co/8QUQvBkbXc
54,"RT @NewYorkStateAG: My office is closely monitoring reports of a baby formula shortage impacting families across our nation.
 
We won't hes…"
55,Congratulations Commissioner Bedoya! https://t.co/kNL62rlLqR
56,"RT @evan_greer: NEW: In my first piece for @CNN I wrote about how the real threat to free speech online isn't content moderation, it's Big…"
57,"At a recent even I suggested that economists put how much they make on their bylines and research, eg “$50k from Google” instead of “has consulted for Google” and the economists laughed because $50k was such a paltry number. https://t.co/48uAMg9fVJ"
58,"RT @doctorow: Something like this terse, six-paragraph memo from the FTC, a deceptively anodyne wrapper for an explosive moment:

https://t…"
59,RT @owenslindsay1: 📢📢📢 Want to know why prices are so high? The @Groundwork team is on it &amp; today I published some of our findings in this…
60,"RT @benwikler: Karine Jean-Pierre is dynamite. Brilliant, clear, and unflappable. Terrific news—congrats, @K_JeanPierre / @KJP46!"
61,Karine is great. This is wonderful news. https://t.co/ispnUEy0cN
62,"""Leaked notes from meeting of Amazon leadership obtained by VICE News reveal plan to smear fired warehouse employee Christian Smalls, calling him “not smart or articulate” as part of a PR strategy to make him “the face of the entire union movement.”

https://t.co/4mMW5T6Qkv"
63,"RT @MorePerfectUS: EXCLUSIVE: The NLRB has filed a major national lawsuit against Starbucks.

The suit says 19 different sections of Starbu…"
64,RT @SenSanders: Congratulations to President Biden for having the courage to do what no president in modern history has done. He is standin…
65,"RT @POTUS: Today, I met with grassroots worker organizers to thank them for their leadership in organizing unions. From the Amazon Labor Un…"
